"Longitude"	"Latitude"	"Area"	"Location"
14.674558631597	67.628732571778	"00"	NA
49	68.7	"01"	NA
36.762658785359	69.246400918435	"02"	NA
29.343600480942	70.816823519013	"03"	NA
20.847496773233	70.647306925715	"04"	NA
14.448167927316	69.021919064965	"05"	NA
9.650354597295	65.379649727957	"06"	NA
6.608182451412	63.132303662041	"07"	NA
36.5	71	"10"	NA
48.125	70.9375	"11"	NA
22.107142857143	72.553571428572	"12"	NA
35	73	"13"	NA
47.533333333333	73.033333333333	"14"	NA
35	75	"15"	NA
49.526315789474	75.026315789474	"16"	NA
45.5	79.25	"17"	NA
59.5	79.25	"18"	NA
21.65873015873	74.599206349206	"20"	NA
9.948198198198	77.02027027027	"21"	NA
19.5	79.2578125	"22"	NA
26.169642857143	78.834821428571	"23"	NA
35	79.25	"24"	NA
10.005952380952	80.240079365079	"25"	NA
-2	66.5	"34"	NA
-4	78	"26"	NA
9	74.75	"27"	NA
4.513073255634	61.048471394951	"28"	NA
-1.611111111111	63.611111111111	"30"	NA
-5.558823529412	61.573529411765	"31"	NA
-9	69.5	"35"	NA
-2	69.5	"36"	NA
7.011111111111	68.494444444444	"37"	NA
-4	72.25	"38"	NA
9	72.25	"39"	NA
2.95184837621	52.380595964585	"40"	NA
-1.003489112649	59.753671572427	"42"	NA
-8.228395061728	57.398148148148	"43"	NA
-4.866279069767	53.494186046512	"44"	NA
-4.854289509325	50.990747552948	"45"	NA
-1.826332385158	49.979254040694	"46"	NA
-15	57.25	"47"	NA
-13.41664759229	53.503456168376	"48"	NA
-11.925925925926	50.180555555556	"49"	NA
-9	65.5	"50"	NA
-15.294498844003	63.354611213106	"51"	NA
-23.432545425309	63.358712547568	"52"	NA
-24.82734031338	66.422625073878	"53"	NA
-21.438410281897	66.742864216041	"54"	NA
-18.541769041298	66.864352989942	"55"	NA
-14.195421552196	67.155276381919	"56"	NA
-11.285714285714	61.607142857143	"57"	NA
-9	60.75	"58"	NA
-12.91464311997	65.520529801334	"59"	NA
-35.313909774436	60.988721804511	"60"	NA
-33.540983606557	65.151639344262	"61"	NA
-20.526548672566	70.986725663717	"62"	NA
-29.045454545455	54.287878787879	"70"	NA
4.597177802659	58.811605199989	"08"	NA
3.299543397518	55.552892118938	"41"	NA
10.517509677188	57.855793107161	"09"	NA
