"Area"	"Species"	"Year"	"CatchDate"	"Gear"	"Location"	"Coastal"	"N62Code"	"VesselLength"	"CountryVessel"	"LandingSite"	"CountryLanding"	"Usage"	"RoundWeight"	"Latitude"	"Longitude"	"Stratum"	"IcesArea"	"Period"	"Quarter"
"00"	"2013"	2022	2022-06-30T22:00:00Z	"11"	"05"	"8"	"Nord for 62°N"	"10.05"	"NOR"	"HBRB"	"NOR"	"1"	21166	67.628732571778	14.674558631597	"27.2.a"	"27.2.a.2"	"[01-04, 01-10>"	"Q3"
"00"	"2013"	2022	2022-06-27T22:00:00Z	"11"	"05"	"8"	"Nord for 62°N"	"10.05"	"NOR"	"HBRB"	"NOR"	"1"	15402	67.628732571778	14.674558631597	"27.2.a"	"27.2.a.2"	"[01-04, 01-10>"	"Q2"
"00"	"2013"	2022	2022-06-29T22:00:00Z	"11"	"05"	"8"	"Nord for 62°N"	"10.05"	"NOR"	"HBRB"	"NOR"	"1"	1924	67.628732571778	14.674558631597	"27.2.a"	"27.2.a.2"	"[01-04, 01-10>"	"Q2"
"00"	"2013"	2023	2023-06-30T22:00:00Z	"11"	"44"	"8"	"Nord for 62°N"	"10.05"	"NOR"	"HBRB"	"NOR"	"1"	6500	67.628732571778	14.674558631597	"27.2.a"	"27.2.a.2"	"[01-04, 01-10>"	"Q3"
"00"	"2013"	2022	2022-07-08T22:00:00Z	"11"	"44"	"8"	"Nord for 62°N"	"10.05"	"NOR"	"HBRB"	"NOR"	"1"	3800	67.628732571778	14.674558631597	"27.2.a"	"27.2.a.2"	"[01-04, 01-10>"	"Q3"
"00"	"2013"	2022	2022-07-09T22:00:00Z	"11"	"44"	"8"	"Nord for 62°N"	"10.05"	"NOR"	"HBRB"	"NOR"	"1"	3800	67.628732571778	14.674558631597	"27.2.a"	"27.2.a.2"	"[01-04, 01-10>"	"Q3"
"00"	"2013"	2022	2022-07-10T22:00:00Z	"11"	"44"	"8"	"Nord for 62°N"	"10.05"	"NOR"	"HBRB"	"NOR"	"1"	15095	67.628732571778	14.674558631597	"27.2.a"	"27.2.a.2"	"[01-04, 01-10>"	"Q3"
"00"	"2013"	2022	2022-07-11T22:00:00Z	"11"	"44"	"8"	"Nord for 62°N"	"10.05"	"NOR"	"HBRB"	"NOR"	"1"	6690	67.628732571778	14.674558631597	"27.2.a"	"27.2.a.2"	"[01-04, 01-10>"	"Q3"
"00"	"2013"	2022	2022-06-25T22:00:00Z	"11"	"44"	"8"	"Nord for 62°N"	"10.05"	"NOR"	"HBRB"	"NOR"	"1"	4547	67.628732571778	14.674558631597	"27.2.a"	"27.2.a.2"	"[01-04, 01-10>"	"Q2"
"00"	"2013"	2023	2023-06-26T22:00:00Z	"11"	"44"	"8"	"Nord for 62°N"	"10.05"	"NOR"	"HBRB"	"NOR"	"1"	4000	67.628732571778	14.674558631597	"27.2.a"	"27.2.a.2"	"[01-04, 01-10>"	"Q2"
"00"	"2013"	2023	2023-06-27T22:00:00Z	"11"	"44"	"8"	"Nord for 62°N"	"10.05"	"NOR"	"HBRB"	"NOR"	"1"	9000	67.628732571778	14.674558631597	"27.2.a"	"27.2.a.2"	"[01-04, 01-10>"	"Q2"
"00"	"2013"	2023	2023-06-28T22:00:00Z	"11"	"44"	"8"	"Nord for 62°N"	"10.05"	"NOR"	"HBRB"	"NOR"	"1"	10305	67.628732571778	14.674558631597	"27.2.a"	"27.2.a.2"	"[01-04, 01-10>"	"Q2"
"00"	"2013"	2022	2022-07-03T22:00:00Z	"11"	"46"	"8"	"Nord for 62°N"	"10.05"	"NOR"	"HBRB"	"NOR"	"1"	9300	67.628732571778	14.674558631597	"27.2.a"	"27.2.a.2"	"[01-04, 01-10>"	"Q3"
"00"	"2013"	2021	2021-08-06T22:00:00Z	"11"	"46"	"8"	"Nord for 62°N"	"10.05"	"NOR"	"HBRB"	"NOR"	"1"	21000	67.628732571778	14.674558631597	"27.2.a"	"27.2.a.2"	"[01-04, 01-10>"	"Q3"
"00"	"2013"	2021	2021-07-13T22:00:00Z	"11"	"46"	"8"	"Nord for 62°N"	"10.05"	"NOR"	"HBRB"	"NOR"	"1"	41259	67.628732571778	14.674558631597	"27.2.a"	"27.2.a.2"	"[01-04, 01-10>"	"Q3"
"00"	"2013"	2021	2021-08-17T22:00:00Z	"11"	"46"	"8"	"Nord for 62°N"	"10.05"	"NOR"	"HBRB"	"NOR"	"1"	5817	67.628732571778	14.674558631597	"27.2.a"	"27.2.a.2"	"[01-04, 01-10>"	"Q3"
"00"	"2013"	2020	2020-06-21T22:00:00Z	"11"	"46"	"8"	"Nord for 62°N"	"10.05"	"NOR"	"HBRB"	"NOR"	"1"	6026	67.628732571778	14.674558631597	"27.2.a"	"27.2.a.2"	"[01-04, 01-10>"	"Q2"
"00"	"2013"	2020	2020-06-22T22:00:00Z	"11"	"46"	"8"	"Nord for 62°N"	"10.05"	"NOR"	"HBRB"	"NOR"	"1"	10139	67.628732571778	14.674558631597	"27.2.a"	"27.2.a.2"	"[01-04, 01-10>"	"Q2"
"00"	"2013"	2023	2023-06-24T22:00:00Z	"11"	"46"	"8"	"Nord for 62°N"	"10.05"	"NOR"	"HBRB"	"NOR"	"1"	3088	67.628732571778	14.674558631597	"27.2.a"	"27.2.a.2"	"[01-04, 01-10>"	"Q2"
"00"	"2013"	2023	2023-06-25T22:00:00Z	"11"	"46"	"8"	"Nord for 62°N"	"10.05"	"NOR"	"HBRB"	"NOR"	"1"	3603	67.628732571778	14.674558631597	"27.2.a"	"27.2.a.2"	"[01-04, 01-10>"	"Q2"
"00"	"2013"	2020	2020-06-27T22:00:00Z	"11"	"46"	"8"	"Nord for 62°N"	"10.05"	"NOR"	"HBRB"	"NOR"	"1"	13722	67.628732571778	14.674558631597	"27.2.a"	"27.2.a.2"	"[01-04, 01-10>"	"Q2"
"00"	"2013"	2023	2023-06-27T22:00:00Z	"11"	"46"	"8"	"Nord for 62°N"	"10.05"	"NOR"	"HBRB"	"NOR"	"1"	6000	67.628732571778	14.674558631597	"27.2.a"	"27.2.a.2"	"[01-04, 01-10>"	"Q2"
