"Dokumentnummer"	"Linjenummer"	"Art_kode"	"Registreringsmerke_seddel"	"Fangstår"	"SisteFangstdato"	"Redskap_kode"	"HovedgruppeRedskap_kode"	"Hovedområde_kode"	"Lokasjon_kode"	"StørsteLengde"	"Fartøynasjonalitet_kode"	"KystHav_kode"	"Fangstfelt_kode"	"Hovedområde_bokmål"	"Sone_kode"	"Sone_bokmål"	"Områdegruppering_bokmål"	"HovedområdeFAO_kode"	"HovedområdeFAO_bokmål"	"NordSørFor62GraderNord"	"Fangstdagbok_nummer"	"Fangstdagbok_turnummer"
"1565884"	3	"2013"	"R 0022B"	2020	"30.07.2020"	"51"	NA	"28"	"10"	42.5	"NOR"	0	"02810"	"Vikingbanken"	"NOR"	"Norges økonomiske sone"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1565904"	8	"2013"	"H 0020B"	2020	"31.07.2020"	"51"	NA	"08"	"14"	63.97	"NOR"	0	"00814"	"Eigersundbanken"	"NOR"	"Norges økonomiske sone"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1564593"	4	"2013"	"R 0001K"	2020	"10.06.2020"	"51"	NA	"41"	"93"	65	"NOR"	0	"04193"	"Sentrale Nordsjø"	"NOR"	"Norges økonomiske sone"	"Atlanterhavet, nordøst/sentrale Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1565858"	10	"2013"	"R 0001K"	2020	"28.07.2020"	"51"	NA	"08"	"13"	65	"NOR"	0	"00813"	"Eigersundbanken"	"NOR"	"Norges økonomiske sone"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1564464"	4	"2013"	"H 0004B"	2020	"06.06.2020"	"51"	NA	"41"	"74"	68.3	"NOR"	0	"04174"	"Sentrale Nordsjø"	"NOR"	"Norges økonomiske sone"	"Atlanterhavet, nordøst/sentrale Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1564416"	5	"2013"	"R 0007K"	2020	"03.06.2020"	"51"	NA	"41"	"74"	60.4	"NOR"	0	"04174"	"Sentrale Nordsjø"	"NOR"	"Norges økonomiske sone"	"Atlanterhavet, nordøst/sentrale Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	201099	999
"1564178"	3	"2013"	"R 0003K"	2020	"23.05.2020"	"51"	NA	"41"	"74"	61.75	"NOR"	0	"04174"	"Sentrale Nordsjø"	"NOR"	"Norges økonomiske sone"	"Atlanterhavet, nordøst/sentrale Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1564106"	5	"2013"	"R 0001K"	2020	"17.05.2020"	"51"	NA	"41"	"64"	65	"NOR"	0	"04164"	"Sentrale Nordsjø"	"NOR"	"Norges økonomiske sone"	"Atlanterhavet, nordøst/sentrale Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1564292"	3	"2013"	"R 0001K"	2020	"29.05.2020"	"51"	NA	"08"	"06"	65	"NOR"	0	"00806"	"Eigersundbanken"	"NOR"	"Norges økonomiske sone"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1564078"	5	"2013"	"H 0030B"	2020	"12.05.2020"	"51"	NA	"41"	"64"	61.86	"NOR"	0	"04164"	"Sentrale Nordsjø"	"NOR"	"Norges økonomiske sone"	"Atlanterhavet, nordøst/sentrale Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1564145"	3	"2013"	"R 0003K"	2020	"20.05.2020"	"51"	NA	"41"	"63"	61.75	"NOR"	0	"04163"	"Sentrale Nordsjø"	"NOR"	"Norges økonomiske sone"	"Atlanterhavet, nordøst/sentrale Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1564107"	5	"2013"	"R 0001K"	2020	"17.05.2020"	"51"	NA	"41"	"74"	65	"NOR"	0	"04174"	"Sentrale Nordsjø"	"NOR"	"Norges økonomiske sone"	"Atlanterhavet, nordøst/sentrale Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1564100"	3	"2013"	"R 0007K"	2020	"16.05.2020"	"51"	NA	"41"	"64"	60.4	"NOR"	0	"04164"	"Sentrale Nordsjø"	"NOR"	"Norges økonomiske sone"	"Atlanterhavet, nordøst/sentrale Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	201099	999
"1564084"	6	"2013"	"H 0004B"	2020	"13.05.2020"	"51"	NA	"41"	"64"	68.3	"NOR"	0	"04164"	"Sentrale Nordsjø"	"NOR"	"Norges økonomiske sone"	"Atlanterhavet, nordøst/sentrale Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1564072"	5	"2013"	"H 0020B"	2020	"11.05.2020"	"51"	NA	"41"	"76"	63.97	"NOR"	0	"04176"	"Sentrale Nordsjø"	"NOR"	"Norges økonomiske sone"	"Atlanterhavet, nordøst/sentrale Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
