"Dokumentnummer"	"Linjenummer"	"Art_kode"	"Registreringsmerke_seddel"	"Fangstår"	"SisteFangstdato"	"Redskap_kode"	"HovedgruppeRedskap_kode"	"Hovedområde_kode"	"Lokasjon_kode"	"StørsteLengde"	"Fartøynasjonalitet_kode"	"KystHav_kode"	"id"	"Dokumenttype_Kode"	"Dokumenttype_Bokmål"	"DokumentVersjonsnummer"	"DokumentFormulardato"	"DokumentElektroniskDato"
"1565884"	3	"2013"	"R 0022B"	2020	"30.07.2020"	"51"	NA	"28"	"10"	42.5	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"31.07.2020"	"07.08.2020 12:26:02.365"
"1565904"	8	"2013"	"H 0020B"	2020	"31.07.2020"	"51"	NA	"08"	"14"	63.97	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"01.08.2020"	"07.08.2020 12:32:03.330"
"1564593"	4	"2013"	"R 0001K"	2020	"10.06.2020"	"51"	NA	"41"	"93"	65	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"11.06.2020"	"22.06.2020 10:48:03.034"
"1565858"	10	"2013"	"R 0001K"	2020	"28.07.2020"	"51"	NA	"08"	"13"	65	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"29.07.2020"	"07.08.2020 12:20:07.912"
"1564464"	4	"2013"	"H 0004B"	2020	"06.06.2020"	"51"	NA	"41"	"74"	68.3	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"08.06.2020"	"18.06.2020 08:32:03.698"
"1564416"	5	"2013"	"R 0007K"	2020	"03.06.2020"	"51"	NA	"41"	"74"	60.4	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"05.06.2020"	"18.06.2020 08:14:02.848"
"1564178"	3	"2013"	"R 0003K"	2020	"23.05.2020"	"51"	NA	"41"	"74"	61.75	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"25.05.2020"	"10.06.2020 14:06:13.444"
"1564106"	5	"2013"	"R 0001K"	2020	"17.05.2020"	"51"	NA	"41"	"64"	65	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"18.05.2020"	"28.05.2020 07:52:04.905"
"1564292"	3	"2013"	"R 0001K"	2020	"29.05.2020"	"51"	NA	"08"	"06"	65	"NOR"	0	NA	0	"Sluttseddeldokument"	4	"31.05.2020"	"11.06.2020 09:22:03.473"
"1564078"	5	"2013"	"H 0030B"	2020	"12.05.2020"	"51"	NA	"41"	"64"	61.86	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"14.05.2020"	"25.05.2020 11:30:00.525"
"1564145"	3	"2013"	"R 0003K"	2020	"20.05.2020"	"51"	NA	"41"	"63"	61.75	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"21.05.2020"	"28.05.2020 08:00:05.639"
"1564107"	5	"2013"	"R 0001K"	2020	"17.05.2020"	"51"	NA	"41"	"74"	65	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"18.05.2020"	"28.05.2020 07:54:00.532"
"1564100"	3	"2013"	"R 0007K"	2020	"16.05.2020"	"51"	NA	"41"	"64"	60.4	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"17.05.2020"	"25.05.2020 12:04:00.400"
"1564084"	6	"2013"	"H 0004B"	2020	"13.05.2020"	"51"	NA	"41"	"64"	68.3	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"14.05.2020"	"25.05.2020 11:32:00.434"
"1564072"	5	"2013"	"H 0020B"	2020	"11.05.2020"	"51"	NA	"41"	"76"	63.97	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"12.05.2020"	"25.05.2020 12:30:00.435"
"1564152"	2	"2013"	"R 0007K"	2020	"21.05.2020"	"51"	NA	"41"	"63"	60.4	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"22.05.2020"	"28.05.2020 08:02:00.667"
"1564174"	3	"2013"	"R 0022B"	2020	"23.05.2020"	"51"	NA	"41"	"74"	42.5	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"24.05.2020"	"29.05.2020 08:10:03.608"
