"Dokumentnummer"	"Linjenummer"	"Art_kode"	"Registreringsmerke_seddel"	"Fangstår"	"SisteFangstdato"	"Redskap_kode"	"HovedgruppeRedskap_kode"	"Hovedområde_kode"	"Lokasjon_kode"	"StørsteLengde"	"Fartøynasjonalitet_kode"	"KystHav_kode"	"Fartøynavn"	"FartøyID"	"Radiokallesignal_seddel"	"Lengdegruppe_kode"	"Lengdegruppe_bokmål"	"Bruttotonnasje1969"	"BruttotonnasjeAnnen"	"Byggeår"	"Ombyggingsår"	"Motorkraft"	"Motorbyggeår"	"FartøyGjelderFraDato"	"FartøyGjelderTilDato"	"Fartøytype_kode"	"Fartøytype_bokmål"	"Fartøykommune_kode"	"Fartøykommune"	"Fartøyfylke_kode"	"Fartøyfylke"	"Fartøynasjonalitet_kode.Fartøy"	"Fartøynasjonalitet_bokmål"
"1578834"	1	"2013"	"R 0080ES"	2021	"19.10.2021"	"11"	NA	"07"	"15"	58.92	"NOR"	0	"ROALDSEN"	"2000013581"	"LJYA"	"5"	"28 m og over"	1185	NA	1999	2017	3260	1998	"01.01.2018"	"01.10.2022 01:02:28"	"01"	"Fiskefartøy"	1101	"EIGERSUND"	11	"Rogaland"	NA	"NORGE"
"1578190"	4	"2013"	"M 0101SM"	2021	"09.10.2021"	"51"	NA	"08"	"10"	53	"NOR"	0	"FISKEBANK"	"2004027725"	"LEPW"	"5"	"28 m og over"	1197	NA	2004	NA	3700	2003	"22.02.2021"	"01.10.2022 01:02:28"	"01"	"Fiskefartøy"	1573	"SMØLA"	15	"Møre og Romsdal"	NA	"NORGE"
"1572994"	12	"2013"	"VA0330S"	2021	"17.05.2021"	"51"	NA	"08"	"13"	40.3	"NOR"	0	"HELLEVIG 1"	"2017096693"	"LEUM"	"5"	"28 m og over"	499	NA	2001	2017	735	2001	"01.01.2020"	"01.10.2022 01:02:28"	"01"	"Fiskefartøy"	4204	"KRISTIANSAND"	42	"Agder"	NA	"NORGE"
"1572983"	6	"2013"	"H 0001AV"	2021	"15.05.2021"	"51"	NA	"41"	"74"	67	"NOR"	0	"HARVEST"	"2014065794"	"LDKY"	"5"	"28 m og over"	2342	NA	2014	NA	5400	2013	"01.01.2020"	"01.10.2022 01:02:28"	"01"	"Fiskefartøy"	4625	"AUSTEVOLL"	46	"Vestland"	NA	"NORGE"
"1573014"	5	"2013"	"R 0007K"	2021	"18.05.2021"	"51"	NA	"41"	"74"	60.4	"NOR"	0	"VEA"	"2004026585"	"LMMJ"	"5"	"28 m og over"	1475	NA	2003	NA	3900	2003	"01.01.2018"	"17.07.2022 23:59:59"	"01"	"Fiskefartøy"	1149	"KARMØY"	11	"Rogaland"	NA	"NORGE"
"1573477"	2	"2013"	"N 0024ME"	2021	"04.06.2021"	"53"	NA	"08"	"55"	67.4	"NOR"	0	"SELVÅG SENIOR"	"1999005441"	"LJXW"	"5"	"28 m og over"	1960	NA	1999	NA	7500	1998	"21.10.2020"	"01.10.2022 01:02:28"	"04"	"Leiefartøy (Erstatningsfartøy)"	1837	"MELØY"	18	"Nordland"	NA	"NORGE"
"1574215"	3	"2013"	"VL0182AV"	2021	"28.06.2021"	"53"	NA	"28"	"51"	74.6	"NOR"	0	"NORDERVEG"	"1993003818"	"LGWK"	"5"	"28 m og over"	2574	NA	1988	NA	6000	1987	"05.02.2020"	"01.10.2022 01:02:28"	"01"	"Fiskefartøy"	4625	"AUSTEVOLL"	46	"Vestland"	NA	"NORGE"
"1574884"	3	"2013"	"VA0110S"	2021	"27.07.2021"	"53"	NA	"28"	"52"	37.3	"NOR"	0	"SILLE MARIE"	"2011053909"	"LCPE"	"5"	"28 m og over"	484	NA	2000	2012	1599	2000	"01.01.2020"	"31.08.2021 23:59:59"	"01"	"Fiskefartøy"	4204	"KRISTIANSAND"	42	"Agder"	NA	"NORGE"
"1573396"	2	"2013"	"H 0002F"	2021	"02.06.2021"	"53"	NA	"28"	"52"	64	"NOR"	0	"LIGRUNN"	"2013062812"	"LDAK"	"5"	"28 m og over"	1825	NA	2013	NA	4023	2013	"17.04.2020"	"01.10.2022 01:02:28"	"01"	"Fiskefartøy"	4626	"ØYGARDEN"	46	"Vestland"	NA	"NORGE"
"1579595"	4	"2013"	"R 0007K"	2021	"09.11.2021"	"53"	NA	"08"	"13"	60.4	"NOR"	0	"VEA"	"2004026585"	"LMMJ"	"5"	"28 m og over"	1475	NA	2003	NA	3900	2003	"01.01.2018"	"17.07.2022 23:59:59"	"01"	"Fiskefartøy"	1149	"KARMØY"	11	"Rogaland"	NA	"NORGE"
"1574885"	5	"2013"	"VA0110S"	2021	"27.07.2021"	"53"	NA	"08"	"07"	37.3	"NOR"	0	"SILLE MARIE"	"2011053909"	"LCPE"	"5"	"28 m og over"	484	NA	2000	2012	1599	2000	"01.01.2020"	"31.08.2021 23:59:59"	"01"	"Fiskefartøy"	4204	"KRISTIANSAND"	42	"Agder"	NA	"NORGE"
"1574886"	2	"2013"	"M 0001HØ"	2021	"27.07.2021"	"53"	NA	"28"	"52"	75.4	"NOR"	0	"TEIGENES"	"2005033587"	"LNTY"	"5"	"28 m og over"	2883	NA	2005	NA	5168	2003	"27.11.2019"	"01.10.2022 01:02:28"	"01"	"Fiskefartøy"	1515	"HERØY i Møre og Romsdal"	15	"Møre og Romsdal"	NA	"NORGE"
"1572808"	7	"2013"	"H 0020B"	2021	"14.04.2021"	"53"	NA	"08"	"14"	63.97	"NOR"	0	"TRYGVASON"	"2016074733"	"LENJ"	"5"	"28 m og over"	1520	NA	2001	2004	5800	2001	"01.01.2020"	"01.07.2021 23:59:59"	"01"	"Fiskefartøy"	4613	"BØMLO"	46	"Vestland"	NA	"NORGE"
"1574899"	2	"2013"	"N 0024ME"	2021	"28.07.2021"	"53"	NA	"28"	"51"	67.4	"NOR"	0	"SELVÅG SENIOR"	"1999005441"	"LJXW"	"5"	"28 m og over"	1960	NA	1999	NA	7500	1998	"21.10.2020"	"01.10.2022 01:02:28"	"04"	"Leiefartøy (Erstatningsfartøy)"	1837	"MELØY"	18	"Nordland"	NA	"NORGE"
"1574888"	6	"2013"	"H 0017BN"	2021	"27.07.2021"	"53"	NA	"28"	"09"	42.9	"NOR"	0	"KROSSØY"	"2011056488"	"3YMI"	"5"	"28 m og over"	906	NA	2011	NA	1800	2011	"01.01.2020"	"01.10.2022 01:02:28"	"01"	"Fiskefartøy"	4601	"BERGEN"	46	"Vestland"	NA	"NORGE"
"1573596"	2	"2013"	"R 0007K"	2021	"09.06.2021"	"53"	NA	"08"	"06"	60.4	"NOR"	0	"VEA"	"2004026585"	"LMMJ"	"5"	"28 m og over"	1475	NA	2003	NA	3900	2003	"01.01.2018"	"17.07.2022 23:59:59"	"01"	"Fiskefartøy"	1149	"KARMØY"	11	"Rogaland"	NA	"NORGE"
"1577377"	1	"2013"	"VA0110S"	2021	"19.09.2021"	"53"	NA	"28"	"09"	37.3	"NOR"	0	"SILLE MARIE"	"2011053909"	"LCPE"	"5"	"28 m og over"	484	NA	2000	2012	1599	2000	"01.09.2021"	"01.10.2022 01:02:28"	"01"	"Fiskefartøy"	4204	"KRISTIANSAND"	42	"Agder"	NA	"NORGE"
"1577491"	5	"2013"	"H 0020B"	2021	"22.09.2021"	"53"	NA	"08"	"12"	63.97	"NOR"	0	"TRYGVASON"	"2016074733"	"LENJ"	"5"	"28 m og over"	1520	NA	2001	2004	5800	2001	"02.07.2021"	"01.10.2022 01:02:28"	"01"	"Fiskefartøy"	4613	"BØMLO"	46	"Vestland"	NA	"NORGE"
"1574898"	1	"2013"	"N 0024ME"	2021	"28.07.2021"	"53"	NA	"30"	"08"	67.4	"NOR"	0	"SELVÅG SENIOR"	"1999005441"	"LJXW"	"5"	"28 m og over"	1960	NA	1999	NA	7500	1998	"21.10.2020"	"01.10.2022 01:02:28"	"04"	"Leiefartøy (Erstatningsfartøy)"	1837	"MELØY"	18	"Nordland"	NA	"NORGE"
"1575681"	5	"2013"	"M 0023HØ"	2021	"19.08.2021"	"53"	NA	"08"	"11"	69.95	"NOR"	0	"HERØYFJORD"	"2021117460"	"LGSJ"	"5"	"28 m og over"	2351	NA	2013	NA	4733	2013	"13.04.2021"	"01.10.2022 01:02:28"	"01"	"Fiskefartøy"	1515	"HERØY i Møre og Romsdal"	15	"Møre og Romsdal"	NA	"NORGE"
"1573927"	2	"2013"	"VL0182AV"	2021	"19.06.2021"	"53"	NA	"28"	"52"	74.6	"NOR"	0	"NORDERVEG"	"1993003818"	"LGWK"	"5"	"28 m og over"	2574	NA	1988	NA	6000	1987	"05.02.2020"	"01.10.2022 01:02:28"	"01"	"Fiskefartøy"	4625	"AUSTEVOLL"	46	"Vestland"	NA	"NORGE"
"1573948"	2	"2013"	"H 0140AV"	2021	"20.06.2021"	"53"	NA	"28"	"52"	64	"NOR"	0	"MORTEN EINAR"	"2012059692"	"LCOV"	"5"	"28 m og over"	1825	NA	2012	NA	6000	2011	"01.01.2020"	"01.10.2022 01:02:28"	"01"	"Fiskefartøy"	4625	"AUSTEVOLL"	46	"Vestland"	NA	"NORGE"
"1572802"	10	"2013"	"R 0001K"	2021	"13.04.2021"	"53"	NA	"08"	"13"	65	"NOR"	0	"CETUS"	"2019111153"	"LFFK"	"5"	"28 m og over"	2230	NA	2019	NA	4500	2019	"06.09.2019"	"09.03.2022 23:59:59"	"01"	"Fiskefartøy"	1149	"KARMØY"	11	"Rogaland"	NA	"NORGE"
"1574595"	3	"2013"	"R 0001K"	2021	"09.07.2021"	"53"	NA	"28"	"52"	65	"NOR"	0	"CETUS"	"2019111153"	"LFFK"	"5"	"28 m og over"	2230	NA	2019	NA	4500	2019	"06.09.2019"	"09.03.2022 23:59:59"	"01"	"Fiskefartøy"	1149	"KARMØY"	11	"Rogaland"	NA	"NORGE"
"1574170"	2	"2013"	"H 0175B"	2021	"26.06.2021"	"53"	NA	"08"	"55"	61.54	"NOR"	0	"BØMMELBAS"	"2000013297"	"LLGZ"	"5"	"28 m og over"	1206	NA	2000	NA	3750	2000	"01.01.2020"	"01.10.2022 01:02:28"	"01"	"Fiskefartøy"	4613	"BØMLO"	46	"Vestland"	NA	"NORGE"
"1573600"	2	"2013"	"H 0365AV"	2021	"09.06.2021"	"53"	NA	"08"	"07"	78.75	"NOR"	0	"GERDA MARIE"	"2019112253"	"LGFQ"	"5"	"28 m og over"	2935	NA	2015	NA	7020	2016	"16.01.2020"	"01.10.2022 01:02:28"	"01"	"Fiskefartøy"	4625	"AUSTEVOLL"	46	"Vestland"	NA	"NORGE"
"1574125"	3	"2013"	"R 0020V"	2021	"24.06.2021"	"53"	NA	"28"	"51"	49.9	"NOR"	0	"STRAUMBAS"	"2017094693"	"LEWL"	"5"	"28 m og over"	NA	852	1998	NA	3600	1998	"01.01.2018"	"01.10.2022 01:02:28"	"01"	"Fiskefartøy"	1160	"VINDAFJORD"	11	"Rogaland"	NA	"NORGE"
"1574232"	5	"2013"	"R 0020V"	2021	"28.06.2021"	"53"	NA	"28"	"52"	49.9	"NOR"	0	"STRAUMBAS"	"2017094693"	"LEWL"	"5"	"28 m og over"	NA	852	1998	NA	3600	1998	"01.01.2018"	"01.10.2022 01:02:28"	"01"	"Fiskefartøy"	1160	"VINDAFJORD"	11	"Rogaland"	NA	"NORGE"
"1573352"	2	"2013"	"R 0003K"	2021	"01.06.2021"	"53"	NA	"28"	"51"	61.75	"NOR"	0	"VIKINGBANK"	"2000013274"	"LLAS"	"5"	"28 m og over"	1190	NA	2000	NA	3750	1999	"01.01.2018"	"03.08.2021 23:59:59"	"01"	"Fiskefartøy"	1149	"KARMØY"	11	"Rogaland"	NA	"NORGE"
"1574621"	2	"2013"	"R 0020V"	2021	"09.07.2021"	"53"	NA	"28"	"52"	49.9	"NOR"	0	"STRAUMBAS"	"2017094693"	"LEWL"	"5"	"28 m og over"	NA	852	1998	NA	3600	1998	"01.01.2018"	"01.10.2022 01:02:28"	"01"	"Fiskefartøy"	1160	"VINDAFJORD"	11	"Rogaland"	NA	"NORGE"
"1573682"	2	"2013"	"VL0182AV"	2021	"12.06.2021"	"53"	NA	"09"	"08"	74.6	"NOR"	8	"NORDERVEG"	"1993003818"	"LGWK"	"5"	"28 m og over"	2574	NA	1988	NA	6000	1987	"05.02.2020"	"01.10.2022 01:02:28"	"01"	"Fiskefartøy"	4625	"AUSTEVOLL"	46	"Vestland"	NA	"NORGE"
"1574238"	2	"2013"	"H 0001AV"	2021	"29.06.2021"	"53"	NA	"28"	"09"	67	"NOR"	0	"HARVEST"	"2014065794"	"LDKY"	"5"	"28 m og over"	2342	NA	2014	NA	5400	2013	"01.01.2020"	"01.10.2022 01:02:28"	"01"	"Fiskefartøy"	4625	"AUSTEVOLL"	46	"Vestland"	NA	"NORGE"
"1574764"	5	"2013"	"H 0004B"	2021	"16.07.2021"	"53"	NA	"28"	"09"	68.3	"NOR"	0	"LØNNØY"	"1999013384"	"LJTD"	"5"	"28 m og over"	2183	NA	1999	NA	5875	1999	"01.01.2020"	"01.10.2022 01:02:28"	"01"	"Fiskefartøy"	4613	"BØMLO"	46	"Vestland"	NA	"NORGE"
"1579542"	7	"2013"	"H 0020B"	2021	"08.11.2021"	"53"	NA	"08"	"13"	63.97	"NOR"	0	"TRYGVASON"	"2016074733"	"LENJ"	"5"	"28 m og over"	1520	NA	2001	2004	5800	2001	"02.07.2021"	"01.10.2022 01:02:28"	"01"	"Fiskefartøy"	4613	"BØMLO"	46	"Vestland"	NA	"NORGE"
"1573898"	4	"2013"	"H 0388B"	2021	"18.06.2021"	"53"	NA	"28"	"51"	68.8	"NOR"	0	"BØMMELFJORD"	"2003021026"	"LMBX"	"5"	"28 m og over"	2046	NA	2003	NA	6180	2003	"22.12.2020"	"01.10.2022 01:02:28"	"01"	"Fiskefartøy"	4613	"BØMLO"	46	"Vestland"	NA	"NORGE"
"1579209"	1	"2013"	"H 0020B"	2021	"31.10.2021"	"53"	NA	"08"	"14"	63.97	"NOR"	0	"TRYGVASON"	"2016074733"	"LENJ"	"5"	"28 m og over"	1520	NA	2001	2004	5800	2001	"02.07.2021"	"01.10.2022 01:02:28"	"01"	"Fiskefartøy"	4613	"BØMLO"	46	"Vestland"	NA	"NORGE"
"1578180"	10	"2013"	"H 0030B"	2021	"09.10.2021"	"53"	NA	"08"	"13"	61.86	"NOR"	0	"LØNNINGEN"	"2009048528"	"LKLV"	"5"	"28 m og over"	1169	NA	1998	2001	4670	1998	"01.01.2020"	"01.10.2022 01:02:28"	"01"	"Fiskefartøy"	4613	"BØMLO"	46	"Vestland"	NA	"NORGE"
"1578009"	9	"2013"	"H 0004B"	2021	"06.10.2021"	"53"	NA	"08"	"11"	68.3	"NOR"	0	"LØNNØY"	"1999013384"	"LJTD"	"5"	"28 m og over"	2183	NA	1999	NA	5875	1999	"01.01.2020"	"01.10.2022 01:02:28"	"01"	"Fiskefartøy"	4613	"BØMLO"	46	"Vestland"	NA	"NORGE"
"1577515"	4	"2013"	"M 0101SM"	2021	"22.09.2021"	"51"	NA	"08"	"13"	53	"NOR"	0	"FISKEBANK"	"2004027725"	"LEPW"	"5"	"28 m og over"	1197	NA	2004	NA	3700	2003	"22.02.2021"	"01.10.2022 01:02:28"	"01"	"Fiskefartøy"	1573	"SMØLA"	15	"Møre og Romsdal"	NA	"NORGE"
"1577507"	8	"2013"	"H 0140AV"	2021	"22.09.2021"	"51"	NA	"08"	"07"	64	"NOR"	0	"MORTEN EINAR"	"2012059692"	"LCOV"	"5"	"28 m og over"	1825	NA	2012	NA	6000	2011	"01.01.2020"	"01.10.2022 01:02:28"	"01"	"Fiskefartøy"	4625	"AUSTEVOLL"	46	"Vestland"	NA	"NORGE"
