"Dokumentnummer"	"Linjenummer"	"Art_kode"	"Registreringsmerke_seddel"	"Fangstår"	"SisteFangstdato"	"Redskap_kode"	"HovedgruppeRedskap_kode"	"Hovedområde_kode"	"Lokasjon_kode"	"StørsteLengde"	"Fartøynasjonalitet_kode"	"KystHav_kode"	"Landingsdato"	"Landingsklokkeslett"	"Landingskommune_kode"	"Landingskommune"	"Landingsfylke_kode"	"Landingsfylke"	"Landingsnasjon_kode"	"Landingsnasjon_bokmål"	"Produksjonsanlegg"	"Produksjonskommune_kode"	"Produksjonskommune"
"1578834"	1	"2013"	"R 0080ES"	2021	"19.10.2021"	"11"	NA	"07"	"15"	58.92	"NOR"	0	"21.10.2021"	"17:30:00"	1804	"BODØ"	18	"Nordland"	"NOR"	"NORGE"	NA	NA	NA
"1578190"	4	"2013"	"M 0101SM"	2021	"09.10.2021"	"51"	NA	"08"	"10"	53	"NOR"	0	"10.10.2021"	"15:59:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1572994"	12	"2013"	"VA0330S"	2021	"17.05.2021"	"51"	NA	"08"	"13"	40.3	"NOR"	0	"18.05.2021"	"11:01:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1572983"	6	"2013"	"H 0001AV"	2021	"15.05.2021"	"51"	NA	"41"	"74"	67	"NOR"	0	"16.05.2021"	"17:32:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1573014"	5	"2013"	"R 0007K"	2021	"18.05.2021"	"51"	NA	"41"	"74"	60.4	"NOR"	0	"19.05.2021"	"12:34:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1573477"	2	"2013"	"N 0024ME"	2021	"04.06.2021"	"53"	NA	"08"	"55"	67.4	"NOR"	0	"05.06.2021"	"14:36:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1574215"	3	"2013"	"VL0182AV"	2021	"28.06.2021"	"53"	NA	"28"	"51"	74.6	"NOR"	0	"28.06.2021"	"11:00:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1574884"	3	"2013"	"VA0110S"	2021	"27.07.2021"	"53"	NA	"28"	"52"	37.3	"NOR"	0	"28.07.2021"	"18:01:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1573396"	2	"2013"	"H 0002F"	2021	"02.06.2021"	"53"	NA	"28"	"52"	64	"NOR"	0	"04.06.2021"	"09:58:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1579595"	4	"2013"	"R 0007K"	2021	"09.11.2021"	"53"	NA	"08"	"13"	60.4	"NOR"	0	"10.11.2021"	"10:38:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1574885"	5	"2013"	"VA0110S"	2021	"27.07.2021"	"53"	NA	"08"	"07"	37.3	"NOR"	0	"28.07.2021"	"18:09:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1574886"	2	"2013"	"M 0001HØ"	2021	"27.07.2021"	"53"	NA	"28"	"52"	75.4	"NOR"	0	"28.07.2021"	"13:17:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1572808"	7	"2013"	"H 0020B"	2021	"14.04.2021"	"53"	NA	"08"	"14"	63.97	"NOR"	0	"15.04.2021"	"14:12:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1574899"	2	"2013"	"N 0024ME"	2021	"28.07.2021"	"53"	NA	"28"	"51"	67.4	"NOR"	0	"29.07.2021"	"12:44:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1574888"	6	"2013"	"H 0017BN"	2021	"27.07.2021"	"53"	NA	"28"	"09"	42.9	"NOR"	0	"28.07.2021"	"20:49:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1573596"	2	"2013"	"R 0007K"	2021	"09.06.2021"	"53"	NA	"08"	"06"	60.4	"NOR"	0	"09.06.2021"	"22:40:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1577377"	1	"2013"	"VA0110S"	2021	"19.09.2021"	"53"	NA	"28"	"09"	37.3	"NOR"	0	"19.09.2021"	"17:51:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1577491"	5	"2013"	"H 0020B"	2021	"22.09.2021"	"53"	NA	"08"	"12"	63.97	"NOR"	0	"23.09.2021"	"10:12:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1574898"	1	"2013"	"N 0024ME"	2021	"28.07.2021"	"53"	NA	"30"	"08"	67.4	"NOR"	0	"29.07.2021"	"12:41:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1575681"	5	"2013"	"M 0023HØ"	2021	"19.08.2021"	"53"	NA	"08"	"11"	69.95	"NOR"	0	"20.08.2021"	"14:06:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1573927"	2	"2013"	"VL0182AV"	2021	"19.06.2021"	"53"	NA	"28"	"52"	74.6	"NOR"	0	"20.06.2021"	"09:02:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1573948"	2	"2013"	"H 0140AV"	2021	"20.06.2021"	"53"	NA	"28"	"52"	64	"NOR"	0	"21.06.2021"	"13:47:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1572802"	10	"2013"	"R 0001K"	2021	"13.04.2021"	"53"	NA	"08"	"13"	65	"NOR"	0	"14.04.2021"	"11:04:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1574595"	3	"2013"	"R 0001K"	2021	"09.07.2021"	"53"	NA	"28"	"52"	65	"NOR"	0	"10.07.2021"	"10:07:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1574170"	2	"2013"	"H 0175B"	2021	"26.06.2021"	"53"	NA	"08"	"55"	61.54	"NOR"	0	"26.06.2021"	"16:42:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1573600"	2	"2013"	"H 0365AV"	2021	"09.06.2021"	"53"	NA	"08"	"07"	78.75	"NOR"	0	"10.06.2021"	"00:49:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1574125"	3	"2013"	"R 0020V"	2021	"24.06.2021"	"53"	NA	"28"	"51"	49.9	"NOR"	0	"25.06.2021"	"16:49:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1574232"	5	"2013"	"R 0020V"	2021	"28.06.2021"	"53"	NA	"28"	"52"	49.9	"NOR"	0	"29.06.2021"	"09:09:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1573352"	2	"2013"	"R 0003K"	2021	"01.06.2021"	"53"	NA	"28"	"51"	61.75	"NOR"	0	"02.06.2021"	"10:42:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1574621"	2	"2013"	"R 0020V"	2021	"09.07.2021"	"53"	NA	"28"	"52"	49.9	"NOR"	0	"10.07.2021"	"16:03:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1573682"	2	"2013"	"VL0182AV"	2021	"12.06.2021"	"53"	NA	"09"	"08"	74.6	"NOR"	8	"12.06.2021"	"20:40:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1574238"	2	"2013"	"H 0001AV"	2021	"29.06.2021"	"53"	NA	"28"	"09"	67	"NOR"	0	"29.06.2021"	"16:47:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1574764"	5	"2013"	"H 0004B"	2021	"16.07.2021"	"53"	NA	"28"	"09"	68.3	"NOR"	0	"17.07.2021"	"09:47:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1579542"	7	"2013"	"H 0020B"	2021	"08.11.2021"	"53"	NA	"08"	"13"	63.97	"NOR"	0	"09.11.2021"	"12:45:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1573898"	4	"2013"	"H 0388B"	2021	"18.06.2021"	"53"	NA	"28"	"51"	68.8	"NOR"	0	"19.06.2021"	"12:15:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1579209"	1	"2013"	"H 0020B"	2021	"31.10.2021"	"53"	NA	"08"	"14"	63.97	"NOR"	0	"01.11.2021"	"13:27:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1578180"	10	"2013"	"H 0030B"	2021	"09.10.2021"	"53"	NA	"08"	"13"	61.86	"NOR"	0	"10.10.2021"	"12:02:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1578009"	9	"2013"	"H 0004B"	2021	"06.10.2021"	"53"	NA	"08"	"11"	68.3	"NOR"	0	"07.10.2021"	"12:38:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1577515"	4	"2013"	"M 0101SM"	2021	"22.09.2021"	"51"	NA	"08"	"13"	53	"NOR"	0	"23.09.2021"	"14:29:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1577507"	8	"2013"	"H 0140AV"	2021	"22.09.2021"	"51"	NA	"08"	"07"	64	"NOR"	0	"23.09.2021"	"17:47:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1572992"	6	"2013"	"R 0001K"	2021	"17.05.2021"	"51"	NA	"41"	"74"	65	"NOR"	0	"18.05.2021"	"19:03:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1572835"	6	"2013"	"M 0031HØ"	2021	"20.04.2021"	"51"	NA	"41"	"75"	62.6	"NOR"	0	"22.04.2021"	"18:25:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1573206"	6	"2013"	"R 0007K"	2021	"28.05.2021"	"51"	NA	"41"	"74"	60.4	"NOR"	0	"29.05.2021"	"20:00:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1573034"	7	"2013"	"VA0095K"	2021	"20.05.2021"	"51"	NA	"41"	"74"	38.7	"NOR"	0	"21.05.2021"	"21:13:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1572857"	6	"2013"	"H 0030B"	2021	"24.04.2021"	"51"	NA	"08"	"06"	61.86	"NOR"	0	"25.04.2021"	"18:46:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1572865"	5	"2013"	"M 0031HØ"	2021	"25.04.2021"	"51"	NA	"08"	"06"	62.6	"NOR"	0	"27.04.2021"	"15:22:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1574124"	10	"2013"	"H 0030B"	2021	"24.06.2021"	"51"	NA	"08"	"14"	61.86	"NOR"	0	"25.06.2021"	"09:55:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1572862"	5	"2013"	"H 0020B"	2021	"25.04.2021"	"51"	NA	"08"	"06"	63.97	"NOR"	0	"26.04.2021"	"17:44:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1572986"	6	"2013"	"H 0017BN"	2021	"16.05.2021"	"51"	NA	"08"	"13"	42.9	"NOR"	0	"17.05.2021"	"09:34:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1573033"	4	"2013"	"VA0330S"	2021	"20.05.2021"	"51"	NA	"41"	"74"	40.3	"NOR"	0	"21.05.2021"	"09:43:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1572781"	4	"2013"	"R 0001K"	2021	"04.04.2021"	"51"	NA	"08"	"13"	65	"NOR"	0	"05.04.2021"	"11:47:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1572941"	4	"2013"	"R 0007K"	2021	"09.05.2021"	"51"	NA	"41"	"75"	60.4	"NOR"	0	"10.05.2021"	"12:50:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1572896"	3	"2013"	"R 0007K"	2021	"01.05.2021"	"51"	NA	"08"	"06"	60.4	"NOR"	0	"02.05.2021"	"12:35:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1572926"	3	"2013"	"R 0001K"	2021	"05.05.2021"	"51"	NA	"08"	"06"	65	"NOR"	0	"06.05.2021"	"18:19:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1573035"	6	"2013"	"H 0030B"	2021	"20.05.2021"	"51"	NA	"41"	"74"	61.86	"NOR"	0	"21.05.2021"	"16:50:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1572828"	5	"2013"	"R 0001K"	2021	"20.04.2021"	"51"	NA	"41"	"75"	65	"NOR"	0	"21.04.2021"	"14:46:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1572836"	3	"2013"	"M 0095MD"	2021	"20.04.2021"	"51"	NA	"41"	"75"	62.6	"NOR"	0	"22.04.2021"	"11:32:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1576021"	6	"2013"	"R 0022B"	2021	"24.08.2021"	"51"	NA	"08"	"07"	42.5	"NOR"	0	"25.08.2021"	"19:31:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1577499"	6	"2013"	"R 0022B"	2021	"22.09.2021"	"51"	NA	"08"	"07"	42.5	"NOR"	0	"23.09.2021"	"13:09:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1574348"	5	"2013"	"H 0175B"	2021	"03.07.2021"	"51"	NA	"28"	"09"	61.54	"NOR"	0	"04.07.2021"	"18:00:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1577347"	8	"2013"	"M 0101SM"	2021	"18.09.2021"	"51"	NA	"08"	"07"	53	"NOR"	0	"19.09.2021"	"09:54:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1574397"	6	"2013"	"H 0388B"	2021	"04.07.2021"	"51"	NA	"28"	"09"	68.8	"NOR"	0	"05.07.2021"	"12:37:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1574460"	20	"2013"	"R 0001K"	2021	"05.07.2021"	"51"	NA	"08"	"14"	65	"NOR"	0	"06.07.2021"	"09:56:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1574454"	13	"2013"	"R 0022B"	2021	"05.07.2021"	"51"	NA	"08"	"14"	42.5	"NOR"	0	"06.07.2021"	"11:51:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1577510"	8	"2013"	"H 0388B"	2021	"22.09.2021"	"51"	NA	"08"	"10"	68.8	"NOR"	0	"23.09.2021"	"21:59:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1579216"	8	"2013"	"H 0221B"	2021	"31.10.2021"	"51"	NA	"08"	"13"	49.96	"NOR"	0	"01.11.2021"	"10:37:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1576011"	4	"2013"	"VA0330S"	2021	"24.08.2021"	"51"	NA	"08"	"07"	40.3	"NOR"	0	"25.08.2021"	"11:08:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1575609"	6	"2013"	"R 0022B"	2021	"17.08.2021"	"51"	NA	"08"	"14"	42.5	"NOR"	0	"18.08.2021"	"14:40:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1574847"	12	"2013"	"R 0001K"	2021	"25.07.2021"	"51"	NA	"28"	"09"	65	"NOR"	0	"26.07.2021"	"17:02:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1574767"	2	"2013"	"R 0001K"	2021	"17.07.2021"	"51"	NA	"08"	"14"	65	"NOR"	0	"18.07.2021"	"10:58:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1572882"	5	"2013"	"R 0022B"	2021	"29.04.2021"	"51"	NA	"08"	"06"	42.5	"NOR"	0	"30.04.2021"	"02:35:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1574762"	3	"2013"	"R 0003K"	2021	"16.07.2021"	"51"	NA	"42"	"14"	61.75	"NOR"	0	"17.07.2021"	"14:22:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1572894"	4	"2013"	"R 0003K"	2021	"30.04.2021"	"51"	NA	"08"	"06"	61.75	"NOR"	0	"01.05.2021"	"14:37:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1573544"	2	"2013"	"N 0200B"	2021	"07.06.2021"	"11"	NA	"08"	"13"	69.77	"NOR"	0	"08.06.2021"	"09:56:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1573432"	2	"2013"	"F 0004H"	2021	"04.06.2021"	"11"	NA	"08"	"53"	44.35	"NOR"	0	"04.06.2021"	"12:54:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1573514"	2	"2013"	"VL0167AV"	2021	"06.06.2021"	"11"	NA	"28"	"51"	63.5	"NOR"	0	"07.06.2021"	"11:52:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1574394"	2	"2013"	"SF0008SU"	2021	"04.07.2021"	"11"	NA	"08"	"13"	27.1	"NOR"	0	"04.07.2021"	"19:36:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1573438"	2	"2013"	"SF0008A"	2021	"04.06.2021"	"11"	NA	"08"	"11"	44.85	"NOR"	0	"05.06.2021"	"07:41:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1573647"	2	"2013"	"T 0025I"	2021	"11.06.2021"	"11"	NA	"08"	"07"	54.27	"NOR"	0	"11.06.2021"	"20:29:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1573657"	2	"2013"	"SF0008SU"	2021	"11.06.2021"	"11"	NA	"08"	"07"	27.1	"NOR"	0	"11.06.2021"	"17:16:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1579579"	1	"2013"	"H 0011S"	2021	"04.11.2021"	"11"	NA	"28"	"01"	11.29	"NOR"	0	"09.11.2021"	"15:52:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1579578"	1	"2013"	"H 0047S"	2021	"04.11.2021"	"11"	NA	"28"	"01"	7.67	"NOR"	0	"09.11.2021"	"15:56:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1579576"	1	"2013"	"H 0077S"	2021	"04.11.2021"	"11"	NA	"28"	"01"	6.4	"NOR"	0	"09.11.2021"	"15:47:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1573488"	2	"2013"	"SF0001V"	2021	"05.06.2021"	"11"	NA	"08"	"55"	56.2	"NOR"	0	"06.06.2021"	"10:59:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1573667"	2	"2013"	"H 0010AM"	2021	"11.06.2021"	"11"	NA	"08"	"55"	57.5	"NOR"	0	"12.06.2021"	"09:18:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1573638"	2	"2013"	"VL0050G"	2021	"10.06.2021"	"11"	NA	"08"	"07"	34.99	"NOR"	0	"11.06.2021"	"10:51:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1573474"	2	"2013"	"F 0184M"	2021	"04.06.2021"	"11"	NA	"08"	"11"	61.75	"NOR"	0	"05.06.2021"	"11:11:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1573631"	2	"2013"	"N 0053BØ"	2021	"10.06.2021"	"11"	NA	"08"	"55"	37.52	"NOR"	0	"11.06.2021"	"07:35:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1574204"	2	"2013"	"VL0167AV"	2021	"27.06.2021"	"11"	NA	"08"	"55"	63.5	"NOR"	0	"28.06.2021"	"08:47:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"3212083"	1	"2013"	"AG0012LS"	2021	"01.09.2021"	"34"	NA	"09"	"30"	12.96	"NOR"	8	"01.09.2021"	"08:43:00"	4601	"BERGEN"	46	"Vestland"	"NOR"	"NORGE"	NA	NA	NA
"10326"	28	"2013"	"M 0110G"	2021	"19.09.2021"	"51"	NA	"08"	"05"	74.8	"NOR"	0	"23.09.2021"	"16:16:00"	1507	"ÅLESUND"	15	"Møre og Romsdal"	"NOR"	"NORGE"	NA	NA	NA
"10248"	24	"2013"	"M 0069G"	2021	"24.08.2021"	"51"	NA	"08"	"09"	66.28	"NOR"	0	"28.08.2021"	"20:30:00"	1507	"ÅLESUND"	15	"Møre og Romsdal"	"NOR"	"NORGE"	NA	NA	NA
"235887"	1	"2013"	"M 0069G"	2021	"24.08.2021"	"51"	NA	"08"	"09"	66.28	"NOR"	0	"28.08.2021"	"20:30:00"	1507	"ÅLESUND"	15	"Møre og Romsdal"	"NOR"	"NORGE"	NA	NA	NA
"1572993"	3	"2013"	"M 0158SM"	2021	"17.05.2021"	"51"	NA	"41"	"74"	53.9	"NOR"	0	"18.05.2021"	"16:47:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
