"Dokumentnummer"	"Linjenummer"	"Art_kode"	"Registreringsmerke_seddel"	"Fangstår"	"SisteFangstdato"	"Redskap_kode"	"HovedgruppeRedskap_kode"	"Hovedområde_kode"	"Lokasjon_kode"	"StørsteLengde"	"Fartøynasjonalitet_kode"	"KystHav_kode"	"KvotefartøyRegMerke"	"Kvotetype_kode"	"Kvotetype_bokmål"
"1587652"	9	"2013"	"H 0221B"	2022	"26.09.2022"	"51"	NA	"08"	"13"	49.96	"NOR"	0	"H 0221B"	"01"	"Vanlig kvote"
"1582396"	3	"2013"	"M 0031HØ"	2022	"13.04.2022"	"51"	NA	"28"	"53"	62.6	"NOR"	0	"M 0031HØ"	"01"	"Vanlig kvote"
"1587644"	16	"2013"	"R 0022B"	2022	"26.09.2022"	"51"	NA	"08"	"14"	42.5	"NOR"	0	"R 0022B"	"01"	"Vanlig kvote"
"1582816"	2	"2013"	"H 0010AM"	2022	"30.05.2022"	"11"	NA	"08"	"07"	57.5	"NOR"	0	"H 0010AM"	"01"	"Vanlig kvote"
"1582641"	4	"2013"	"N 0114L"	2022	"21.05.2022"	"11"	NA	"08"	"11"	27.4	"NOR"	0	"N 0114L"	"01"	"Vanlig kvote"
"1582859"	2	"2013"	"N 0119SO"	2022	"31.05.2022"	"11"	NA	"08"	"07"	54.05	"NOR"	0	"N 0119SO"	"01"	"Vanlig kvote"
"1582713"	2	"2013"	"M 0027VD"	2022	"24.05.2022"	"11"	NA	"08"	"52"	65.7	"NOR"	0	"M 0027VD"	"01"	"Vanlig kvote"
"1585209"	4	"2013"	"R 0001K"	2022	"23.08.2022"	"51"	NA	"08"	"14"	65	"NOR"	0	"R 0001K"	"01"	"Vanlig kvote"
"1583917"	8	"2013"	"R 0001K"	2022	"15.07.2022"	"51"	NA	"08"	"13"	65	"NOR"	0	"R 0001K"	"01"	"Vanlig kvote"
"1585871"	6	"2013"	"H 0221B"	2022	"31.08.2022"	"51"	NA	"08"	"13"	49.96	"NOR"	0	"H 0221B"	"01"	"Vanlig kvote"
"1585125"	5	"2013"	"R 0022B"	2022	"22.08.2022"	"51"	NA	"08"	"14"	42.5	"NOR"	0	"R 0022B"	"01"	"Vanlig kvote"
"1583717"	9	"2013"	"H 0004B"	2022	"05.07.2022"	"51"	NA	"08"	"10"	68.3	"NOR"	0	"H 0004B"	"01"	"Vanlig kvote"
"1583743"	12	"2013"	"R 0001K"	2022	"06.07.2022"	"51"	NA	"08"	"13"	65	"NOR"	0	"R 0001K"	"01"	"Vanlig kvote"
"1585204"	3	"2013"	"H 0221B"	2022	"23.08.2022"	"51"	NA	"08"	"14"	49.96	"NOR"	0	"H 0221B"	"01"	"Vanlig kvote"
"1583129"	5	"2013"	"H 0140AV"	2022	"16.06.2022"	"51"	NA	"41"	"76"	64	"NOR"	0	"H 0140AV"	"01"	"Vanlig kvote"
"1583099"	3	"2013"	"R 0011K"	2022	"15.06.2022"	"51"	NA	"41"	"76"	65	"NOR"	0	"R 0011K"	"01"	"Vanlig kvote"
"1582661"	6	"2013"	"H 0069S"	2022	"21.05.2022"	"51"	NA	"41"	"75"	61.88	"NOR"	0	"H 0069S"	"01"	"Vanlig kvote"
"1582571"	4	"2013"	"R 0001K"	2022	"17.05.2022"	"51"	NA	"41"	"74"	65	"NOR"	0	"R 0001K"	"01"	"Vanlig kvote"
"1582500"	3	"2013"	"H 0001AV"	2022	"06.05.2022"	"51"	NA	"41"	"75"	67	"NOR"	0	"H 0001AV"	"01"	"Vanlig kvote"
"1582883"	3	"2013"	"R 0022B"	2022	"02.06.2022"	"51"	NA	"41"	"64"	42.5	"NOR"	0	"R 0022B"	"01"	"Vanlig kvote"
"1582475"	5	"2013"	"H 0020B"	2022	"03.05.2022"	"51"	NA	"41"	"65"	63.97	"NOR"	0	"H 0020B"	"01"	"Vanlig kvote"
"1582455"	2	"2013"	"R 0011K"	2022	"28.04.2022"	"51"	NA	"41"	"76"	65	"NOR"	0	"R 0011K"	"01"	"Vanlig kvote"
"1582530"	3	"2013"	"M 0031HØ"	2022	"12.05.2022"	"51"	NA	"41"	"76"	62.6	"NOR"	0	"M 0031HØ"	"01"	"Vanlig kvote"
"1582953"	3	"2013"	"R 0011K"	2022	"07.06.2022"	"51"	NA	"41"	"74"	65	"NOR"	0	"R 0011K"	"01"	"Vanlig kvote"
"1582951"	4	"2013"	"R 0001K"	2022	"07.06.2022"	"51"	NA	"41"	"75"	65	"NOR"	0	"R 0001K"	"01"	"Vanlig kvote"
"1582659"	5	"2013"	"H 0002F"	2022	"21.05.2022"	"51"	NA	"41"	"75"	64	"NOR"	0	"H 0002F"	"01"	"Vanlig kvote"
"1582483"	5	"2013"	"H 0002F"	2022	"04.05.2022"	"51"	NA	"41"	"74"	64	"NOR"	0	"H 0002F"	"01"	"Vanlig kvote"
"1582889"	5	"2013"	"H 0004B"	2022	"02.06.2022"	"51"	NA	"41"	"63"	68.3	"NOR"	0	"H 0004B"	"01"	"Vanlig kvote"
"1582741"	6	"2013"	"R 0011K"	2022	"25.05.2022"	"51"	NA	"41"	"65"	65	"NOR"	0	"R 0011K"	"01"	"Vanlig kvote"
"1582886"	6	"2013"	"H 0140AV"	2022	"02.06.2022"	"51"	NA	"41"	"64"	64	"NOR"	0	"H 0140AV"	"01"	"Vanlig kvote"
"1583227"	5	"2013"	"H 0004B"	2022	"19.06.2022"	"51"	NA	"41"	"76"	68.3	"NOR"	0	"H 0004B"	"01"	"Vanlig kvote"
"1582702"	2	"2013"	"TF0195M"	2022	"23.05.2022"	"53"	NA	"08"	"10"	62.6	"NOR"	0	"TF0195M"	"01"	"Vanlig kvote"
"1582488"	2	"2013"	"VL0009AV"	2022	"05.05.2022"	"53"	NA	"31"	"01"	74.5	"NOR"	0	"VL0009AV"	"01"	"Vanlig kvote"
"1582952"	2	"2013"	"M 0625H"	2022	"07.06.2022"	"53"	NA	"41"	"74"	75.4	"NOR"	0	"M 0625H"	"01"	"Vanlig kvote"
"1582577"	4	"2013"	"R 0007K"	2022	"18.05.2022"	"53"	NA	"08"	"09"	60.4	"NOR"	0	"R 0007K"	"01"	"Vanlig kvote"
"1587268"	9	"2013"	"R 0001K"	2022	"21.09.2022"	"53"	NA	"08"	"13"	65	"NOR"	0	"R 0001K"	"01"	"Vanlig kvote"
"1582752"	2	"2013"	"N 0001B"	2022	"25.05.2022"	"53"	NA	"08"	"52"	64	"NOR"	0	"N 0001B"	"01"	"Vanlig kvote"
"1589798"	3	"2013"	"S144"	2022	"13.11.2022"	"53"	NA	"41"	"30"	NA	"DNK"	0	"S144"	"04"	"Annet lands kvote"
"1582623"	3	"2013"	"H 0175B"	2022	"20.05.2022"	"53"	NA	"08"	"09"	61.54	"NOR"	0	"H 0175B"	"01"	"Vanlig kvote"
"1582635"	3	"2013"	"TF0195M"	2022	"21.05.2022"	"53"	NA	"08"	"09"	62.6	"NOR"	0	"M 9001M"	"01"	"Vanlig kvote"
"1585855"	5	"2013"	"R 0022B"	2022	"31.08.2022"	"53"	NA	"08"	"13"	42.5	"NOR"	0	"R 0022B"	"01"	"Vanlig kvote"
"1589801"	5	"2013"	"R 0022B"	2022	"12.11.2022"	"53"	NA	"08"	"13"	42.5	"NOR"	0	"R 0022B"	"01"	"Vanlig kvote"
"1583931"	2	"2013"	"SF0046V"	2022	"15.07.2022"	"53"	NA	"08"	"06"	69.65	"NOR"	0	"SF0046V"	"01"	"Vanlig kvote"
"4007427"	1	"2013"	"TK0025P"	2022	"16.06.2022"	"34"	NA	"09"	"16"	10.66	"NOR"	8	"TK0025P"	"01"	"Vanlig kvote"
"243869"	1	"2013"	"M 0069G"	2022	"22.08.2022"	"51"	NA	"42"	"74"	66.28	"NOR"	0	NA	"01"	"Vanlig kvote"
"243868"	1	"2013"	"M 0069G"	2022	"22.08.2022"	"51"	NA	"42"	"60"	66.28	"NOR"	0	NA	"01"	"Vanlig kvote"
"10894"	19	"2013"	"M 0069G"	2022	"10.09.2022"	"51"	NA	"28"	"53"	66.28	"NOR"	0	NA	"01"	"Vanlig kvote"
"244483"	1	"2013"	"M 0069G"	2022	"10.09.2022"	"51"	NA	"28"	"53"	66.28	"NOR"	0	NA	"01"	"Vanlig kvote"
"10803"	7	"2013"	"M 0069G"	2022	"22.08.2022"	"51"	NA	"42"	"60"	66.28	"NOR"	0	NA	"01"	"Vanlig kvote"
"10804"	1	"2013"	"M 0069G"	2022	"22.08.2022"	"51"	NA	"42"	"74"	66.28	"NOR"	0	NA	"01"	"Vanlig kvote"
"1587355"	1	"2013"	"HM424"	2022	"22.09.2022"	"34"	NA	"42"	"52"	NA	"DNK"	0	"HM424"	"04"	"Annet lands kvote"
"1587638"	1	"2013"	"HM424"	2022	"26.09.2022"	"34"	NA	"42"	"52"	NA	"DNK"	0	"HM424"	"04"	"Annet lands kvote"
"1588427"	2	"2013"	"SF0002S"	2022	"14.10.2022"	"11"	NA	"28"	"51"	46	"NOR"	0	"SF0002S"	"01"	"Vanlig kvote"
"1589236"	1	"2013"	"VL0023ØN"	2022	"29.10.2022"	"11"	NA	"28"	"41"	14.92	"NOR"	8	"VL0023ØN"	"01"	"Vanlig kvote"
"1589237"	1	"2013"	"H 0038S"	2022	"29.10.2022"	"11"	NA	"28"	"41"	7	"NOR"	8	"H 0038S"	"01"	"Vanlig kvote"
"1586447"	2	"2013"	"N 0053BØ"	2022	"08.09.2022"	"11"	NA	"28"	"52"	37.52	"NOR"	0	"N 0053BØ"	"01"	"Vanlig kvote"
"1586312"	1	"2013"	"VL0005ØN"	2022	"30.08.2022"	"11"	NA	"28"	"40"	12.97	"NOR"	8	"H 0006ØN"	"01"	"Vanlig kvote"
"1586072"	1	"2013"	"H 0011F"	2022	"26.08.2022"	"11"	NA	"28"	"01"	10.66	"NOR"	8	"H 0011F"	"01"	"Vanlig kvote"
"1586024"	1	"2013"	"VL0028AV"	2022	"02.09.2022"	"11"	NA	"28"	"41"	14.88	"NOR"	8	"VL0028AV"	"01"	"Vanlig kvote"
"1586448"	2	"2013"	"T 0111T"	2022	"08.09.2022"	"11"	NA	"28"	"52"	37.9	"NOR"	0	"T 0111T"	"01"	"Vanlig kvote"
"1586557"	2	"2013"	"R 0020V"	2022	"09.09.2022"	"11"	NA	"28"	"52"	49.9	"NOR"	0	"R 0020V"	"01"	"Vanlig kvote"
"1586515"	3	"2013"	"T 0042T"	2022	"08.09.2022"	"11"	NA	"28"	"52"	55	"NOR"	0	"T 0042T"	"01"	"Vanlig kvote"
"1585981"	1	"2013"	"SF0003A"	2022	"02.09.2022"	"11"	NA	"07"	"33"	26.13	"NOR"	8	"SF0003A"	"01"	"Vanlig kvote"
"1587040"	1	"2013"	"M 0050MD"	2022	"15.09.2022"	"11"	NA	"42"	"44"	56.3	"NOR"	0	"M 0050MD"	"01"	"Vanlig kvote"
"1582703"	3	"2013"	"M 0029HØ"	2022	"23.05.2022"	"11"	NA	"08"	"09"	77.5	"NOR"	0	"M 0029HØ"	"01"	"Vanlig kvote"
"1587993"	1	"2013"	"VL0225AV"	2022	"29.09.2022"	"11"	NA	"28"	"51"	54.27	"NOR"	0	"VL0225AV"	"01"	"Vanlig kvote"
"1588033"	1	"2013"	"M 0150HØ"	2022	"30.09.2022"	"11"	NA	"28"	"51"	80.4	"NOR"	0	"M 0150HØ"	"01"	"Vanlig kvote"
"1582490"	5	"2013"	"R 0011K"	2022	"05.05.2022"	"51"	NA	"41"	"75"	65	"NOR"	0	"R 0011K"	"01"	"Vanlig kvote"
"1582572"	5	"2013"	"H 0005ØN"	2022	"17.05.2022"	"51"	NA	"41"	"64"	62.6	"NOR"	0	"H 0005ØN"	"01"	"Vanlig kvote"
"1589548"	1	"2013"	"TR0400V"	2022	"07.11.2022"	"53"	NA	"28"	"51"	45	"NOR"	0	"TR0400V"	"01"	"Vanlig kvote"
