"Dokumentnummer"	"Linjenummer"	"Art_kode"	"Registreringsmerke_seddel"	"Fangstår"	"SisteFangstdato"	"Redskap_kode"	"HovedgruppeRedskap_kode"	"Hovedområde_kode"	"Lokasjon_kode"	"StørsteLengde"	"Fartøynasjonalitet_kode"	"KystHav_kode"	"Produkttilstand_kode"	"Produkttilstand_bokmål"	"Konserveringsmåte_kode"	"Konserveringsmåte_bokmål"	"Landingsmåte_kode"	"Landingsmåte_bokmål"	"Kvalitet_kode"	"Kvalitet_bokmål"	"Størrelsesgruppering_kode"	"Anvendelse_kode"	"Anvendelse_bokmål"	"HovedgruppeAnvendelse_kode"	"HovedgruppeAnvendelse_bokmål"	"AntallStykk"	"Bruttovekt"	"Produktvekt"	"Rundvekt"
"1587652"	9	"2013"	"H 0221B"	2022	"26.09.2022"	"51"	NA	"08"	"13"	49.96	"NOR"	0	"110"	"Rund"	"22"	"Rfw og syre"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	2253	2253	2253
"1582396"	3	"2013"	"M 0031HØ"	2022	"13.04.2022"	"51"	NA	"28"	"53"	62.6	"NOR"	0	"110"	"Rund"	"22"	"Rfw og syre"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	3950	3950	3950
"1587644"	16	"2013"	"R 0022B"	2022	"26.09.2022"	"51"	NA	"08"	"14"	42.5	"NOR"	0	"110"	"Rund"	"22"	"Rfw og syre"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	33763	33763	33763
"1582816"	2	"2013"	"H 0010AM"	2022	"30.05.2022"	"11"	NA	"08"	"07"	57.5	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	1900	1900	1900
"1582641"	4	"2013"	"N 0114L"	2022	"21.05.2022"	"11"	NA	"08"	"11"	27.4	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	100	100	100
"1582859"	2	"2013"	"N 0119SO"	2022	"31.05.2022"	"11"	NA	"08"	"07"	54.05	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	1002	1002	1002
"1582713"	2	"2013"	"M 0027VD"	2022	"24.05.2022"	"11"	NA	"08"	"52"	65.7	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	1000	1000	1000
"1585209"	4	"2013"	"R 0001K"	2022	"23.08.2022"	"51"	NA	"08"	"14"	65	"NOR"	0	"110"	"Rund"	"22"	"Rfw og syre"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	8898	8898	8898
"1583917"	8	"2013"	"R 0001K"	2022	"15.07.2022"	"51"	NA	"08"	"13"	65	"NOR"	0	"110"	"Rund"	"22"	"Rfw og syre"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	215	215	215
"1585871"	6	"2013"	"H 0221B"	2022	"31.08.2022"	"51"	NA	"08"	"13"	49.96	"NOR"	0	"110"	"Rund"	"22"	"Rfw og syre"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	4920	4920	4920
