"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SampleKey"	"IndividualKey"	"Individual"	"IndividualRoundWeight"	"IndividualTotalLength"	"LengthResolution"	"WeightMeasurement"	"IndividualAge"	"IndividualSex"
"NA/11/2021/9553/1"	"1"	"99301"	"sei/164727/126441/Pollachius virens"	"2"	"1"	"NA/11/2021/9553/1-1-99301-sei/164727/126441/Pollachius virens-2-1"	5510	78	1	"IndividualWeight"	5	"M"
"NA/11/2021/9553/1"	"1"	"99301"	"sei/164727/126441/Pollachius virens"	"2"	"2"	"NA/11/2021/9553/1-1-99301-sei/164727/126441/Pollachius virens-2-2"	3820	72	1	"IndividualWeight"	8	"F"
"NA/11/2021/9553/1"	"1"	"99301"	"sei/164727/126441/Pollachius virens"	"2"	"3"	"NA/11/2021/9553/1-1-99301-sei/164727/126441/Pollachius virens-2-3"	3260	73	1	"IndividualWeight"	8	"F"
"NA/11/2021/9553/1"	"1"	"99301"	"sei/164727/126441/Pollachius virens"	"2"	"4"	"NA/11/2021/9553/1-1-99301-sei/164727/126441/Pollachius virens-2-4"	6770	80	1	"IndividualWeight"	7	"M"
"NA/11/2021/9553/1"	"1"	"99301"	"sei/164727/126441/Pollachius virens"	"2"	"5"	"NA/11/2021/9553/1-1-99301-sei/164727/126441/Pollachius virens-2-5"	3710	76	1	"IndividualWeight"	6	"F"
"NA/11/2021/9553/1"	"1"	"99301"	"sei/164727/126441/Pollachius virens"	"2"	"6"	"NA/11/2021/9553/1-1-99301-sei/164727/126441/Pollachius virens-2-6"	4260	79	1	"IndividualWeight"	8	"M"
"NA/11/2021/9553/1"	"1"	"99301"	"sei/164727/126441/Pollachius virens"	"2"	"7"	"NA/11/2021/9553/1-1-99301-sei/164727/126441/Pollachius virens-2-7"	3270	74	1	"IndividualWeight"	8	"F"
"NA/11/2021/9553/1"	"1"	"99301"	"sei/164727/126441/Pollachius virens"	"2"	"8"	"NA/11/2021/9553/1-1-99301-sei/164727/126441/Pollachius virens-2-8"	3840	68	1	"IndividualWeight"	5	"F"
"NA/11/2021/9553/1"	"1"	"99301"	"sei/164727/126441/Pollachius virens"	"2"	"9"	"NA/11/2021/9553/1-1-99301-sei/164727/126441/Pollachius virens-2-9"	4010	76	1	"IndividualWeight"	7	"F"
"NA/11/2021/9553/1"	"1"	"99301"	"sei/164727/126441/Pollachius virens"	"2"	"10"	"NA/11/2021/9553/1-1-99301-sei/164727/126441/Pollachius virens-2-10"	3930	76	1	"IndividualWeight"	8	"F"
"NA/11/2021/9553/1"	"1"	"99301"	"sei/164727/126441/Pollachius virens"	"2"	"11"	"NA/11/2021/9553/1-1-99301-sei/164727/126441/Pollachius virens-2-11"	3810	74	1	"IndividualWeight"	10	"F"
"NA/11/2021/9553/1"	"1"	"99301"	"sei/164727/126441/Pollachius virens"	"2"	"12"	"NA/11/2021/9553/1-1-99301-sei/164727/126441/Pollachius virens-2-12"	2770	67	1	"IndividualWeight"	8	"M"
