"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SampleKey"	"Sample"	"CatchFractionWeight"	"CatchFractionNumber"	"SampleWeight"	"SampleNumber"
"NA/11/2021/9553/1"	"1"	"99301"	"sei/164727/126441/Pollachius virens"	"2"	"NA/11/2021/9553/1-1-99301-sei/164727/126441/Pollachius virens-2"	746	188	83.36	21
"NA/11/2021/9553/1"	"2"	"99302"	"sei/164727/126441/Pollachius virens"	"2"	"NA/11/2021/9553/1-2-99302-sei/164727/126441/Pollachius virens-2"	1838	684	53.74	20
"NA/11/2021/9553/1"	"3"	"99303"	"sei/164727/126441/Pollachius virens"	"2"	"NA/11/2021/9553/1-3-99303-sei/164727/126441/Pollachius virens-2"	155	46	67.058	20
"NA/11/2021/9553/1"	"4"	"99304"	"sei/164727/126441/Pollachius virens"	"2"	"NA/11/2021/9553/1-4-99304-sei/164727/126441/Pollachius virens-2"	181	57	63.38	20
"NA/11/2021/9553/1"	"5"	"99305"	"sei/164727/126441/Pollachius virens"	"2"	"NA/11/2021/9553/1-5-99305-sei/164727/126441/Pollachius virens-2"	323	NA	NA	NA
"NA/11/2021/9553/1"	"6"	"99306"	"sei/164727/126441/Pollachius virens"	"3"	"NA/11/2021/9553/1-6-99306-sei/164727/126441/Pollachius virens-3"	13	NA	NA	NA
"NA/11/2021/9553/1"	"7"	"99307"	"sei/164727/126441/Pollachius virens"	"3"	"NA/11/2021/9553/1-7-99307-sei/164727/126441/Pollachius virens-3"	2	NA	NA	NA
"NA/11/2021/9553/1"	"8"	"99308"	"sei/164727/126441/Pollachius virens"	"3"	"NA/11/2021/9553/1-8-99308-sei/164727/126441/Pollachius virens-3"	12	NA	NA	NA
"NA/11/2021/9553/1"	"9"	"99309"	"sei/164727/126441/Pollachius virens"	"3"	"NA/11/2021/9553/1-9-99309-sei/164727/126441/Pollachius virens-3"	58	27	42.51	20
"NA/11/2021/9553/1"	"10"	"99310"	"sei/164727/126441/Pollachius virens"	"3"	"NA/11/2021/9553/1-10-99310-sei/164727/126441/Pollachius virens-3"	112	NA	NA	NA
"NA/11/2021/9553/1"	"11"	"99311"	"sei/164727/126441/Pollachius virens"	"2"	"NA/11/2021/9553/1-11-99311-sei/164727/126441/Pollachius virens-2"	6	NA	NA	NA
"NA/11/2021/9553/1"	"12"	"99312"	"sei/164727/126441/Pollachius virens"	"3"	"NA/11/2021/9553/1-12-99312-sei/164727/126441/Pollachius virens-3"	522	340	30.748	20
"NA/11/2021/9553/1"	"13"	"99313"	"sei/164727/126441/Pollachius virens"	"2"	"NA/11/2021/9553/1-13-99313-sei/164727/126441/Pollachius virens-2"	216	110	39.39	20
"NA/11/2021/9553/1"	"14"	"99314"	"sei/164727/126441/Pollachius virens"	"2"	"NA/11/2021/9553/1-14-99314-sei/164727/126441/Pollachius virens-2"	145	NA	NA	NA
"NA/11/2021/9553/1"	"16"	"99316"	"sei/164727/126441/Pollachius virens"	"3"	"NA/11/2021/9553/1-16-99316-sei/164727/126441/Pollachius virens-3"	69	NA	NA	NA
"NA/11/2021/9553/1"	"17"	"99317"	"sei/164727/126441/Pollachius virens"	"3"	"NA/11/2021/9553/1-17-99317-sei/164727/126441/Pollachius virens-3"	96	NA	NA	NA
"NA/11/2021/9553/1"	"19"	"99319"	"sei/164727/126441/Pollachius virens"	"3"	"NA/11/2021/9553/1-19-99319-sei/164727/126441/Pollachius virens-3"	1505	365	82.43	20
"NA/11/2021/9553/1"	"20"	"99320"	"sei/164727/126441/Pollachius virens"	"3"	"NA/11/2021/9553/1-20-99320-sei/164727/126441/Pollachius virens-3"	33.48	7	33.48	7
"NA/11/2021/9553/1"	"21"	"99321"	"sei/164727/126441/Pollachius virens"	"3"	"NA/11/2021/9553/1-21-99321-sei/164727/126441/Pollachius virens-3"	174.4	19	174.4	19
"NA/11/2021/9553/1"	"22"	"99322"	"sei/164727/126441/Pollachius virens"	"3"	"NA/11/2021/9553/1-22-99322-sei/164727/126441/Pollachius virens-3"	895	NA	NA	NA
"NA/11/2021/9553/1"	"23"	"99323"	"sei/164727/126441/Pollachius virens"	"2"	"NA/11/2021/9553/1-23-99323-sei/164727/126441/Pollachius virens-2"	32	NA	NA	NA
"NA/11/2021/9553/1"	"24"	"99324"	"sei/164727/126441/Pollachius virens"	"3"	"NA/11/2021/9553/1-24-99324-sei/164727/126441/Pollachius virens-3"	13	NA	NA	NA
"NA/11/2021/9553/1"	"25"	"99325"	"sei/164727/126441/Pollachius virens"	"2"	"NA/11/2021/9553/1-25-99325-sei/164727/126441/Pollachius virens-2"	135	28	62.09	13
"NA/11/2021/9553/1"	"26"	"99326"	"sei/164727/126441/Pollachius virens"	"3"	"NA/11/2021/9553/1-26-99326-sei/164727/126441/Pollachius virens-3"	189	93	6.11	3
"NA/11/2021/9553/1"	"27"	"99327"	"sei/164727/126441/Pollachius virens"	"3"	"NA/11/2021/9553/1-27-99327-sei/164727/126441/Pollachius virens-3"	278	NA	NA	NA
"NA/11/2021/9553/1"	"28"	"99328"	"sei/164727/126441/Pollachius virens"	"3"	"NA/11/2021/9553/1-28-99328-sei/164727/126441/Pollachius virens-3"	14	NA	NA	NA
"NA/11/2021/9553/1"	"29"	"99329"	"sei/164727/126441/Pollachius virens"	"2"	"NA/11/2021/9553/1-29-99329-sei/164727/126441/Pollachius virens-2"	224	38	87.33	15
"NA/11/2021/9553/1"	"30"	"99330"	"sei/164727/126441/Pollachius virens"	"3"	"NA/11/2021/9553/1-30-99330-sei/164727/126441/Pollachius virens-3"	12	NA	NA	NA
"NA/11/2021/9553/1"	"31"	"99331"	"sei/164727/126441/Pollachius virens"	"2"	"NA/11/2021/9553/1-31-99331-sei/164727/126441/Pollachius virens-2"	17	NA	NA	NA
"NA/11/2021/9553/1"	"32"	"99332"	"sei/164727/126441/Pollachius virens"	"2"	"NA/11/2021/9553/1-32-99332-sei/164727/126441/Pollachius virens-2"	17	NA	NA	NA
"NA/11/2021/9553/1"	"33"	"99333"	"sei/164727/126441/Pollachius virens"	"3"	"NA/11/2021/9553/1-33-99333-sei/164727/126441/Pollachius virens-3"	12	NA	NA	NA
"NA/11/2021/9553/1"	"34"	"99334"	"sei/164727/126441/Pollachius virens"	"2"	"NA/11/2021/9553/1-34-99334-sei/164727/126441/Pollachius virens-2"	2	NA	NA	NA
"NA/11/2021/9553/1"	"35"	"99335"	"sei/164727/126441/Pollachius virens"	"2"	"NA/11/2021/9553/1-35-99335-sei/164727/126441/Pollachius virens-2"	3	NA	NA	NA
"NA/11/2021/9553/1"	"36"	"99336"	"sei/164727/126441/Pollachius virens"	"3"	"NA/11/2021/9553/1-36-99336-sei/164727/126441/Pollachius virens-3"	4	NA	NA	NA
"NA/11/2021/9553/1"	"37"	"99337"	"sei/164727/126441/Pollachius virens"	"3"	"NA/11/2021/9553/1-37-99337-sei/164727/126441/Pollachius virens-3"	5	NA	NA	NA
