"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SpeciesCategory"
"NA/11/2021/9553/1"	"1"	"99301"	"sei/164727/126441/Pollachius virens"	"sei/164727/126441/Pollachius virens"
"NA/11/2021/9553/1"	"2"	"99302"	"sei/164727/126441/Pollachius virens"	"sei/164727/126441/Pollachius virens"
"NA/11/2021/9553/1"	"3"	"99303"	"sei/164727/126441/Pollachius virens"	"sei/164727/126441/Pollachius virens"
"NA/11/2021/9553/1"	"4"	"99304"	"sei/164727/126441/Pollachius virens"	"sei/164727/126441/Pollachius virens"
"NA/11/2021/9553/1"	"5"	"99305"	"sei/164727/126441/Pollachius virens"	"sei/164727/126441/Pollachius virens"
"NA/11/2021/9553/1"	"6"	"99306"	"sei/164727/126441/Pollachius virens"	"sei/164727/126441/Pollachius virens"
"NA/11/2021/9553/1"	"7"	"99307"	"sei/164727/126441/Pollachius virens"	"sei/164727/126441/Pollachius virens"
"NA/11/2021/9553/1"	"8"	"99308"	"sei/164727/126441/Pollachius virens"	"sei/164727/126441/Pollachius virens"
"NA/11/2021/9553/1"	"9"	"99309"	"sei/164727/126441/Pollachius virens"	"sei/164727/126441/Pollachius virens"
"NA/11/2021/9553/1"	"10"	"99310"	"sei/164727/126441/Pollachius virens"	"sei/164727/126441/Pollachius virens"
"NA/11/2021/9553/1"	"11"	"99311"	"sei/164727/126441/Pollachius virens"	"sei/164727/126441/Pollachius virens"
"NA/11/2021/9553/1"	"12"	"99312"	"sei/164727/126441/Pollachius virens"	"sei/164727/126441/Pollachius virens"
"NA/11/2021/9553/1"	"13"	"99313"	"sei/164727/126441/Pollachius virens"	"sei/164727/126441/Pollachius virens"
"NA/11/2021/9553/1"	"14"	"99314"	"sei/164727/126441/Pollachius virens"	"sei/164727/126441/Pollachius virens"
"NA/11/2021/9553/1"	"16"	"99316"	"sei/164727/126441/Pollachius virens"	"sei/164727/126441/Pollachius virens"
"NA/11/2021/9553/1"	"17"	"99317"	"sei/164727/126441/Pollachius virens"	"sei/164727/126441/Pollachius virens"
"NA/11/2021/9553/1"	"19"	"99319"	"sei/164727/126441/Pollachius virens"	"sei/164727/126441/Pollachius virens"
"NA/11/2021/9553/1"	"20"	"99320"	"sei/164727/126441/Pollachius virens"	"sei/164727/126441/Pollachius virens"
"NA/11/2021/9553/1"	"21"	"99321"	"sei/164727/126441/Pollachius virens"	"sei/164727/126441/Pollachius virens"
"NA/11/2021/9553/1"	"22"	"99322"	"sei/164727/126441/Pollachius virens"	"sei/164727/126441/Pollachius virens"
