"CruiseKey"	"StationKey"	"HaulKey"	"Haul"	"Gear"	"TowDistance"	"EffectiveTowDistance"	"MinHaulDepth"	"MaxHaulDepth"	"VerticalNetOpening"	"HorizontalNetOpening"	"TrawlDoorSpread"
"NA/19/2020/9000/30"	"1"	"38001"	"NA/19/2020/9000/30-1-38001"	"3712"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/30"	"2"	"38002"	"NA/19/2020/9000/30-2-38002"	"3712"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/30"	"3"	"38003"	"NA/19/2020/9000/30-3-38003"	"3712"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/30"	"4"	"38004"	"NA/19/2020/9000/30-4-38004"	"3712"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/30"	"31"	"38031"	"NA/19/2020/9000/30-31-38031"	"3712"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/30"	"32"	"38032"	"NA/19/2020/9000/30-32-38032"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/30"	"33"	"38033"	"NA/19/2020/9000/30-33-38033"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/30"	"34"	"38034"	"NA/19/2020/9000/30-34-38034"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/30"	"35"	"38035"	"NA/19/2020/9000/30-35-38035"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/30"	"36"	"38036"	"NA/19/2020/9000/30-36-38036"	"3712"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/30"	"45"	"38045"	"NA/19/2020/9000/30-45-38045"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/30"	"47"	"38047"	"NA/19/2020/9000/30-47-38047"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/30"	"48"	"38048"	"NA/19/2020/9000/30-48-38048"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/30"	"49"	"38049"	"NA/19/2020/9000/30-49-38049"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/30"	"50"	"38050"	"NA/19/2020/9000/30-50-38050"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/30"	"51"	"38051"	"NA/19/2020/9000/30-51-38051"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/30"	"52"	"38052"	"NA/19/2020/9000/30-52-38052"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/30"	"53"	"38053"	"NA/19/2020/9000/30-53-38053"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/30"	"54"	"38054"	"NA/19/2020/9000/30-54-38054"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/30"	"55"	"38055"	"NA/19/2020/9000/30-55-38055"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/30"	"56"	"38056"	"NA/19/2020/9000/30-56-38056"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/30"	"57"	"38057"	"NA/19/2020/9000/30-57-38057"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/30"	"58"	"38058"	"NA/19/2020/9000/30-58-38058"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/30"	"59"	"38059"	"NA/19/2020/9000/30-59-38059"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/30"	"60"	"38060"	"NA/19/2020/9000/30-60-38060"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/30"	"61"	"38061"	"NA/19/2020/9000/30-61-38061"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/30"	"62"	"38062"	"NA/19/2020/9000/30-62-38062"	"3700"	NA	NA	NA	NA	NA	NA	NA
