"missiontype"	"startyear"	"platform"	"missionnumber"	"serialnumber"	"nation"	"catchplatform"	"station"	"fixedstation"	"stationstartdate"	"stationstarttime"	"stationstopdate"	"stationstoptime"	"stationtype"	"latitudestart"	"longitudestart"	"latitudeend"	"longitudeend"	"system"	"area"	"location"	"bottomdepthstart"	"bottomdepthstop"	"bottomdepthmean"	"fishingdepthstart"	"fishingdepthstop"	"fishingdepthcount"	"fishingdepthmax"	"fishingdepthmin"	"fishingdepthmean"	"fishingdepthtemperature"	"gearno"	"sweeplength"	"gear"	"gearcount"	"direction"	"gearflow"	"vesselspeed"	"logstart"	"logstop"	"distance"	"gearcondition"	"samplequality"	"verticaltrawlopening"	"verticaltrawlopeningsd"	"trawldoortype"	"trawldoorarea"	"trawldoorweight"	"trawldoorspread"	"trawldoorspreadsd"	"wingspread"	"wingspreadsd"	"wirelength"	"wirediameter"	"wiredensity"	"soaktime"	"fishingbait"	"tripno"	"fishabundance"	"fishdistribution"	"landingsite"	"fishingground"	"vesselcount"	"dataquality"	"haulvalidity"	"flora"	"vegetationcover"	"visibility"	"waterlevel"	"winddirection"	"windspeed"	"clouds"	"sea"	"weather"	"stationcomment"
"11"	2021	"9553"	1	99301	"58"	"4783"	1	NA	NA	NA	"2021-01-26Z"	NA	"9"	67.8716666666667	13.385	NA	NA	NA	"6"	"32"	NA	NA	NA	NA	NA	NA	130	100	NA	NA	NA	NA	"4174"	200	NA	NA	NA	NA	NA	NA	"1"	"8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	NA	NA	NA	NA	"34001"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	2021	"9553"	1	99302	"58"	"3298"	2	NA	NA	NA	"2021-01-26Z"	NA	"9"	67.8283333333333	13.0516666666667	NA	NA	NA	"0"	"10"	NA	NA	NA	NA	NA	NA	159	66	NA	NA	NA	NA	"4007"	300	NA	NA	NA	NA	NA	NA	"1"	"8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	NA	NA	NA	NA	"34001"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	2021	"9553"	1	99303	"58"	"10104"	3	NA	NA	NA	"2021-01-27Z"	NA	"9"	68.1966666666667	13.0466666666667	NA	NA	NA	"5"	"15"	NA	NA	NA	NA	NA	NA	155	73	NA	NA	NA	NA	"4009"	80	NA	NA	NA	NA	NA	NA	"1"	"8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	NA	NA	NA	NA	"334"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	2021	"9553"	1	99304	"58"	"2710"	4	NA	NA	NA	"2021-01-27Z"	NA	"9"	68.1666666666667	13.2016666666667	NA	NA	NA	"5"	"15"	NA	NA	NA	NA	NA	NA	128	64	NA	NA	NA	NA	"4140"	150	NA	NA	NA	NA	NA	NA	"1"	"8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	NA	NA	NA	NA	"334"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	2021	"9553"	1	99305	"58"	"2747"	5	NA	NA	NA	"2021-01-27Z"	NA	"9"	68.1333333333333	12.95	NA	NA	NA	"5"	"14"	NA	NA	NA	NA	NA	NA	110	73	NA	NA	NA	NA	"5100"	7000	NA	NA	NA	NA	NA	NA	"1"	"8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	"334"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	2021	"9553"	1	99306	"58"	"2684"	6	NA	NA	NA	"2021-01-28Z"	NA	"9"	68.7966666666667	14.4283333333333	NA	NA	NA	"5"	"20"	NA	NA	NA	NA	NA	NA	126	73	NA	NA	NA	NA	"4142"	90	NA	NA	NA	NA	NA	NA	"1"	"8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	"32001"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	2021	"9553"	1	99307	"58"	"1789"	7	NA	NA	NA	"2021-01-28Z"	NA	"9"	68.7583333333333	14.0666666666667	NA	NA	NA	"5"	"20"	NA	NA	NA	NA	NA	NA	146	58	NA	NA	NA	NA	"4142"	70	NA	NA	NA	NA	NA	NA	"1"	"8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	"32001"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	2021	"9553"	1	99308	"58"	"4669"	8	NA	NA	NA	"2021-01-29Z"	NA	"9"	68.8333333333333	14.4833333333333	NA	NA	NA	"5"	"20"	NA	NA	NA	NA	NA	NA	140	100	NA	NA	NA	NA	"4142"	30	NA	NA	NA	NA	NA	NA	"1"	"8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	NA	NA	NA	NA	"31601"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	2021	"9553"	1	99309	"58"	"2983"	9	NA	NA	NA	"2021-01-29Z"	NA	"9"	68.82	14.4616666666667	NA	NA	NA	"5"	"20"	NA	NA	NA	NA	NA	NA	135	90	NA	NA	NA	NA	"5110"	1210	NA	NA	NA	NA	NA	NA	"1"	"8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	48	"14"	NA	NA	NA	"31601"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	2021	"9553"	1	99310	"58"	"3904"	10	NA	NA	NA	"2021-01-30Z"	NA	"9"	68.6666666666667	14.0383333333333	NA	NA	NA	"5"	"20"	NA	NA	NA	NA	NA	NA	128	91	NA	NA	NA	NA	"5101"	18000	NA	NA	NA	NA	NA	NA	"1"	"8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.5	"12"	NA	NA	NA	"94601"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	2021	"9553"	1	99311	"58"	"9652"	11	NA	NA	NA	"2021-01-30Z"	NA	"9"	69.0233333333333	15.0666666666667	NA	NA	NA	"5"	"24"	NA	NA	NA	NA	NA	NA	55	26	NA	NA	NA	NA	"4123"	15	NA	NA	NA	NA	NA	NA	"1"	"8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	NA	NA	NA	NA	"94601"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	2021	"9553"	1	99312	"58"	"2517"	12	NA	NA	NA	"2021-01-30Z"	NA	"9"	69.0333333333333	15.2	NA	NA	NA	"5"	"24"	165	183	NA	NA	NA	NA	55	37	NA	NA	NA	NA	"5120"	960	NA	NA	NA	NA	NA	NA	"1"	"8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	"14"	NA	NA	NA	"94601"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	2021	"9553"	1	99313	"58"	"4122"	13	NA	NA	NA	"2021-01-30Z"	NA	"9"	69.075	15.2283333333333	NA	NA	NA	"5"	"24"	165	183	NA	NA	NA	NA	91	37	NA	NA	NA	NA	"5100"	960	NA	NA	NA	NA	NA	NA	"1"	"8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	NA	NA	NA	NA	"94601"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	2021	"9553"	1	99314	"58"	"10111"	14	NA	NA	NA	"2021-01-30Z"	NA	"9"	69.1083333333333	15.0466666666667	NA	NA	NA	"5"	"24"	NA	NA	NA	NA	NA	NA	120	90	NA	NA	NA	NA	"5211"	2	NA	NA	NA	NA	NA	NA	"1"	"8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.5	NA	NA	NA	NA	"94601"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	2021	"9553"	1	99316	"58"	"10112"	16	NA	NA	NA	"2021-01-30Z"	NA	"9"	69.11	15.2333333333333	NA	NA	NA	"5"	"24"	NA	NA	NA	NA	NA	NA	100	60	NA	NA	NA	NA	"5211"	3	NA	NA	NA	NA	NA	NA	"1"	"8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	"94601"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	2021	"9553"	1	99317	"58"	"4714"	17	NA	NA	NA	"2021-01-30Z"	NA	"9"	69.12	14.9716666666667	NA	NA	NA	"5"	"23"	NA	NA	NA	NA	NA	NA	90	70	NA	NA	NA	NA	"5100"	4312	NA	NA	NA	NA	NA	NA	"1"	"8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	"12"	NA	NA	NA	"94601"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	2021	"9553"	1	99319	"58"	"4861"	19	NA	NA	NA	"2021-02-01Z"	NA	"9"	69.3333333333333	16.2	NA	NA	NA	"5"	"25"	NA	NA	NA	NA	NA	NA	274	110	NA	NA	NA	NA	"4123"	80	NA	NA	NA	NA	NA	NA	"1"	"8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	NA	NA	NA	NA	"30203"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	2021	"9553"	1	99320	"58"	"4451"	20	NA	NA	NA	"2021-02-01Z"	NA	"9"	69.3866666666667	16.2016666666667	NA	NA	NA	"5"	"25"	NA	NA	NA	NA	NA	NA	128	27	NA	NA	NA	NA	"4124"	32	NA	NA	NA	NA	NA	NA	"1"	"8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	NA	NA	NA	NA	"30203"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	2021	"9553"	1	99321	"58"	"9605"	21	NA	NA	NA	"2021-02-02Z"	NA	"9"	69.3	15.575	NA	NA	NA	"5"	"24"	NA	NA	NA	NA	NA	NA	66	60	NA	NA	NA	NA	"4128"	120	NA	NA	NA	NA	NA	NA	"1"	"8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	NA	NA	NA	NA	"30401"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	2021	"9553"	1	99322	"58"	"10101"	22	NA	NA	NA	"2021-02-02Z"	NA	"9"	69.4083333333333	16.0383333333333	NA	NA	NA	"5"	"25"	NA	NA	NA	NA	NA	NA	180	100	NA	NA	NA	NA	"3600"	5	NA	NA	NA	NA	NA	NA	"1"	"8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	"30401"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	2021	"9553"	1	99323	"58"	"9039"	23	NA	NA	NA	"2021-02-02Z"	NA	"9"	69.4933333333333	16.795	NA	NA	NA	"5"	"25"	NA	NA	NA	NA	NA	NA	91	55	NA	NA	NA	NA	"5100"	1250	NA	NA	NA	NA	NA	NA	"1"	"8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	"24801"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
