"missiontype"	"startyear"	"platform"	"missionnumber"	"serialnumber"	"catchsampleid"	"specimenid"	"agedeterminationid"	"agingstructureread"	"agingstructureweight"	"agingstructurelength"	"nowearpoint"	"externalspinebase"	"countedannualage"	"age"	"spawningage"	"smoltage"	"marineage"	"spawningzones"	"readability"	"otolithtype"	"otolithedge"	"otolithcentre"	"calibration"	"growthzone1"	"growthzone2"	"growthzone3"	"growthzone4"	"growthzone5"	"growthzone6"	"growthzone7"	"growthzone8"	"growthzone9"	"growthzonestotal"	"coastalannuli"	"oceanicannuli"	"blindreading"	"readingdate"	"agereader"
"11"	2021	"9553"	5	99623	1	1	1	NA	NA	NA	NA	NA	NA	9	7	NA	NA	2	"1"	NA	"2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SISM"
"11"	2021	"9553"	5	99623	1	2	1	NA	NA	NA	NA	NA	NA	9	9	NA	NA	0	"1"	NA	"2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SISM"
"11"	2021	"9553"	5	99623	1	3	1	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	"1"	NA	"3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SISM"
"11"	2021	"9553"	5	99623	1	4	1	NA	NA	NA	NA	NA	NA	12	6	NA	NA	6	"1"	NA	"2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SISM"
"11"	2021	"9553"	5	99623	1	5	1	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	"1"	NA	"2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SISM"
"11"	2021	"9553"	5	99623	1	6	1	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	"1"	NA	"3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SISM"
"11"	2021	"9553"	5	99623	1	7	1	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	"1"	NA	"3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SISM"
"11"	2021	"9553"	5	99623	1	8	1	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	"1"	NA	"3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SISM"
"11"	2021	"9553"	5	99623	1	9	1	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	"1"	NA	"3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SISM"
"11"	2021	"9553"	5	99623	1	10	1	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	"1"	NA	"3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SISM"
"11"	2021	"9553"	5	99623	1	11	1	NA	NA	NA	NA	NA	NA	9	8	NA	NA	1	"1"	NA	"3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SISM"
"11"	2021	"9553"	5	99623	1	12	1	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	"1"	NA	"3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SISM"
"11"	2021	"9553"	5	99623	1	13	1	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	"1"	NA	"3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SISM"
"11"	2021	"9553"	5	99623	1	14	1	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	"1"	NA	"3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SISM"
"11"	2021	"9553"	5	99623	1	15	1	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	"1"	NA	"3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SISM"
"11"	2021	"9553"	5	99623	1	16	1	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	"1"	NA	"3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SISM"
