"Gear"	"NewValue"
"10"	""
"11"	""
"12"	""
"13"	""
"14"	""
"15"	""
"16"	""
"17"	""
"18"	""
"19"	""
"20"	""
"21"	""
"22"	""
"23"	""
"24"	""
"25"	""
"26"	""
"27"	""
"28"	""
"29"	""
"30"	"Trawl"
"31"	"Trawl"
"32"	"Sh.Trawl"
"33"	""
"34"	"Trawl"
"35"	"Trawl"
"36"	"D.Seine"
"37"	"Seine"
"38"	""
"39"	""
"40"	"Gillnet"
"41"	"Gillnet"
"42"	""
"43"	"Other"
"44"	""
"45"	""
"46"	""
"47"	""
"48"	""
"49"	""
"50"	""
"51"	"L.Line"
"52"	"Jig"
"53"	"Other"
"54"	""
"55"	""
"56"	""
"57"	""
"58"	""
"59"	""
"60"	""
"61"	""
"62"	""
"63"	""
"64"	""
"65"	""
"66"	""
"67"	""
"68"	""
"69"	""
"70"	""
"71"	""
"72"	""
"73"	""
"74"	""
"75"	""
"76"	""
"77"	""
"78"	""
"79"	""
"80"	""
"81"	""
"82"	""
"83"	""
"84"	""
"85"	""
"86"	""
"87"	""
"88"	""
"89"	""
"90"	""
"91"	""
"92"	""
"93"	""
"94"	""
"95"	""
"96"	""
"97"	""
"98"	""
"99"	""
