"missiontype"	"startyear"	"platform"	"missionnumber"	"serialnumber"	"nation"	"catchplatform"	"station"	"fixedstation"	"stationstartdate"	"stationstarttime"	"stationstopdate"	"stationstoptime"	"stationtype"	"latitudestart"	"longitudestart"	"latitudeend"	"longitudeend"	"system"	"area"	"location"	"bottomdepthstart"	"bottomdepthstop"	"bottomdepthmean"	"fishingdepthstart"	"fishingdepthstop"	"fishingdepthcount"	"fishingdepthmax"	"fishingdepthmin"	"fishingdepthmean"	"fishingdepthtemperature"	"gearno"	"sweeplength"	"gear"	"gearcount"	"direction"	"gearflow"	"vesselspeed"	"logstart"	"logstop"	"distance"	"gearcondition"	"samplequality"	"verticaltrawlopening"	"verticaltrawlopeningsd"	"trawldoortype"	"trawldoorarea"	"trawldoorweight"	"trawldoorspread"	"trawldoorspreadsd"	"wingspread"	"wingspreadsd"	"wirelength"	"wirediameter"	"wiredensity"	"soaktime"	"fishingbait"	"tripno"	"fishabundance"	"fishdistribution"	"landingsite"	"fishingground"	"vesselcount"	"dataquality"	"haulvalidity"	"flora"	"vegetationcover"	"visibility"	"waterlevel"	"winddirection"	"windspeed"	"clouds"	"sea"	"weather"	"stationcomment"
"19"	2022	"10024"	20	38401	"58"	"4646"	1	NA	"2022-01-07Z"	"06:10:00.000Z"	"2022-01-07Z"	"08:14:00.000Z"	NA	60.983	2.10001	60.983	2.06701	"2"	"28"	"52"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3700"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2022	"10024"	20	38402	"58"	"3672"	2	NA	"2022-01-08Z"	"17:28:00.000Z"	"2022-01-09Z"	"00:02:00.000Z"	NA	60.9	2.017	60.9171	1.96701	"2"	"28"	"52"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3100"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2022	"10024"	20	38403	"58"	"9890"	3	NA	"2022-01-08Z"	"02:06:00.000Z"	"2022-01-08Z"	"11:25:00.000Z"	NA	60.9171	2.5	60.833	2.75	"2"	"28"	"52"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3500"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2022	"10024"	20	38404	"58"	"9890"	4	NA	"2022-01-08Z"	"20:44:00.000Z"	"2022-01-08Z"	"23:16:00.000Z"	NA	60.9	2.017	60.9501	1.96701	"2"	"28"	"52"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3500"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2022	"10024"	20	38405	"58"	"9862"	5	NA	"2022-05-18Z"	"07:39:00.000Z"	"2022-05-18Z"	"09:43:00.000Z"	NA	58.3501	3.183	58.4171	3.017	"2"	"08"	"9"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3500"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2022	"10024"	20	38406	"58"	"1208"	6	NA	"2022-05-23Z"	"20:40:00.000Z"	"2022-05-23Z"	"22:35:00.000Z"	NA	58.367	3.13301	58.367	3.15	"2"	"08"	"9"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3700"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2022	"10024"	20	38407	"58"	"3674"	7	NA	"2022-06-20Z"	"10:28:00.000Z"	"2022-06-20Z"	"13:27:00.000Z"	NA	57.483	7.55	57.483	7.65001	"2"	"41"	"77"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3500"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2022	"10024"	20	38408	"58"	"3317"	8	NA	"2022-05-22Z"	"06:37:00.000Z"	"2022-05-26Z"	"08:36:00.000Z"	NA	58.233	3.467	57.9	4.667	"2"	"08"	"9"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3700"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2022	"10024"	20	38409	"58"	"2773"	9	NA	"2022-05-26Z"	"07:52:00.000Z"	"2022-05-22Z"	"08:39:00.000Z"	NA	57.9	4.65	58.217	3.48301	"2"	"08"	"6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3700"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2022	"10024"	20	38410	"58"	"4595"	10	NA	"2022-05-17Z"	"14:57:00.000Z"	"2022-05-17Z"	"20:56:00.000Z"	NA	58.3171	3.15	58.3	3.08301	"2"	"08"	"9"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3100"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
