"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SampleKey"	"IndividualKey"	"Individual"	"IndividualRoundWeight"	"IndividualTotalLength"	"LengthResolution"	"WeightMeasurement"	"IndividualAge"	"IndividualSex"	"agingstructureread"
"NA/19/2021/10011/30"	"21"	"38021"	"makrell/172414/127023/Scomber scombrus"	"1"	"1"	"NA/19/2021/10011/30-21-38021-makrell/172414/127023/Scomber scombrus-1-1"	520	37.5	0.5	"IndividualWeight"	8	"F"	NA
"NA/19/2021/10011/30"	"21"	"38021"	"makrell/172414/127023/Scomber scombrus"	"1"	"2"	"NA/19/2021/10011/30-21-38021-makrell/172414/127023/Scomber scombrus-1-2"	425	35.5	0.5	"IndividualWeight"	6	"M"	NA
"NA/19/2021/10011/30"	"21"	"38021"	"makrell/172414/127023/Scomber scombrus"	"1"	"3"	"NA/19/2021/10011/30-21-38021-makrell/172414/127023/Scomber scombrus-1-3"	602	39.5	0.5	"IndividualWeight"	11	"M"	NA
"NA/19/2021/10011/30"	"21"	"38021"	"makrell/172414/127023/Scomber scombrus"	"1"	"4"	"NA/19/2021/10011/30-21-38021-makrell/172414/127023/Scomber scombrus-1-4"	441	36	0.5	"IndividualWeight"	4	"F"	NA
"NA/19/2021/10011/30"	"21"	"38021"	"makrell/172414/127023/Scomber scombrus"	"1"	"5"	"NA/19/2021/10011/30-21-38021-makrell/172414/127023/Scomber scombrus-1-5"	560	38.5	0.5	"IndividualWeight"	8	"M"	NA
"NA/19/2021/10011/30"	"21"	"38021"	"makrell/172414/127023/Scomber scombrus"	"1"	"6"	"NA/19/2021/10011/30-21-38021-makrell/172414/127023/Scomber scombrus-1-6"	672	40.5	0.5	"IndividualWeight"	12	"M"	NA
"NA/19/2021/10011/30"	"21"	"38021"	"makrell/172414/127023/Scomber scombrus"	"1"	"7"	"NA/19/2021/10011/30-21-38021-makrell/172414/127023/Scomber scombrus-1-7"	410	35	0.5	"IndividualWeight"	6	"M"	NA
"NA/19/2021/10011/30"	"21"	"38021"	"makrell/172414/127023/Scomber scombrus"	"1"	"8"	"NA/19/2021/10011/30-21-38021-makrell/172414/127023/Scomber scombrus-1-8"	337	33	0.5	"IndividualWeight"	2	"M"	NA
"NA/19/2021/10011/30"	"21"	"38021"	"makrell/172414/127023/Scomber scombrus"	"1"	"9"	"NA/19/2021/10011/30-21-38021-makrell/172414/127023/Scomber scombrus-1-9"	401	35	0.5	"IndividualWeight"	4	"F"	NA
"NA/19/2021/10011/30"	"21"	"38021"	"makrell/172414/127023/Scomber scombrus"	"1"	"10"	"NA/19/2021/10011/30-21-38021-makrell/172414/127023/Scomber scombrus-1-10"	561	39	0.5	"IndividualWeight"	10	"F"	NA
"NA/19/2021/10011/30"	"21"	"38021"	"makrell/172414/127023/Scomber scombrus"	"1"	"11"	"NA/19/2021/10011/30-21-38021-makrell/172414/127023/Scomber scombrus-1-11"	452	35.5	0.5	"IndividualWeight"	3	"F"	NA
"NA/19/2021/10011/30"	"21"	"38021"	"makrell/172414/127023/Scomber scombrus"	"1"	"12"	"NA/19/2021/10011/30-21-38021-makrell/172414/127023/Scomber scombrus-1-12"	409	34	0.5	"IndividualWeight"	3	"F"	NA
"NA/19/2021/10011/30"	"21"	"38021"	"makrell/172414/127023/Scomber scombrus"	"1"	"13"	"NA/19/2021/10011/30-21-38021-makrell/172414/127023/Scomber scombrus-1-13"	454	36.5	0.5	"IndividualWeight"	5	"F"	NA
"NA/19/2021/10011/30"	"21"	"38021"	"makrell/172414/127023/Scomber scombrus"	"1"	"14"	"NA/19/2021/10011/30-21-38021-makrell/172414/127023/Scomber scombrus-1-14"	544	37	0.5	"IndividualWeight"	10	"M"	NA
"NA/19/2021/10011/30"	"21"	"38021"	"makrell/172414/127023/Scomber scombrus"	"1"	"15"	"NA/19/2021/10011/30-21-38021-makrell/172414/127023/Scomber scombrus-1-15"	304	31.5	0.5	"IndividualWeight"	2	"M"	NA
"NA/19/2021/10011/30"	"21"	"38021"	"makrell/172414/127023/Scomber scombrus"	"1"	"16"	"NA/19/2021/10011/30-21-38021-makrell/172414/127023/Scomber scombrus-1-16"	427	34.5	0.5	"IndividualWeight"	3	"M"	NA
"NA/19/2021/10011/30"	"21"	"38021"	"makrell/172414/127023/Scomber scombrus"	"1"	"17"	"NA/19/2021/10011/30-21-38021-makrell/172414/127023/Scomber scombrus-1-17"	488	38	0.5	"IndividualWeight"	7	"F"	NA
"NA/19/2021/10011/30"	"21"	"38021"	"makrell/172414/127023/Scomber scombrus"	"1"	"18"	"NA/19/2021/10011/30-21-38021-makrell/172414/127023/Scomber scombrus-1-18"	500	38	0.5	"IndividualWeight"	7	"F"	NA
