"CruiseKey"	"StationKey"	"HaulKey"	"Haul"	"Gear"	"TowDistance"	"EffectiveTowDistance"	"MinHaulDepth"	"MaxHaulDepth"	"VerticalNetOpening"	"HorizontalNetOpening"	"TrawlDoorSpread"
"NA/19/2023/10011/30"	"13"	"38013"	"NA/19/2023/10011/30-13-38013"	"3710"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10011/30"	"14"	"38014"	"NA/19/2023/10011/30-14-38014"	"3710"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10011/30"	"15"	"38015"	"NA/19/2023/10011/30-15-38015"	"3710"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10011/30"	"16"	"38016"	"NA/19/2023/10011/30-16-38016"	"3710"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10011/30"	"18"	"38018"	"NA/19/2023/10011/30-18-38018"	"3710"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10011/30"	"19"	"38019"	"NA/19/2023/10011/30-19-38019"	"3710"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10011/30"	"20"	"38020"	"NA/19/2023/10011/30-20-38020"	"3710"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10011/30"	"21"	"38021"	"NA/19/2023/10011/30-21-38021"	"3710"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10011/30"	"22"	"38022"	"NA/19/2023/10011/30-22-38022"	"3710"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10011/30"	"23"	"38023"	"NA/19/2023/10011/30-23-38023"	"3710"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10011/30"	"24"	"38024"	"NA/19/2023/10011/30-24-38024"	"3710"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10011/30"	"25"	"38025"	"NA/19/2023/10011/30-25-38025"	"3710"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10011/30"	"26"	"38026"	"NA/19/2023/10011/30-26-38026"	"3710"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10011/30"	"27"	"38027"	"NA/19/2023/10011/30-27-38027"	"3710"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10011/30"	"28"	"38028"	"NA/19/2023/10011/30-28-38028"	"3710"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10011/30"	"29"	"38029"	"NA/19/2023/10011/30-29-38029"	"3710"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10011/30"	"30"	"38030"	"NA/19/2023/10011/30-30-38030"	"3710"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10011/30"	"31"	"38031"	"NA/19/2023/10011/30-31-38031"	"3710"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10011/30"	"32"	"38032"	"NA/19/2023/10011/30-32-38032"	"3710"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10011/30"	"33"	"38033"	"NA/19/2023/10011/30-33-38033"	"3710"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10011/30"	"34"	"38034"	"NA/19/2023/10011/30-34-38034"	"3710"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10011/30"	"35"	"38035"	"NA/19/2023/10011/30-35-38035"	"3710"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10011/30"	"36"	"38036"	"NA/19/2023/10011/30-36-38036"	"3710"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10011/30"	"37"	"38037"	"NA/19/2023/10011/30-37-38037"	"3710"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10011/30"	"38"	"38038"	"NA/19/2023/10011/30-38-38038"	"3710"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10011/30"	"39"	"38039"	"NA/19/2023/10011/30-39-38039"	"3710"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10011/30"	"40"	"38040"	"NA/19/2023/10011/30-40-38040"	"3710"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10011/30"	"41"	"38041"	"NA/19/2023/10011/30-41-38041"	"3710"	NA	NA	NA	NA	NA	NA	NA
