"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SampleKey"	"Sample"	"CatchFractionWeight"	"CatchFractionNumber"	"SampleWeight"	"SampleNumber"	"sampleproducttype"	"lengthmeasurement"
"NA/19/2023/10011/30"	"13"	"38013"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-13-38013-makrell/172414/127023/Scomber scombrus-1"	85000	166765	10.194	20	"1"	"F"
"NA/19/2023/10011/30"	"14"	"38014"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-14-38014-makrell/172414/127023/Scomber scombrus-1"	220000	456985	11.554	24	"1"	"F"
"NA/19/2023/10011/30"	"15"	"38015"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-15-38015-makrell/172414/127023/Scomber scombrus-1"	160000	325796	9.331	19	"1"	"F"
"NA/19/2023/10011/30"	"16"	"38016"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-16-38016-makrell/172414/127023/Scomber scombrus-1"	130000	341972	10.264	27	"1"	"F"
"NA/19/2023/10011/30"	"18"	"38018"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-18-38018-makrell/172414/127023/Scomber scombrus-1"	2e+05	370215	11.885	22	"1"	"F"
"NA/19/2023/10011/30"	"19"	"38019"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-19-38019-makrell/172414/127023/Scomber scombrus-1"	210000	438631	10.054	21	"1"	"F"
"NA/19/2023/10011/30"	"20"	"38020"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-20-38020-makrell/172414/127023/Scomber scombrus-1"	130000	304123	10.259	24	"1"	"F"
"NA/19/2023/10011/30"	"21"	"38021"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-21-38021-makrell/172414/127023/Scomber scombrus-1"	65000	141162	12.893	28	"1"	"F"
"NA/19/2023/10011/30"	"22"	"38022"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-22-38022-makrell/172414/127023/Scomber scombrus-1"	270000	571550	11.81	25	"1"	"F"
"NA/19/2023/10011/30"	"23"	"38023"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-23-38023-makrell/172414/127023/Scomber scombrus-1"	280000	614334	12.306	27	"1"	"F"
"NA/19/2023/10011/30"	"24"	"38024"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-24-38024-makrell/172414/127023/Scomber scombrus-1"	155000	398266	12.454	32	"1"	"F"
"NA/19/2023/10011/30"	"25"	"38025"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-25-38025-makrell/172414/127023/Scomber scombrus-1"	155000	336064	8.302	18	"1"	"F"
"NA/19/2023/10011/30"	"26"	"38026"	"makrell/172414/127023/Scomber scombrus"	"2"	"NA/19/2023/10011/30-26-38026-makrell/172414/127023/Scomber scombrus-2"	105000	276108	7.986	21	"1"	"F"
"NA/19/2023/10011/30"	"27"	"38027"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-27-38027-makrell/172414/127023/Scomber scombrus-1"	255000	613394	10.393	25	"1"	"F"
"NA/19/2023/10011/30"	"28"	"38028"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-28-38028-makrell/172414/127023/Scomber scombrus-1"	475000	1151715	5.774	14	"1"	"F"
"NA/19/2023/10011/30"	"29"	"38029"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-29-38029-makrell/172414/127023/Scomber scombrus-1"	150000	329349	12.297	27	"1"	"F"
"NA/19/2023/10011/30"	"30"	"38030"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-30-38030-makrell/172414/127023/Scomber scombrus-1"	205000	466584	9.666	22	"1"	"F"
"NA/19/2023/10011/30"	"31"	"38031"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-31-38031-makrell/172414/127023/Scomber scombrus-1"	60000	138527	13.427	31	"1"	"F"
"NA/19/2023/10011/30"	"32"	"38032"	"makrell/172414/127023/Scomber scombrus"	"2"	"NA/19/2023/10011/30-32-38032-makrell/172414/127023/Scomber scombrus-2"	175000	468890	6.718	18	"1"	"F"
"NA/19/2023/10011/30"	"33"	"38033"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-33-38033-makrell/172414/127023/Scomber scombrus-1"	270000	680238	9.923	25	"1"	"F"
"NA/19/2023/10011/30"	"34"	"38034"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-34-38034-makrell/172414/127023/Scomber scombrus-1"	320000	696632	7.809	17	"1"	"F"
"NA/19/2023/10011/30"	"35"	"38035"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-35-38035-makrell/172414/127023/Scomber scombrus-1"	125000	279824	13.848	31	"1"	"F"
"NA/19/2023/10011/30"	"36"	"38036"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-36-38036-makrell/172414/127023/Scomber scombrus-1"	350000	790282	11.072	25	"1"	"F"
"NA/19/2023/10011/30"	"37"	"38037"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-37-38037-makrell/172414/127023/Scomber scombrus-1"	120000	292826	14.343	35	"1"	"F"
"NA/19/2023/10011/30"	"38"	"38038"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-38-38038-makrell/172414/127023/Scomber scombrus-1"	520000	1110447	11.707	25	"1"	"F"
"NA/19/2023/10011/30"	"39"	"38039"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-39-38039-makrell/172414/127023/Scomber scombrus-1"	460000	1112384	15.714	38	"1"	"F"
"NA/19/2023/10011/30"	"40"	"38040"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-40-38040-makrell/172414/127023/Scomber scombrus-1"	70000	136474	6.155	12	"1"	"F"
"NA/19/2023/10011/30"	"41"	"38041"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-41-38041-makrell/172414/127023/Scomber scombrus-1"	770000	1738320	10.188	23	"1"	"F"
"NA/19/2023/10011/30"	"42"	"38042"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-42-38042-makrell/172414/127023/Scomber scombrus-1"	160000	415339	8.475	22	"1"	"F"
"NA/19/2023/10011/30"	"44"	"38044"	"makrell/172414/127023/Scomber scombrus"	"2"	"NA/19/2023/10011/30-44-38044-makrell/172414/127023/Scomber scombrus-2"	130000	333191	7.023	18	"1"	"F"
"NA/19/2023/10011/30"	"46"	"38046"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-46-38046-makrell/172414/127023/Scomber scombrus-1"	90000	185667	11.149	23	"1"	"F"
"NA/19/2023/10011/30"	"47"	"38047"	"makrell/172414/127023/Scomber scombrus"	"2"	"NA/19/2023/10011/30-47-38047-makrell/172414/127023/Scomber scombrus-2"	185000	400394	10.165	22	"1"	"F"
"NA/19/2023/10011/30"	"48"	"38048"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-48-38048-makrell/172414/127023/Scomber scombrus-1"	295000	737795	9.996	25	"1"	"F"
"NA/19/2023/10011/30"	"49"	"38049"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-49-38049-makrell/172414/127023/Scomber scombrus-1"	15000	32247	14.42	31	"1"	"F"
"NA/19/2023/10011/30"	"50"	"38050"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-50-38050-makrell/172414/127023/Scomber scombrus-1"	110000	273235	9.662	24	"1"	"F"
"NA/19/2023/10011/30"	"51"	"38051"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-51-38051-makrell/172414/127023/Scomber scombrus-1"	27000	68666	9.437	24	"1"	"F"
"NA/19/2023/10011/30"	"52"	"38052"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-52-38052-makrell/172414/127023/Scomber scombrus-1"	125000	340187	9.921	27	"1"	"F"
"NA/19/2023/10011/30"	"53"	"38053"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-53-38053-makrell/172414/127023/Scomber scombrus-1"	130000	283820	12.367	27	"1"	"F"
"NA/19/2023/10011/30"	"54"	"38054"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-54-38054-makrell/172414/127023/Scomber scombrus-1"	70000	165338	6.774	16	"1"	"F"
"NA/19/2023/10011/30"	"55"	"38055"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-55-38055-makrell/172414/127023/Scomber scombrus-1"	4e+05	1026654	10.13	26	"1"	"F"
"NA/19/2023/10011/30"	"56"	"38056"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-56-38056-makrell/172414/127023/Scomber scombrus-1"	250000	539614	7.876	17	"1"	"F"
"NA/19/2023/10011/30"	"57"	"38057"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-57-38057-makrell/172414/127023/Scomber scombrus-1"	152000	384658	12.645	32	"1"	"F"
"NA/19/2023/10011/30"	"58"	"38058"	"makrell/172414/127023/Scomber scombrus"	"2"	"NA/19/2023/10011/30-58-38058-makrell/172414/127023/Scomber scombrus-2"	270000	655658	12.354	30	"1"	"F"
"NA/19/2023/10011/30"	"59"	"38059"	"makrell/172414/127023/Scomber scombrus"	"2"	"NA/19/2023/10011/30-59-38059-makrell/172414/127023/Scomber scombrus-2"	605000	1346557	7.638	17	"1"	"F"
"NA/19/2023/10011/30"	"60"	"38060"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-60-38060-makrell/172414/127023/Scomber scombrus-1"	120000	278293	8.624	20	"1"	"F"
"NA/19/2023/10011/30"	"61"	"38061"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-61-38061-makrell/172414/127023/Scomber scombrus-1"	105000	244891	9.004	21	"1"	"F"
"NA/19/2023/10011/30"	"62"	"38062"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-62-38062-makrell/172414/127023/Scomber scombrus-1"	225000	464472	9.204	19	"1"	"F"
"NA/19/2023/10011/30"	"63"	"38063"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-63-38063-makrell/172414/127023/Scomber scombrus-1"	1e+05	201267	13.415	27	"1"	"F"
"NA/19/2023/10011/30"	"64"	"38064"	"makrell/172414/127023/Scomber scombrus"	"2"	"NA/19/2023/10011/30-64-38064-makrell/172414/127023/Scomber scombrus-2"	245000	461925	9.547	18	"1"	"F"
"NA/19/2023/10011/30"	"65"	"38065"	"makrell/172414/127023/Scomber scombrus"	"2"	"NA/19/2023/10011/30-65-38065-makrell/172414/127023/Scomber scombrus-2"	6e+05	1352592	11.977	27	"1"	"F"
"NA/19/2023/10011/30"	"66"	"38066"	"makrell/172414/127023/Scomber scombrus"	"2"	"NA/19/2023/10011/30-66-38066-makrell/172414/127023/Scomber scombrus-2"	770000	1866828	11.549	28	"1"	"F"
"NA/19/2023/10011/30"	"67"	"38067"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-67-38067-makrell/172414/127023/Scomber scombrus-1"	230000	456765	12.085	24	"1"	"F"
"NA/19/2023/10011/30"	"74"	"38074"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-74-38074-makrell/172414/127023/Scomber scombrus-1"	490000	1014397	10.627	22	"1"	"F"
"NA/19/2023/10011/30"	"75"	"38075"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-75-38075-makrell/172414/127023/Scomber scombrus-1"	330000	741573	9.345	21	"1"	"F"
"NA/19/2023/10011/30"	"76"	"38076"	"makrell/172414/127023/Scomber scombrus"	"2"	"NA/19/2023/10011/30-76-38076-makrell/172414/127023/Scomber scombrus-2"	84800	189096	8.969	20	"1"	"F"
"NA/19/2023/10011/30"	"77"	"38077"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-77-38077-makrell/172414/127023/Scomber scombrus-1"	555000	1095665	12.157	24	"1"	"F"
"NA/19/2023/10011/30"	"78"	"38078"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-78-38078-makrell/172414/127023/Scomber scombrus-1"	135000	256126	6.325	12	"1"	"F"
"NA/19/2023/10011/30"	"79"	"38079"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-79-38079-makrell/172414/127023/Scomber scombrus-1"	55000	133400	7.009	17	"1"	"F"
"NA/19/2023/10011/30"	"80"	"38080"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-80-38080-makrell/172414/127023/Scomber scombrus-1"	85000	169444	12.541	25	"1"	"F"
"NA/19/2023/10011/30"	"81"	"38081"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2023/10011/30-81-38081-makrell/172414/127023/Scomber scombrus-1"	245000	562111	12.204	28	"1"	"F"
