"CruiseKey"	"StationKey"	"HaulKey"	"Haul"	"Gear"	"TowDistance"	"EffectiveTowDistance"	"MinHaulDepth"	"MaxHaulDepth"	"VerticalNetOpening"	"HorizontalNetOpening"	"TrawlDoorSpread"
"NA/19/2023/10024/20"	"5"	"38405"	"NA/19/2023/10024/20-5-38405"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10024/20"	"6"	"38406"	"NA/19/2023/10024/20-6-38406"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10024/20"	"7"	"38407"	"NA/19/2023/10024/20-7-38407"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10024/20"	"8"	"38408"	"NA/19/2023/10024/20-8-38408"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10024/20"	"9"	"38409"	"NA/19/2023/10024/20-9-38409"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10024/20"	"10"	"38410"	"NA/19/2023/10024/20-10-38410"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10024/20"	"11"	"38411"	"NA/19/2023/10024/20-11-38411"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10024/20"	"12"	"38412"	"NA/19/2023/10024/20-12-38412"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10024/20"	"13"	"38413"	"NA/19/2023/10024/20-13-38413"	"3100"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10024/20"	"14"	"38414"	"NA/19/2023/10024/20-14-38414"	"3100"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10024/20"	"15"	"38415"	"NA/19/2023/10024/20-15-38415"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10024/20"	"16"	"38416"	"NA/19/2023/10024/20-16-38416"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10024/20"	"17"	"38417"	"NA/19/2023/10024/20-17-38417"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10024/20"	"18"	"38418"	"NA/19/2023/10024/20-18-38418"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10024/20"	"19"	"38419"	"NA/19/2023/10024/20-19-38419"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10024/20"	"20"	"38420"	"NA/19/2023/10024/20-20-38420"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10024/20"	"21"	"38421"	"NA/19/2023/10024/20-21-38421"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10024/20"	"22"	"38422"	"NA/19/2023/10024/20-22-38422"	"3100"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10024/20"	"23"	"38423"	"NA/19/2023/10024/20-23-38423"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10024/20"	"24"	"38424"	"NA/19/2023/10024/20-24-38424"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10024/20"	"25"	"38425"	"NA/19/2023/10024/20-25-38425"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10024/20"	"26"	"38426"	"NA/19/2023/10024/20-26-38426"	"3100"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10024/20"	"27"	"38427"	"NA/19/2023/10024/20-27-38427"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10024/20"	"28"	"38428"	"NA/19/2023/10024/20-28-38428"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10024/20"	"29"	"38429"	"NA/19/2023/10024/20-29-38429"	"3100"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10024/20"	"30"	"38430"	"NA/19/2023/10024/20-30-38430"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2023/10024/20"	"31"	"38431"	"NA/19/2023/10024/20-31-38431"	"3700"	NA	NA	NA	NA	NA	NA	NA
