"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SampleKey"	"IndividualKey"	"Individual"	"IndividualRoundWeight"	"IndividualTotalLength"	"LengthResolution"	"WeightMeasurement"	"IndividualAge"	"IndividualSex"	"agingstructureread"
"NA/19/2023/10024/20"	"5"	"38405"	"sild'G05/161722.G05/126417/Clupea harengus"	"2"	"1"	"NA/19/2023/10024/20-5-38405-sild'G05/161722.G05/126417/Clupea harengus-2-1"	190	26.5	0.5	"IndividualWeight"	4	"F"	"3"
"NA/19/2023/10024/20"	"5"	"38405"	"sild'G05/161722.G05/126417/Clupea harengus"	"2"	"2"	"NA/19/2023/10024/20-5-38405-sild'G05/161722.G05/126417/Clupea harengus-2-2"	120	23	0.5	"IndividualWeight"	2	"M"	"3"
"NA/19/2023/10024/20"	"5"	"38405"	"sild'G05/161722.G05/126417/Clupea harengus"	"2"	"3"	"NA/19/2023/10024/20-5-38405-sild'G05/161722.G05/126417/Clupea harengus-2-3"	184	26	0.5	"IndividualWeight"	6	"F"	"3"
"NA/19/2023/10024/20"	"5"	"38405"	"sild'G05/161722.G05/126417/Clupea harengus"	"2"	"4"	"NA/19/2023/10024/20-5-38405-sild'G05/161722.G05/126417/Clupea harengus-2-4"	125	23	0.5	"IndividualWeight"	2	"F"	"3"
"NA/19/2023/10024/20"	"5"	"38405"	"sild'G05/161722.G05/126417/Clupea harengus"	"2"	"5"	"NA/19/2023/10024/20-5-38405-sild'G05/161722.G05/126417/Clupea harengus-2-5"	178	26.5	0.5	"IndividualWeight"	4	"F"	"3"
"NA/19/2023/10024/20"	"5"	"38405"	"sild'G05/161722.G05/126417/Clupea harengus"	"2"	"6"	"NA/19/2023/10024/20-5-38405-sild'G05/161722.G05/126417/Clupea harengus-2-6"	136	24.5	0.5	"IndividualWeight"	2	"M"	"3"
"NA/19/2023/10024/20"	"5"	"38405"	"sild'G05/161722.G05/126417/Clupea harengus"	"2"	"7"	"NA/19/2023/10024/20-5-38405-sild'G05/161722.G05/126417/Clupea harengus-2-7"	91	20.5	0.5	"IndividualWeight"	2	"F"	"3"
"NA/19/2023/10024/20"	"5"	"38405"	"sild'G05/161722.G05/126417/Clupea harengus"	"2"	"8"	"NA/19/2023/10024/20-5-38405-sild'G05/161722.G05/126417/Clupea harengus-2-8"	140	25	0.5	"IndividualWeight"	3	"F"	"3"
"NA/19/2023/10024/20"	"5"	"38405"	"sild'G05/161722.G05/126417/Clupea harengus"	"2"	"9"	"NA/19/2023/10024/20-5-38405-sild'G05/161722.G05/126417/Clupea harengus-2-9"	128	23.5	0.5	"IndividualWeight"	2	"F"	"3"
"NA/19/2023/10024/20"	"5"	"38405"	"sild'G05/161722.G05/126417/Clupea harengus"	"2"	"10"	"NA/19/2023/10024/20-5-38405-sild'G05/161722.G05/126417/Clupea harengus-2-10"	140	24	0.5	"IndividualWeight"	4	"M"	"3"
"NA/19/2023/10024/20"	"5"	"38405"	"sild'G05/161722.G05/126417/Clupea harengus"	"2"	"11"	"NA/19/2023/10024/20-5-38405-sild'G05/161722.G05/126417/Clupea harengus-2-11"	192	27	0.5	"IndividualWeight"	3	"F"	"3"
"NA/19/2023/10024/20"	"5"	"38405"	"sild'G05/161722.G05/126417/Clupea harengus"	"2"	"12"	"NA/19/2023/10024/20-5-38405-sild'G05/161722.G05/126417/Clupea harengus-2-12"	177	26	0.5	"IndividualWeight"	3	"F"	"3"
"NA/19/2023/10024/20"	"5"	"38405"	"sild'G05/161722.G05/126417/Clupea harengus"	"2"	"13"	"NA/19/2023/10024/20-5-38405-sild'G05/161722.G05/126417/Clupea harengus-2-13"	172	25.5	0.5	"IndividualWeight"	3	"M"	"3"
"NA/19/2023/10024/20"	"5"	"38405"	"sild'G05/161722.G05/126417/Clupea harengus"	"2"	"14"	"NA/19/2023/10024/20-5-38405-sild'G05/161722.G05/126417/Clupea harengus-2-14"	180	25.5	0.5	"IndividualWeight"	3	"M"	"3"
"NA/19/2023/10024/20"	"5"	"38405"	"sild'G05/161722.G05/126417/Clupea harengus"	"2"	"15"	"NA/19/2023/10024/20-5-38405-sild'G05/161722.G05/126417/Clupea harengus-2-15"	143	26	0.5	"IndividualWeight"	4	"M"	"3"
"NA/19/2023/10024/20"	"5"	"38405"	"sild'G05/161722.G05/126417/Clupea harengus"	"2"	"16"	"NA/19/2023/10024/20-5-38405-sild'G05/161722.G05/126417/Clupea harengus-2-16"	102	21.5	0.5	"IndividualWeight"	2	"F"	"3"
"NA/19/2023/10024/20"	"5"	"38405"	"sild'G05/161722.G05/126417/Clupea harengus"	"2"	"17"	"NA/19/2023/10024/20-5-38405-sild'G05/161722.G05/126417/Clupea harengus-2-17"	142	25	0.5	"IndividualWeight"	2	"F"	"3"
"NA/19/2023/10024/20"	"5"	"38405"	"sild'G05/161722.G05/126417/Clupea harengus"	"2"	"18"	"NA/19/2023/10024/20-5-38405-sild'G05/161722.G05/126417/Clupea harengus-2-18"	137	24	0.5	"IndividualWeight"	2	"M"	"3"
"NA/19/2023/10024/20"	"5"	"38405"	"sild'G05/161722.G05/126417/Clupea harengus"	"2"	"19"	"NA/19/2023/10024/20-5-38405-sild'G05/161722.G05/126417/Clupea harengus-2-19"	137	24.5	0.5	"IndividualWeight"	3	"M"	"3"
"NA/19/2023/10024/20"	"5"	"38405"	"sild'G05/161722.G05/126417/Clupea harengus"	"2"	"20"	"NA/19/2023/10024/20-5-38405-sild'G05/161722.G05/126417/Clupea harengus-2-20"	137	24.5	0.5	"IndividualWeight"	3	"F"	"3"
"NA/19/2023/10024/20"	"5"	"38405"	"sild'G05/161722.G05/126417/Clupea harengus"	"2"	"21"	"NA/19/2023/10024/20-5-38405-sild'G05/161722.G05/126417/Clupea harengus-2-21"	136	24	0.5	"IndividualWeight"	2	"F"	"3"
"NA/19/2023/10024/20"	"5"	"38405"	"sild'G05/161722.G05/126417/Clupea harengus"	"2"	"22"	"NA/19/2023/10024/20-5-38405-sild'G05/161722.G05/126417/Clupea harengus-2-22"	196	28	0.5	"IndividualWeight"	10	"F"	"3"
"NA/19/2023/10024/20"	"5"	"38405"	"sild'G05/161722.G05/126417/Clupea harengus"	"2"	"23"	"NA/19/2023/10024/20-5-38405-sild'G05/161722.G05/126417/Clupea harengus-2-23"	111	22.5	0.5	"IndividualWeight"	2	"F"	"3"
"NA/19/2023/10024/20"	"5"	"38405"	"sild'G05/161722.G05/126417/Clupea harengus"	"2"	"24"	"NA/19/2023/10024/20-5-38405-sild'G05/161722.G05/126417/Clupea harengus-2-24"	106	22.5	0.5	"IndividualWeight"	2	"F"	"3"
"NA/19/2023/10024/20"	"5"	"38405"	"sild'G05/161722.G05/126417/Clupea harengus"	"2"	"25"	"NA/19/2023/10024/20-5-38405-sild'G05/161722.G05/126417/Clupea harengus-2-25"	149	25	0.5	"IndividualWeight"	2	"M"	"3"
"NA/19/2023/10024/20"	"5"	"38405"	"sild'G05/161722.G05/126417/Clupea harengus"	"2"	"26"	"NA/19/2023/10024/20-5-38405-sild'G05/161722.G05/126417/Clupea harengus-2-26"	120	23	0.5	"IndividualWeight"	2	"F"	"3"
"NA/19/2023/10024/20"	"5"	"38405"	"sild'G05/161722.G05/126417/Clupea harengus"	"2"	"27"	"NA/19/2023/10024/20-5-38405-sild'G05/161722.G05/126417/Clupea harengus-2-27"	138	24	0.5	"IndividualWeight"	2	"F"	"3"
"NA/19/2023/10024/20"	"5"	"38405"	"sild'G05/161722.G05/126417/Clupea harengus"	"2"	"28"	"NA/19/2023/10024/20-5-38405-sild'G05/161722.G05/126417/Clupea harengus-2-28"	111	23.5	0.5	"IndividualWeight"	3	"M"	"3"
"NA/19/2023/10024/20"	"5"	"38405"	"sild'G05/161722.G05/126417/Clupea harengus"	"2"	"29"	"NA/19/2023/10024/20-5-38405-sild'G05/161722.G05/126417/Clupea harengus-2-29"	135	25.5	0.5	"IndividualWeight"	4	"F"	"3"
"NA/19/2023/10024/20"	"5"	"38405"	"sild'G05/161722.G05/126417/Clupea harengus"	"2"	"30"	"NA/19/2023/10024/20-5-38405-sild'G05/161722.G05/126417/Clupea harengus-2-30"	138	25	0.5	"IndividualWeight"	3	"F"	"3"
"NA/19/2023/10024/20"	"5"	"38405"	"sild'G05/161722.G05/126417/Clupea harengus"	"2"	"31"	"NA/19/2023/10024/20-5-38405-sild'G05/161722.G05/126417/Clupea harengus-2-31"	176	26	0.5	"IndividualWeight"	5	"M"	"3"
"NA/19/2023/10024/20"	"5"	"38405"	"sild'G05/161722.G05/126417/Clupea harengus"	"2"	"32"	"NA/19/2023/10024/20-5-38405-sild'G05/161722.G05/126417/Clupea harengus-2-32"	141	24.5	0.5	"IndividualWeight"	3	"M"	"3"
"NA/19/2023/10024/20"	"5"	"38405"	"sild'G05/161722.G05/126417/Clupea harengus"	"2"	"33"	"NA/19/2023/10024/20-5-38405-sild'G05/161722.G05/126417/Clupea harengus-2-33"	79	20.5	0.5	"IndividualWeight"	1	"F"	"3"
