"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SampleKey"	"Sample"	"CatchFractionWeight"	"CatchFractionNumber"	"SampleWeight"	"SampleNumber"	"sampleproducttype"	"lengthmeasurement"
"NA/19/2023/10024/20"	"5"	"38405"	"sild'G05/161722.G05/126417/Clupea harengus"	"2"	"NA/19/2023/10024/20-5-38405-sild'G05/161722.G05/126417/Clupea harengus-2"	188000	1342712	9.241	66	"1"	"E"
"NA/19/2023/10024/20"	"6"	"38406"	"sild'G05/161722.G05/126417/Clupea harengus"	"1"	"NA/19/2023/10024/20-6-38406-sild'G05/161722.G05/126417/Clupea harengus-1"	1e+05	581395	8.6	50	"1"	"E"
"NA/19/2023/10024/20"	"7"	"38407"	"sild'G05/161722.G05/126417/Clupea harengus"	"1"	"NA/19/2023/10024/20-7-38407-sild'G05/161722.G05/126417/Clupea harengus-1"	149000	719807	11.799	57	"1"	"E"
"NA/19/2023/10024/20"	"8"	"38408"	"sild'G05/161722.G05/126417/Clupea harengus"	"2"	"NA/19/2023/10024/20-8-38408-sild'G05/161722.G05/126417/Clupea harengus-2"	189000	1314466	9.346	65	"1"	"E"
"NA/19/2023/10024/20"	"9"	"38409"	"sild'G05/161722.G05/126417/Clupea harengus"	"1"	"NA/19/2023/10024/20-9-38409-sild'G05/161722.G05/126417/Clupea harengus-1"	30000	249013	7.349	61	"1"	"E"
"NA/19/2023/10024/20"	"10"	"38410"	"sild'G05/161722.G05/126417/Clupea harengus"	"1"	"NA/19/2023/10024/20-10-38410-sild'G05/161722.G05/126417/Clupea harengus-1"	101000	591436	8.197	48	"1"	"E"
"NA/19/2023/10024/20"	"11"	"38411"	"sild'G05/161722.G05/126417/Clupea harengus"	"1"	"NA/19/2023/10024/20-11-38411-sild'G05/161722.G05/126417/Clupea harengus-1"	35000	400825	4.366	50	"1"	"E"
"NA/19/2023/10024/20"	"12"	"38412"	"sild'G05/161722.G05/126417/Clupea harengus"	"1"	"NA/19/2023/10024/20-12-38412-sild'G05/161722.G05/126417/Clupea harengus-1"	250000	1662856	9.622	64	"1"	"E"
"NA/19/2023/10024/20"	"13"	"38413"	"sild'G05/161722.G05/126417/Clupea harengus"	"1"	"NA/19/2023/10024/20-13-38413-sild'G05/161722.G05/126417/Clupea harengus-1"	170000	794300	8.561	40	"1"	"E"
"NA/19/2023/10024/20"	"14"	"38414"	"sild'G05/161722.G05/126417/Clupea harengus"	"1"	"NA/19/2023/10024/20-14-38414-sild'G05/161722.G05/126417/Clupea harengus-1"	98000	1099425	7.131	80	"1"	"E"
"NA/19/2023/10024/20"	"15"	"38415"	"sild'G05/161722.G05/126417/Clupea harengus"	"1"	"NA/19/2023/10024/20-15-38415-sild'G05/161722.G05/126417/Clupea harengus-1"	295000	1393701	8.255	39	"1"	"E"
"NA/19/2023/10024/20"	"16"	"38416"	"sild'G05/161722.G05/126417/Clupea harengus"	"1"	"NA/19/2023/10024/20-16-38416-sild'G05/161722.G05/126417/Clupea harengus-1"	8500	48647	6.465	37	"1"	"E"
"NA/19/2023/10024/20"	"17"	"38417"	"sild'G05/161722.G05/126417/Clupea harengus"	"1"	"NA/19/2023/10024/20-17-38417-sild'G05/161722.G05/126417/Clupea harengus-1"	1e+05	984615	9.75	96	"1"	"E"
"NA/19/2023/10024/20"	"18"	"38418"	"sild'G05/161722.G05/126417/Clupea harengus"	"1"	"NA/19/2023/10024/20-18-38418-sild'G05/161722.G05/126417/Clupea harengus-1"	51000	362530	8.3	59	"1"	"E"
"NA/19/2023/10024/20"	"19"	"38419"	"sild'G05/161722.G05/126417/Clupea harengus"	"1"	"NA/19/2023/10024/20-19-38419-sild'G05/161722.G05/126417/Clupea harengus-1"	60000	NA	12.391	100	"1"	"E"
"NA/19/2023/10024/20"	"20"	"38420"	"sild'G05/161722.G05/126417/Clupea harengus"	"1"	"NA/19/2023/10024/20-20-38420-sild'G05/161722.G05/126417/Clupea harengus-1"	150000	814621	9.575	52	"1"	"E"
"NA/19/2023/10024/20"	"21"	"38421"	"sild'G05/161722.G05/126417/Clupea harengus"	"1"	"NA/19/2023/10024/20-21-38421-sild'G05/161722.G05/126417/Clupea harengus-1"	150000	1469678	9.696	95	"1"	"E"
"NA/19/2023/10024/20"	"22"	"38422"	"sild'G05/161722.G05/126417/Clupea harengus"	"1"	"NA/19/2023/10024/20-22-38422-sild'G05/161722.G05/126417/Clupea harengus-1"	270000	2962920	8.657	95	"1"	"E"
"NA/19/2023/10024/20"	"23"	"38423"	"sild'G05/161722.G05/126417/Clupea harengus"	"1"	"NA/19/2023/10024/20-23-38423-sild'G05/161722.G05/126417/Clupea harengus-1"	250000	1961255	6.246	49	"1"	"E"
"NA/19/2023/10024/20"	"24"	"38424"	"sild'G05/161722.G05/126417/Clupea harengus"	"1"	"NA/19/2023/10024/20-24-38424-sild'G05/161722.G05/126417/Clupea harengus-1"	115000	870049	6.741	51	"1"	"E"
"NA/19/2023/10024/20"	"25"	"38425"	"sild'G05/161722.G05/126417/Clupea harengus"	"1"	"NA/19/2023/10024/20-25-38425-sild'G05/161722.G05/126417/Clupea harengus-1"	90000	1103617	8.155	100	"1"	"E"
"NA/19/2023/10024/20"	"26"	"38426"	"sild'G05/161722.G05/126417/Clupea harengus"	"1"	"NA/19/2023/10024/20-26-38426-sild'G05/161722.G05/126417/Clupea harengus-1"	30000	175521	14.87	87	"1"	"E"
"NA/19/2023/10024/20"	"27"	"38427"	"sild'G05/161722.G05/126417/Clupea harengus"	"2"	"NA/19/2023/10024/20-27-38427-sild'G05/161722.G05/126417/Clupea harengus-2"	180000	1522481	6.739	57	"1"	"E"
"NA/19/2023/10024/20"	"28"	"38428"	"sild'G05/161722.G05/126417/Clupea harengus"	"1"	"NA/19/2023/10024/20-28-38428-sild'G05/161722.G05/126417/Clupea harengus-1"	2e+05	1010026	13.465	68	"1"	"E"
"NA/19/2023/10024/20"	"29"	"38429"	"sild'G05/161722.G05/126417/Clupea harengus"	"1"	"NA/19/2023/10024/20-29-38429-sild'G05/161722.G05/126417/Clupea harengus-1"	35000	264951	13.21	100	"1"	"E"
"NA/19/2023/10024/20"	"30"	"38430"	"sild'G05/161722.G05/126417/Clupea harengus"	"1"	"NA/19/2023/10024/20-30-38430-sild'G05/161722.G05/126417/Clupea harengus-1"	120000	781348	4.761	31	"1"	"E"
