"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SpeciesCategory"
"NA/19/2023/10024/20"	"5"	"38405"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"6"	"38406"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"7"	"38407"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"8"	"38408"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"9"	"38409"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"10"	"38410"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"11"	"38411"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"12"	"38412"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"13"	"38413"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"14"	"38414"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"15"	"38415"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"16"	"38416"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"17"	"38417"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"18"	"38418"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"19"	"38419"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"20"	"38420"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"21"	"38421"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"22"	"38422"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"23"	"38423"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"24"	"38424"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"25"	"38425"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"26"	"38426"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"27"	"38427"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"28"	"38428"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"29"	"38429"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"30"	"38430"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"31"	"38431"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"32"	"38432"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"33"	"38433"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"34"	"38434"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"35"	"38435"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"36"	"38436"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"37"	"38437"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"38"	"38438"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"39"	"38439"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"40"	"38440"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"41"	"38441"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"42"	"38442"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"43"	"38443"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"44"	"38444"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"45"	"38445"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"46"	"38446"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"47"	"38447"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"48"	"38448"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"49"	"38449"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"50"	"38450"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"51"	"38451"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"52"	"38452"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"53"	"38453"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"54"	"38454"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"55"	"38455"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"56"	"38456"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"57"	"38457"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"58"	"38458"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"59"	"38459"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"60"	"38460"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"61"	"38461"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"62"	"38462"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"63"	"38463"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"64"	"38464"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"65"	"38465"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"66"	"38466"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"67"	"38467"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2023/10024/20"	"68"	"38468"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
