"CruiseKey"	"StationKey"	"Station"	"CatchPlatform"	"DateTime"	"Latitude"	"Longitude"	"BottomDepth"	"Stratum"	"StratumTransfer"	"Period"	"Quarter"
"NA/19/2023/10024/20"	"5"	"NA/19/2023/10024/20-5"	"9103"	2023-06-12T12:46:00Z	60.3171	2.033	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"6"	"NA/19/2023/10024/20-6"	"9115"	2023-05-31T13:20:00Z	59.967	3.13301	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"7"	"NA/19/2023/10024/20-7"	"10129"	2023-07-03T13:18:00Z	60.367	3	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q3"
"NA/19/2023/10024/20"	"8"	"NA/19/2023/10024/20-8"	"9103"	2023-06-13T10:25:00Z	60.483	2.267	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"9"	"NA/19/2023/10024/20-9"	"9827"	2023-05-23T06:56:00Z	59.0331	2.9	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"10"	"NA/19/2023/10024/20-10"	"9841"	2023-06-09T09:36:00Z	60.7521	2.86901	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"11"	"NA/19/2023/10024/20-11"	"9712"	2023-06-18T17:54:00Z	59.3831	2.38301	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"12"	"NA/19/2023/10024/20-12"	"3322"	2023-05-28T13:34:00Z	60.3	2.75	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"13"	"NA/19/2023/10024/20-13"	"2588"	2023-08-17T18:58:00Z	60.05	0.267001	NA	"27.4.aW"	"27.4.aW"	"[01-04, 01-10>"	"Q3"
"NA/19/2023/10024/20"	"14"	"NA/19/2023/10024/20-14"	"4193"	2023-06-04T03:58:00Z	59.5671	2.38301	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"15"	"NA/19/2023/10024/20-15"	"9539"	2023-06-30T12:31:00Z	60.007	3.014	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"16"	"NA/19/2023/10024/20-16"	"4607"	2023-06-10T04:09:00Z	61.583	1.68301	NA	"27.4.aW"	"27.4.aW"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"17"	"NA/19/2023/10024/20-17"	"2773"	2023-08-12T04:48:00Z	59.117	2.56701	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q3"
"NA/19/2023/10024/20"	"18"	"NA/19/2023/10024/20-18"	"9844"	2023-06-23T14:35:00Z	60.05	2.577	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"19"	"NA/19/2023/10024/20-19"	"1750"	2023-05-30T09:14:00Z	60.2001	2.25	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"20"	"NA/19/2023/10024/20-20"	"9464"	2023-08-21T12:15:00Z	57.51	7.329	NA	"27.4.aE"	"Transfer.area"	"[01-04, 01-10>"	"Q3"
"NA/19/2023/10024/20"	"21"	"NA/19/2023/10024/20-21"	"2773"	2023-08-11T15:09:00Z	59.25	2.71701	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q3"
"NA/19/2023/10024/20"	"22"	"NA/19/2023/10024/20-22"	"4193"	2023-06-04T10:20:00Z	59.583	2.55	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"23"	"NA/19/2023/10024/20-23"	"4211"	2023-06-09T16:06:00Z	59.617	2.15	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"24"	"NA/19/2023/10024/20-24"	"2934"	2023-06-14T17:47:00Z	60.095	2.9	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
"NA/19/2023/10024/20"	"25"	"NA/19/2023/10024/20-25"	"9827"	2023-05-11T04:13:00Z	57.51	2.38301	NA	"27.4.aE"	"27.4.aE"	"[01-04, 01-10>"	"Q2"
