"missiontype"	"startyear"	"platform"	"missionnumber"	"serialnumber"	"catchsampleid"	"commonname"	"catchcategory"	"catchpartnumber"	"aphia"	"scientificname"	"identification"	"foreignobject"	"sampletype"	"group"	"conservation"	"catchproducttype"	"raisingfactor"	"catchweight"	"catchvolume"	"catchcount"	"abundancecategory"	"sampleproducttype"	"lengthmeasurement"	"lengthsampleweight"	"lengthsamplevolume"	"lengthsamplecount"	"specimensamplecount"	"agesamplecount"	"agingstructure"	"parasite"	"stomach"	"intestine"	"tissuesample"	"samplerecipient"	"catchcomment"
"19"	2023	"10011"	30	38013	1	"makrell"	"172414"	1	"127023"	"Scomber scombrus"	NA	NA	"23"	NA	"2"	"1"	NA	85000	NA	166765	NA	"1"	"F"	10.194	NA	20	20	20	"2"	NA	NA	NA	NA	NA	NA
"19"	2023	"10011"	30	38014	1	"makrell"	"172414"	1	"127023"	"Scomber scombrus"	NA	NA	"23"	NA	"2"	"1"	NA	220000	NA	456985	NA	"1"	"F"	11.554	NA	24	24	24	"2"	NA	NA	NA	NA	NA	NA
"19"	2023	"10011"	30	38015	1	"makrell"	"172414"	1	"127023"	"Scomber scombrus"	NA	NA	"20"	NA	"2"	"1"	NA	160000	NA	325796	NA	"1"	"F"	9.331	NA	19	19	19	"2"	NA	NA	NA	NA	NA	"Kudoa"
"19"	2023	"10011"	30	38016	1	"makrell"	"172414"	1	"127023"	"Scomber scombrus"	NA	NA	"20"	NA	"2"	"1"	NA	130000	NA	341972	NA	"1"	"F"	10.264	NA	27	27	27	"2"	NA	NA	NA	NA	NA	"Kudoa"
"19"	2023	"10011"	30	38018	1	"makrell"	"172414"	1	"127023"	"Scomber scombrus"	NA	NA	"20"	NA	"2"	"1"	NA	2e+05	NA	370215	NA	"1"	"F"	11.885	NA	22	22	22	"2"	NA	NA	NA	NA	NA	NA
"19"	2023	"10011"	30	38019	1	"makrell"	"172414"	1	"127023"	"Scomber scombrus"	NA	NA	"20"	NA	"2"	"1"	NA	210000	NA	438631	NA	"1"	"F"	10.054	NA	21	21	21	"2"	NA	NA	NA	NA	NA	NA
"19"	2023	"10011"	30	38020	1	"makrell"	"172414"	1	"127023"	"Scomber scombrus"	NA	NA	"20"	NA	"2"	"1"	NA	130000	NA	304123	NA	"1"	"F"	10.259	NA	24	24	24	"2"	NA	NA	NA	NA	NA	"Prøven til anisakis"
"19"	2023	"10011"	30	38021	1	"makrell"	"172414"	1	"127023"	"Scomber scombrus"	NA	NA	"20"	NA	"2"	"1"	NA	65000	NA	141162	NA	"1"	"F"	12.893	NA	28	28	28	"2"	NA	NA	NA	NA	NA	"Prøven til anisakis "
"19"	2023	"10011"	30	38022	1	"makrell"	"172414"	1	"127023"	"Scomber scombrus"	NA	NA	"20"	NA	"2"	"1"	NA	270000	NA	571550	NA	"1"	"F"	11.81	NA	25	25	25	"2"	NA	NA	NA	NA	NA	NA
"19"	2023	"10011"	30	38023	1	"makrell"	"172414"	1	"127023"	"Scomber scombrus"	NA	NA	"20"	NA	"2"	"1"	NA	280000	NA	614334	NA	"1"	"F"	12.306	NA	27	27	27	"2"	NA	NA	NA	NA	NA	"kudoa"
"19"	2023	"10011"	30	38024	1	"makrell"	"172414"	1	"127023"	"Scomber scombrus"	NA	NA	"20"	NA	"2"	"1"	NA	155000	NA	398266	NA	"1"	"F"	12.454	NA	32	32	32	"2"	NA	NA	NA	NA	NA	"kudoa; Suspekt alder ved lengde på individ med lbh 3"
"19"	2023	"10011"	30	38024	2	"sild'G07"	"161722.G05"	1	"126417"	NA	NA	NA	NA	NA	"1"	"1"	NA	1000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"19"	2023	"10011"	30	38025	1	"makrell"	"172414"	1	"127023"	"Scomber scombrus"	NA	NA	"20"	NA	"2"	"1"	1	155000	NA	336064	NA	"1"	"F"	8.302	NA	18	18	18	"2"	NA	NA	NA	NA	NA	NA
