"missiontype"	"startyear"	"platform"	"missionnumber"	"serialnumber"	"nation"	"catchplatform"	"station"	"fixedstation"	"stationstartdate"	"stationstarttime"	"stationstopdate"	"stationstoptime"	"stationtype"	"latitudestart"	"longitudestart"	"latitudeend"	"longitudeend"	"system"	"area"	"location"	"bottomdepthstart"	"bottomdepthstop"	"bottomdepthmean"	"fishingdepthstart"	"fishingdepthstop"	"fishingdepthcount"	"fishingdepthmax"	"fishingdepthmin"	"fishingdepthmean"	"fishingdepthtemperature"	"gearno"	"sweeplength"	"gear"	"gearcount"	"direction"	"gearflow"	"vesselspeed"	"logstart"	"logstop"	"distance"	"gearcondition"	"samplequality"	"verticaltrawlopening"	"verticaltrawlopeningsd"	"trawldoortype"	"trawldoorarea"	"trawldoorweight"	"trawldoorspread"	"trawldoorspreadsd"	"wingspread"	"wingspreadsd"	"wirelength"	"wirediameter"	"wiredensity"	"soaktime"	"fishingbait"	"tripno"	"fishabundance"	"fishdistribution"	"landingsite"	"fishingground"	"vesselcount"	"dataquality"	"haulvalidity"	"flora"	"vegetationcover"	"visibility"	"waterlevel"	"winddirection"	"windspeed"	"clouds"	"sea"	"weather"	"stationcomment"
"19"	2023	"10011"	30	38013	"58"	"1750"	13	NA	"2023-08-27Z"	"10:44:00.000Z"	"2023-08-27Z"	"11:51:00.000Z"	NA	63.5331	0.800001	63.5331	0.800001	"10"	"30"	"08"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3710"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2023	"10011"	30	38014	"58"	"9889"	14	NA	"2023-08-28Z"	"05:38:00.000Z"	"2023-08-28Z"	"07:38:00.000Z"	NA	63.4	0.383001	63.4	0.383001	"10"	"30"	"08"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3710"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2023	"10011"	30	38015	"58"	"9826"	15	NA	"2023-08-23Z"	"14:24:00.000Z"	"2023-08-23Z"	"16:42:00.000Z"	NA	67.2831	14.3671	63.583	0.883001	"10"	"0"	"53"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3710"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2023	"10011"	30	38016	"58"	"1750"	16	NA	"2023-08-25Z"	"10:41:00.000Z"	"2023-08-25Z"	"11:48:00.000Z"	NA	63.617	1.05001	63.617	1.067	"10"	"30"	"09"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3710"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2023	"10011"	30	38018	"58"	"4815"	18	NA	"2023-10-02Z"	"23:11:00.000Z"	"2023-10-03Z"	"02:18:00.000Z"	NA	59.6001	0.0330001	59.6331	0.0500001	"10"	"42"	"43"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3710"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2023	"10011"	30	38019	"58"	"4650"	19	NA	"2023-10-05Z"	"02:52:00.000Z"	"2023-10-05Z"	"06:02:00.000Z"	NA	59.4171	0.900001	59.4171	0.883001	"10"	"42"	"33"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3710"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2023	"10011"	30	38020	"58"	"3322"	20	NA	"2023-10-08Z"	"00:57:00.000Z"	"2023-10-08Z"	"02:38:00.000Z"	NA	59.8	-0.633001	59.8	-0.633001	"10"	"42"	"42"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3710"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2023	"10011"	30	38021	"58"	"4109"	21	NA	"2023-09-30Z"	"16:52:00.000Z"	"2023-09-30Z"	"18:21:00.000Z"	NA	60.0171	-0.35	60.0171	-0.35	"10"	"42"	"52"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3710"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2023	"10011"	30	38022	"58"	"4602"	22	NA	"2023-09-10Z"	"12:48:00.000Z"	"2023-09-10Z"	"15:04:00.000Z"	NA	59.25	-0.333001	59.25	-0.333001	"10"	"42"	"32"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3710"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2023	"10011"	30	38023	"58"	"4602"	23	NA	"2023-09-10Z"	"17:28:00.000Z"	"2023-09-10Z"	"19:37:00.000Z"	NA	59.25	-0.333001	59.25	-0.333001	"10"	"42"	"32"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3710"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2023	"10011"	30	38024	"58"	"2886"	24	NA	"2023-09-27Z"	"08:31:00.000Z"	"2023-09-27Z"	"09:52:00.000Z"	NA	59.617	-0.367	59.6001	-0.35	"10"	"42"	"42"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3710"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2023	"10011"	30	38025	"58"	"10128"	25	NA	"2023-09-09Z"	"10:49:00.000Z"	"2023-09-09Z"	"12:55:00.000Z"	NA	62.75	2.033	62.75	2.017	"10"	"30"	"04"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3710"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2023	"10011"	30	38026	"58"	"4158"	26	NA	"2023-09-22Z"	"08:51:00.000Z"	"2023-09-22Z"	"10:36:00.000Z"	NA	59.65	-0.967	59.65	-0.983	"10"	"42"	"42"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3710"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2023	"10011"	30	38027	"58"	"9115"	27	NA	"2023-10-09Z"	"15:14:00.000Z"	"2023-10-09Z"	"16:11:00.000Z"	NA	59.3	-0.217	59.3	-0.217	"10"	"42"	"32"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3710"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
