"CruiseKey"	"StationKey"	"HaulKey"	"Haul"	"Gear"	"TowDistance"	"EffectiveTowDistance"	"MinHaulDepth"	"MaxHaulDepth"	"VerticalNetOpening"	"HorizontalNetOpening"	"TrawlDoorSpread"
"NA/19/2020/9000/10"	"1"	"39001"	"NA/19/2020/9000/10-1-39001"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"2"	"39002"	"NA/19/2020/9000/10-2-39002"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"3"	"39003"	"NA/19/2020/9000/10-3-39003"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"4"	"39004"	"NA/19/2020/9000/10-4-39004"	"3100"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"5"	"39005"	"NA/19/2020/9000/10-5-39005"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"6"	"39006"	"NA/19/2020/9000/10-6-39006"	"3100"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"7"	"39007"	"NA/19/2020/9000/10-7-39007"	"3100"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"8"	"39008"	"NA/19/2020/9000/10-8-39008"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"9"	"39009"	"NA/19/2020/9000/10-9-39009"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"10"	"39010"	"NA/19/2020/9000/10-10-39010"	"3100"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"11"	"39011"	"NA/19/2020/9000/10-11-39011"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"12"	"39012"	"NA/19/2020/9000/10-12-39012"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"13"	"39013"	"NA/19/2020/9000/10-13-39013"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"14"	"39014"	"NA/19/2020/9000/10-14-39014"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"15"	"39015"	"NA/19/2020/9000/10-15-39015"	"3100"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"17"	"39017"	"NA/19/2020/9000/10-17-39017"	"3100"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"18"	"39018"	"NA/19/2020/9000/10-18-39018"	"3100"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"19"	"39019"	"NA/19/2020/9000/10-19-39019"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"20"	"39020"	"NA/19/2020/9000/10-20-39020"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"21"	"39021"	"NA/19/2020/9000/10-21-39021"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"22"	"39022"	"NA/19/2020/9000/10-22-39022"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"23"	"39023"	"NA/19/2020/9000/10-23-39023"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"24"	"39024"	"NA/19/2020/9000/10-24-39024"	"3100"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"25"	"39025"	"NA/19/2020/9000/10-25-39025"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"26"	"39026"	"NA/19/2020/9000/10-26-39026"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"27"	"39027"	"NA/19/2020/9000/10-27-39027"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"28"	"39028"	"NA/19/2020/9000/10-28-39028"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"29"	"39029"	"NA/19/2020/9000/10-29-39029"	"3100"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"30"	"39030"	"NA/19/2020/9000/10-30-39030"	"3100"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"31"	"39031"	"NA/19/2020/9000/10-31-39031"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"32"	"39032"	"NA/19/2020/9000/10-32-39032"	"3100"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"33"	"39033"	"NA/19/2020/9000/10-33-39033"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"34"	"39034"	"NA/19/2020/9000/10-34-39034"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"35"	"39035"	"NA/19/2020/9000/10-35-39035"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"36"	"39036"	"NA/19/2020/9000/10-36-39036"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"37"	"39037"	"NA/19/2020/9000/10-37-39037"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"38"	"39038"	"NA/19/2020/9000/10-38-39038"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"39"	"39039"	"NA/19/2020/9000/10-39-39039"	"3100"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"40"	"39040"	"NA/19/2020/9000/10-40-39040"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"41"	"39041"	"NA/19/2020/9000/10-41-39041"	"3100"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"42"	"39042"	"NA/19/2020/9000/10-42-39042"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"43"	"39043"	"NA/19/2020/9000/10-43-39043"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"44"	"39044"	"NA/19/2020/9000/10-44-39044"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"45"	"39045"	"NA/19/2020/9000/10-45-39045"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"46"	"39046"	"NA/19/2020/9000/10-46-39046"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"47"	"39047"	"NA/19/2020/9000/10-47-39047"	"3100"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"48"	"39048"	"NA/19/2020/9000/10-48-39048"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"49"	"39049"	"NA/19/2020/9000/10-49-39049"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"50"	"39050"	"NA/19/2020/9000/10-50-39050"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"51"	"39051"	"NA/19/2020/9000/10-51-39051"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"52"	"39052"	"NA/19/2020/9000/10-52-39052"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"53"	"39053"	"NA/19/2020/9000/10-53-39053"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"54"	"39054"	"NA/19/2020/9000/10-54-39054"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"67"	"39067"	"NA/19/2020/9000/10-67-39067"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"68"	"39068"	"NA/19/2020/9000/10-68-39068"	"3700"	NA	NA	NA	NA	NA	NA	NA
