"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SampleKey"	"IndividualKey"	"Individual"	"IndividualRoundWeight"	"IndividualTotalLength"	"LengthResolution"	"WeightMeasurement"	"IndividualAge"	"IndividualSex"	"agingstructureread"
"NA/19/2020/9000/10"	"1"	"39001"	"sild'G03/161722.G03/126417/NA"	"2"	"1"	"NA/19/2020/9000/10-1-39001-sild'G03/161722.G03/126417/NA-2-1"	306	33	0.5	"IndividualWeight"	9	"F"	NA
"NA/19/2020/9000/10"	"1"	"39001"	"sild'G03/161722.G03/126417/NA"	"2"	"2"	"NA/19/2020/9000/10-1-39001-sild'G03/161722.G03/126417/NA-2-2"	412	35.5	0.5	"IndividualWeight"	NA	"F"	NA
"NA/19/2020/9000/10"	"1"	"39001"	"sild'G03/161722.G03/126417/NA"	"2"	"3"	"NA/19/2020/9000/10-1-39001-sild'G03/161722.G03/126417/NA-2-3"	415	36.5	0.5	"IndividualWeight"	12	"M"	NA
"NA/19/2020/9000/10"	"1"	"39001"	"sild'G03/161722.G03/126417/NA"	"2"	"4"	"NA/19/2020/9000/10-1-39001-sild'G03/161722.G03/126417/NA-2-4"	369	35	0.5	"IndividualWeight"	NA	"F"	NA
"NA/19/2020/9000/10"	"1"	"39001"	"sild'G03/161722.G03/126417/NA"	"2"	"5"	"NA/19/2020/9000/10-1-39001-sild'G03/161722.G03/126417/NA-2-5"	405	35	0.5	"IndividualWeight"	11	"F"	NA
"NA/19/2020/9000/10"	"1"	"39001"	"sild'G03/161722.G03/126417/NA"	"2"	"6"	"NA/19/2020/9000/10-1-39001-sild'G03/161722.G03/126417/NA-2-6"	410	36	0.5	"IndividualWeight"	NA	"F"	NA
"NA/19/2020/9000/10"	"1"	"39001"	"sild'G03/161722.G03/126417/NA"	"2"	"7"	"NA/19/2020/9000/10-1-39001-sild'G03/161722.G03/126417/NA-2-7"	354	34.5	0.5	"IndividualWeight"	9	"F"	NA
"NA/19/2020/9000/10"	"1"	"39001"	"sild'G03/161722.G03/126417/NA"	"2"	"8"	"NA/19/2020/9000/10-1-39001-sild'G03/161722.G03/126417/NA-2-8"	317	33.5	0.5	"IndividualWeight"	NA	"F"	NA
"NA/19/2020/9000/10"	"1"	"39001"	"sild'G03/161722.G03/126417/NA"	"2"	"9"	"NA/19/2020/9000/10-1-39001-sild'G03/161722.G03/126417/NA-2-9"	326	34	0.5	"IndividualWeight"	NA	"M"	NA
"NA/19/2020/9000/10"	"1"	"39001"	"sild'G03/161722.G03/126417/NA"	"2"	"10"	"NA/19/2020/9000/10-1-39001-sild'G03/161722.G03/126417/NA-2-10"	364	36	0.5	"IndividualWeight"	NA	"M"	NA
"NA/19/2020/9000/10"	"1"	"39001"	"sild'G03/161722.G03/126417/NA"	"2"	"11"	"NA/19/2020/9000/10-1-39001-sild'G03/161722.G03/126417/NA-2-11"	372	35	0.5	"IndividualWeight"	NA	"M"	NA
"NA/19/2020/9000/10"	"1"	"39001"	"sild'G03/161722.G03/126417/NA"	"2"	"12"	"NA/19/2020/9000/10-1-39001-sild'G03/161722.G03/126417/NA-2-12"	335	34	0.5	"IndividualWeight"	NA	"F"	NA
"NA/19/2020/9000/10"	"1"	"39001"	"sild'G03/161722.G03/126417/NA"	"2"	"13"	"NA/19/2020/9000/10-1-39001-sild'G03/161722.G03/126417/NA-2-13"	335	35	0.5	"IndividualWeight"	11	"M"	NA
"NA/19/2020/9000/10"	"1"	"39001"	"sild'G03/161722.G03/126417/NA"	"2"	"14"	"NA/19/2020/9000/10-1-39001-sild'G03/161722.G03/126417/NA-2-14"	349	34	0.5	"IndividualWeight"	11	"M"	NA
"NA/19/2020/9000/10"	"1"	"39001"	"sild'G03/161722.G03/126417/NA"	"2"	"15"	"NA/19/2020/9000/10-1-39001-sild'G03/161722.G03/126417/NA-2-15"	396	35.5	0.5	"IndividualWeight"	NA	"F"	NA
"NA/19/2020/9000/10"	"1"	"39001"	"sild'G03/161722.G03/126417/NA"	"2"	"16"	"NA/19/2020/9000/10-1-39001-sild'G03/161722.G03/126417/NA-2-16"	403	36.5	0.5	"IndividualWeight"	NA	"F"	NA
"NA/19/2020/9000/10"	"1"	"39001"	"sild'G03/161722.G03/126417/NA"	"2"	"17"	"NA/19/2020/9000/10-1-39001-sild'G03/161722.G03/126417/NA-2-17"	319	34	0.5	"IndividualWeight"	NA	"M"	NA
"NA/19/2020/9000/10"	"1"	"39001"	"sild'G03/161722.G03/126417/NA"	"2"	"18"	"NA/19/2020/9000/10-1-39001-sild'G03/161722.G03/126417/NA-2-18"	350	34.5	0.5	"IndividualWeight"	11	"M"	NA
"NA/19/2020/9000/10"	"1"	"39001"	"sild'G03/161722.G03/126417/NA"	"2"	"19"	"NA/19/2020/9000/10-1-39001-sild'G03/161722.G03/126417/NA-2-19"	394	36	0.5	"IndividualWeight"	15	"M"	NA
"NA/19/2020/9000/10"	"1"	"39001"	"sild'G03/161722.G03/126417/NA"	"2"	"20"	"NA/19/2020/9000/10-1-39001-sild'G03/161722.G03/126417/NA-2-20"	380	35	0.5	"IndividualWeight"	NA	"M"	NA
