"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SpeciesCategory"
"NA/19/2020/9000/10"	"1"	"39001"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"2"	"39002"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"3"	"39003"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"4"	"39004"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"5"	"39005"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"6"	"39006"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"7"	"39007"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"7"	"39007"	"kolmule/164774/126439/NA"	"kolmule/164774/126439/NA"
"NA/19/2020/9000/10"	"8"	"39008"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"9"	"39009"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"10"	"39010"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"11"	"39011"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"12"	"39012"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"13"	"39013"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"14"	"39014"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"15"	"39015"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"17"	"39017"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"18"	"39018"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"19"	"39019"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"20"	"39020"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"21"	"39021"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"22"	"39022"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"23"	"39023"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"24"	"39024"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"25"	"39025"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"26"	"39026"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"27"	"39027"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"28"	"39028"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"29"	"39029"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"30"	"39030"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"31"	"39031"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"32"	"39032"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"33"	"39033"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"34"	"39034"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"35"	"39035"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"36"	"39036"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"37"	"39037"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"38"	"39038"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"39"	"39039"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"40"	"39040"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"41"	"39041"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"42"	"39042"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"43"	"39043"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"44"	"39044"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"45"	"39045"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"46"	"39046"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"NA/19/2020/9000/10"	"47"	"39047"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
