"CruiseKey"	"StationKey"	"Station"	"CatchPlatform"	"DateTime"	"Latitude"	"Longitude"	"BottomDepth"	"Stratum"	"Period"	"Quarter"
"NA/19/2020/9000/10"	"1"	"NA/19/2020/9000/10-1"	"3674"	2020-01-13T08:28:00Z	68.1671	7.15001	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"2"	"NA/19/2020/9000/10-2"	"9712"	2020-01-11T12:48:00Z	70.1	21.4171	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"3"	"NA/19/2020/9000/10-3"	"9017"	2020-02-14T04:21:00Z	63.3171	7.13301	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"4"	"NA/19/2020/9000/10-4"	"2588"	2020-01-18T16:32:00Z	67.7001	8.08301	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"5"	"NA/19/2020/9000/10-5"	"9678"	2020-02-08T00:45:00Z	65.517	10.45	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"6"	"NA/19/2020/9000/10-6"	"2588"	2020-01-25T14:53:00Z	67.9501	10.183	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"7"	"NA/19/2020/9000/10-7"	"9522"	2020-01-28T15:44:00Z	67.517	9.433	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"8"	"NA/19/2020/9000/10-8"	"3050"	2020-01-27T09:18:00Z	67.583	9.517	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"9"	"NA/19/2020/9000/10-9"	"3050"	2020-01-27T16:56:00Z	67.6	9.55001	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"10"	"NA/19/2020/9000/10-10"	"9522"	2020-01-27T22:15:00Z	67.4171	9.21701	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"11"	"NA/19/2020/9000/10-11"	"2886"	2020-01-28T19:49:00Z	67.4831	9.33301	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"12"	"NA/19/2020/9000/10-12"	"2490"	2020-02-18T16:33:00Z	63.1671	6.58301	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"13"	"NA/19/2020/9000/10-13"	"4168"	2020-02-15T17:07:00Z	63.233	6.90001	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"14"	"NA/19/2020/9000/10-14"	"9017"	2020-02-13T22:43:00Z	63.3501	7.20001	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"15"	"NA/19/2020/9000/10-15"	"2588"	2020-01-25T01:15:00Z	67.6831	9.36701	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"17"	"NA/19/2020/9000/10-17"	"4602"	2020-02-02T23:26:00Z	67.1831	9.383	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"18"	"NA/19/2020/9000/10-18"	"9892"	2020-01-29T02:08:00Z	67.4001	9.11701	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"19"	"NA/19/2020/9000/10-19"	"3823"	2020-02-26T12:19:00Z	62.983	6.483	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"20"	"NA/19/2020/9000/10-20"	"4113"	2020-02-07T03:14:00Z	66	10.9831	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"21"	"NA/19/2020/9000/10-21"	"9846"	2020-02-18T13:51:00Z	63.15	6.617	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"22"	"NA/19/2020/9000/10-22"	"9846"	2020-02-20T10:59:00Z	63.0671	6.75	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"23"	"NA/19/2020/9000/10-23"	"2616"	2020-02-25T12:56:00Z	63.05	6.417	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"24"	"NA/19/2020/9000/10-24"	"4140"	2020-02-03T05:43:00Z	66.9831	9.58301	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"25"	"NA/19/2020/9000/10-25"	"2773"	2020-01-25T19:30:00Z	67.9001	10.2	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"26"	"NA/19/2020/9000/10-26"	"4211"	2020-01-30T12:00:00Z	67.566666666667	9.9	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"27"	"NA/19/2020/9000/10-27"	"3050"	2020-01-23T17:21:00Z	67.6	9.517	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"28"	"NA/19/2020/9000/10-28"	"3050"	2020-01-23T21:45:00Z	67.6	9.683	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"29"	"NA/19/2020/9000/10-29"	"9522"	2020-02-19T02:36:00Z	63.1671	6.58301	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"30"	"NA/19/2020/9000/10-30"	"3224"	2020-01-18T01:07:00Z	67.75	8	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"31"	"NA/19/2020/9000/10-31"	"4211"	2020-01-31T16:54:00Z	67.5	9.33	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"32"	"NA/19/2020/9000/10-32"	"4140"	2020-02-04T16:54:00Z	66.2831	11.0501	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"33"	"NA/19/2020/9000/10-33"	"9017"	2020-02-27T15:46:00Z	62.483	5.76701	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"34"	"NA/19/2020/9000/10-34"	"4435"	2020-02-03T23:50:00Z	67.4331	9.667	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"35"	"NA/19/2020/9000/10-35"	"3224"	2020-01-28T00:32:00Z	67.517	9.40001	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"36"	"NA/19/2020/9000/10-36"	"1322"	2020-02-25T10:38:00Z	64.717	8.71701	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"37"	"NA/19/2020/9000/10-37"	"4109"	2020-02-08T01:22:00Z	65.467	10.8171	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"38"	"NA/19/2020/9000/10-38"	"4109"	2020-02-08T05:45:00Z	65.567	10.7	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"39"	"NA/19/2020/9000/10-39"	"4602"	2020-02-12T03:21:00Z	67.6171	9.71701	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"40"	"NA/19/2020/9000/10-40"	"9017"	2020-01-29T20:31:00Z	67.6171	9.65001	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"41"	"NA/19/2020/9000/10-41"	"4602"	2020-02-08T07:50:00Z	65.4501	10.433	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"42"	"NA/19/2020/9000/10-42"	"4167"	2020-02-15T11:48:00Z	67.317	9.46701	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"43"	"NA/19/2020/9000/10-43"	"4167"	2020-02-19T10:12:00Z	67.2001	9.55001	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"44"	"NA/19/2020/9000/10-44"	"4167"	2020-02-19T06:11:00Z	67.217	9.45	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"45"	"NA/19/2020/9000/10-45"	"4167"	2020-02-10T06:59:00Z	67.9171	9.85	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"46"	"NA/19/2020/9000/10-46"	"3823"	2020-02-08T04:40:00Z	65.517	10.683	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"47"	"NA/19/2020/9000/10-47"	"3442"	2020-02-03T08:53:00Z	67.35	9.48301	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"48"	"NA/19/2020/9000/10-48"	"4106"	2020-01-11T07:05:00Z	70.1	21.4	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"49"	"NA/19/2020/9000/10-49"	"3674"	2020-01-19T09:09:00Z	67.55	8.167	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"50"	"NA/19/2020/9000/10-50"	"4106"	2020-01-11T18:06:00Z	70.05	21.4171	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"51"	"NA/19/2020/9000/10-51"	"3823"	2020-01-29T02:59:00Z	67.517	9.58301	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2020/9000/10"	"52"	"NA/19/2020/9000/10-52"	"4211"	2020-09-29T09:52:00Z	70.833	17.383	NA	"27.2.a"	"[01-04, 01-10>"	"Q3"
"NA/19/2020/9000/10"	"53"	"NA/19/2020/9000/10-53"	"4211"	2020-09-29T13:27:00Z	70.833	17.467	NA	"27.2.a"	"[01-04, 01-10>"	"Q3"
"NA/19/2020/9000/10"	"54"	"NA/19/2020/9000/10-54"	"4166"	2020-10-13T18:49:00Z	65.583	3.73301	NA	"27.2.a"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/10"	"67"	"NA/19/2020/9000/10-67"	"3206"	2020-10-09T20:05:00Z	65.817	2.767	NA	"27.2.a"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/10"	"68"	"NA/19/2020/9000/10-68"	"2872"	2020-10-29T16:27:00Z	67.5331	5.26701	NA	"27.2.a"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/10"	"69"	"NA/19/2020/9000/10-69"	"9125"	2020-10-19T03:38:00Z	66.9331	4.217	NA	"27.2.a"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/10"	"70"	"NA/19/2020/9000/10-70"	"9125"	2020-10-19T00:09:00Z	66.9171	3.933	NA	"27.2.a"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/10"	"71"	"NA/19/2020/9000/10-71"	"9125"	2020-10-21T22:47:00Z	67.6671	7.75	NA	"27.2.a"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/10"	"72"	"NA/19/2020/9000/10-72"	"3206"	2020-10-09T17:44:00Z	65.85	2.65	NA	"27.2.a"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/10"	"73"	"NA/19/2020/9000/10-73"	"2616"	2020-10-22T15:47:00Z	69.85	15.883	NA	"27.2.a"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/10"	"74"	"NA/19/2020/9000/10-74"	"4167"	2020-10-29T21:10:00Z	70.9171	16.5	NA	"27.2.a"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/10"	"75"	"NA/19/2020/9000/10-75"	"2884"	2020-10-27T15:55:00Z	70	15.9001	NA	"27.2.a"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/10"	"76"	"NA/19/2020/9000/10-76"	"4167"	2020-10-29T15:35:00Z	70.883	16.4	NA	"27.2.a"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/10"	"77"	"NA/19/2020/9000/10-77"	"2616"	2020-10-30T02:14:00Z	70.333	16.8671	NA	"27.2.a"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/10"	"78"	"NA/19/2020/9000/10-78"	"4106"	2020-10-28T15:27:00Z	69.767	16.133	NA	"27.2.a"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/10"	"80"	"NA/19/2020/9000/10-80"	"3322"	2020-11-23T07:24:00Z	71.817	15.183	NA	"27.2.a"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/10"	"81"	"NA/19/2020/9000/10-81"	"9115"	2020-10-09T17:05:00Z	65.3671	2.20001	NA	"27.2.a"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/10"	"82"	"NA/19/2020/9000/10-82"	"4568"	2020-10-31T16:35:00Z	70.083	15.683	NA	"27.2.a"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/10"	"83"	"NA/19/2020/9000/10-83"	"4580"	2020-10-11T17:45:00Z	65.75	2.783	NA	"27.2.a"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/10"	"84"	"NA/19/2020/9000/10-84"	"4580"	2020-10-12T01:57:00Z	65.9001	2.70001	NA	"27.2.a"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/10"	"85"	"NA/19/2020/9000/10-85"	"9103"	2020-11-02T02:34:00Z	70.1171	15.3671	NA	"27.2.a"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/10"	"86"	"NA/19/2020/9000/10-86"	"9103"	2020-11-11T16:26:00Z	67.1501	2.21701	NA	"27.2.a"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/10"	"87"	"NA/19/2020/9000/10-87"	"3322"	2020-11-22T07:06:00Z	71.6501	15.0671	NA	"27.2.a"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/10"	"88"	"NA/19/2020/9000/10-88"	"4166"	2020-10-29T17:07:00Z	70.333	16.4171	NA	"27.2.a"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/10"	"89"	"NA/19/2020/9000/10-89"	"4411"	2020-11-29T16:06:00Z	68.317	15.9001	NA	"27.2.a"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/10"	"90"	"NA/19/2020/9000/10-90"	"4425"	2020-11-11T14:31:00Z	70.067	21.433	NA	"27.2.a"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/10"	"91"	"NA/19/2020/9000/10-91"	"2889"	2020-10-22T19:51:00Z	69.817	15.417	NA	"27.2.a"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/10"	"92"	"NA/19/2020/9000/10-92"	"2073"	2020-11-13T14:58:00Z	70.767	16.333	NA	"27.2.a"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/10"	"93"	"NA/19/2020/9000/10-93"	"9846"	2020-10-19T19:11:00Z	70.4001	16.15	NA	"27.2.a"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/10"	"94"	"NA/19/2020/9000/10-94"	"9117"	2020-10-20T20:45:00Z	70.1171	15.4671	NA	"27.2.a"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/10"	"95"	"NA/19/2020/9000/10-95"	"9117"	2020-10-27T17:59:00Z	70.4171	16.5671	NA	"27.2.a"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/10"	"96"	"NA/19/2020/9000/10-96"	"1471"	2020-10-20T02:18:00Z	70.317	15.5	NA	"27.2.a"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/10"	"97"	"NA/19/2020/9000/10-97"	"2889"	2020-10-22T16:35:00Z	69.833	15.4001	NA	"27.2.a"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/10"	"98"	"NA/19/2020/9000/10-98"	"4568"	2020-10-31T07:35:00Z	70.083	15.5671	NA	"27.2.a"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/10"	"99"	"NA/19/2020/9000/10-99"	"4158"	2020-11-02T01:30:00Z	70.1171	15.6	NA	"27.2.a"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/10"	"100"	"NA/19/2020/9000/10-100"	"4002"	2020-11-11T00:33:00Z	67.4001	1.43301	NA	"27.2.a"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/10"	"101"	"NA/19/2020/9000/10-101"	"4002"	2020-11-15T17:43:00Z	70.9501	16.383	NA	"27.2.a"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/10"	"102"	"NA/19/2020/9000/10-102"	"4002"	2020-11-22T19:05:00Z	70.1831	21	NA	"27.2.a"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/10"	"103"	"NA/19/2020/9000/10-103"	"4002"	2020-11-23T06:46:00Z	70.217	20.9	NA	"27.2.a"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/10"	"104"	"NA/19/2020/9000/10-104"	"4571"	2020-11-20T20:00:00Z	71.767	15.7	NA	"27.2.a"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/10"	"105"	"NA/19/2020/9000/10-105"	"3050"	2020-11-09T18:57:00Z	70.6	16.333	NA	"27.2.a"	"[01-10, 31-12>"	"Q4"
