"missiontype"	"startyear"	"platform"	"missionnumber"	"serialnumber"	"catchsampleid"	"specimenid"	"agedeterminationid"	"agingstructureread"	"agingstructureweight"	"agingstructurelength"	"nowearpoint"	"externalspinebase"	"countedannualage"	"age"	"spawningage"	"smoltage"	"marineage"	"spawningzones"	"readability"	"otolithtype"	"otolithedge"	"otolithcentre"	"calibration"	"growthzone1"	"growthzone2"	"growthzone3"	"growthzone4"	"growthzone5"	"growthzone6"	"growthzone7"	"growthzone8"	"growthzone9"	"growthzonestotal"	"coastalannuli"	"oceanicannuli"	"blindreading"	"readingdate"	"agereader"
"11"	2021	"9553"	2	99457	2	1	1	NA	NA	NA	NA	NA	NA	11	6	NA	NA	5	"1"	NA	"4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"JASL"
"11"	2021	"9553"	2	99457	2	2	1	NA	NA	NA	NA	NA	NA	12	NA	NA	NA	NA	"4"	NA	"4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"JASL"
"11"	2021	"9553"	2	99457	2	3	1	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	"1"	NA	"4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"JASL"
"11"	2021	"9553"	2	99457	2	4	1	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	"1"	NA	"4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"JASL"
"11"	2021	"9553"	2	99457	2	5	1	NA	NA	NA	NA	NA	NA	12	8	NA	NA	4	"1"	NA	"4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"JASL"
"11"	2021	"9553"	2	99457	2	6	1	NA	NA	NA	NA	NA	NA	8	5	NA	NA	3	"1"	NA	"4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"JASL"
"11"	2021	"9553"	2	99457	2	7	1	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	"4"	NA	"4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"JASL"
"11"	2021	"9553"	2	99457	2	8	1	NA	NA	NA	NA	NA	NA	11	7	NA	NA	4	"6"	NA	"4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"JASL"
"11"	2021	"9553"	2	99457	2	9	1	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	"1"	NA	"4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"JASL"
"11"	2021	"9553"	2	99457	2	10	1	NA	NA	NA	NA	NA	NA	8	6	NA	NA	2	"1"	NA	"4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"JASL"
