"missiontype"	"startyear"	"platform"	"missionnumber"	"serialnumber"	"nation"	"catchplatform"	"station"	"fixedstation"	"stationstartdate"	"stationstarttime"	"stationstopdate"	"stationstoptime"	"stationtype"	"latitudestart"	"longitudestart"	"latitudeend"	"longitudeend"	"system"	"area"	"location"	"bottomdepthstart"	"bottomdepthstop"	"bottomdepthmean"	"fishingdepthstart"	"fishingdepthstop"	"fishingdepthcount"	"fishingdepthmax"	"fishingdepthmin"	"fishingdepthmean"	"fishingdepthtemperature"	"gearno"	"sweeplength"	"gear"	"gearcount"	"direction"	"gearflow"	"vesselspeed"	"logstart"	"logstop"	"distance"	"gearcondition"	"samplequality"	"verticaltrawlopening"	"verticaltrawlopeningsd"	"trawldoortype"	"trawldoorarea"	"trawldoorweight"	"trawldoorspread"	"trawldoorspreadsd"	"wingspread"	"wingspreadsd"	"wirelength"	"wirediameter"	"wiredensity"	"soaktime"	"fishingbait"	"tripno"	"fishabundance"	"fishdistribution"	"landingsite"	"fishingground"	"vesselcount"	"dataquality"	"haulvalidity"	"flora"	"vegetationcover"	"visibility"	"waterlevel"	"winddirection"	"windspeed"	"clouds"	"sea"	"weather"	"stationcomment"
"11"	2021	"9553"	4	99585	"58"	"10169"	1	NA	NA	NA	"2021-09-07Z"	NA	"9"	70.45	19.6833333333333	NA	NA	NA	"4"	"02"	NA	NA	NA	NA	NA	NA	180	140	NA	NA	NA	NA	"52"	2	NA	NA	NA	NA	NA	NA	"1"	"8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	"22301"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"båt Kvalvåg"
"11"	2021	"9553"	4	99586	"58"	"9029"	2	NA	NA	NA	"2021-09-07Z"	NA	"9"	70.4166666666667	19.5333333333333	NA	NA	NA	"4"	"02"	NA	NA	NA	NA	NA	NA	240	220	NA	NA	NA	NA	"52"	3	NA	NA	NA	NA	NA	NA	"1"	"8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	"22301"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	2021	"9553"	4	99587	"58"	"10176"	3	NA	NA	NA	"2021-09-07Z"	NA	"9"	70.4333333333333	19.4666666666667	NA	NA	NA	"4"	"02"	NA	NA	NA	NA	NA	NA	200	150	NA	NA	NA	NA	"52"	3	NA	NA	NA	NA	NA	NA	"1"	"8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	"22301"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Båt Chubba"
"11"	2021	"9553"	4	99588	"58"	"9501"	4	NA	NA	NA	"2021-09-07Z"	NA	"9"	70.4333333333333	19.1666666666667	NA	NA	NA	"4"	"02"	NA	NA	NA	NA	NA	NA	180	140	NA	NA	NA	NA	"52"	3	NA	NA	NA	NA	NA	NA	"1"	"8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	NA	NA	"22301"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	2021	"9553"	4	99589	"58"	"2530"	5	NA	NA	NA	"2021-09-07Z"	NA	"9"	70.3333333333333	19.1833333333333	NA	NA	NA	"4"	"02"	NA	NA	NA	NA	NA	NA	120	90	NA	NA	NA	NA	"52"	2	NA	NA	NA	NA	NA	NA	"1"	"8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	"22301"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	2021	"9553"	4	99590	"58"	"9882"	6	NA	NA	NA	"2021-09-07Z"	NA	"9"	70.3333333333333	19.1	NA	NA	NA	"4"	"02"	NA	NA	NA	NA	NA	NA	120	80	NA	NA	NA	NA	"52"	3	NA	NA	NA	NA	NA	NA	"1"	"8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	NA	NA	"22301"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"båt Noha"
"11"	2021	"9553"	4	99591	"58"	"9599"	7	NA	NA	NA	"2021-09-07Z"	NA	"9"	70.4333333333333	19.3833333333333	NA	NA	NA	"4"	"02"	NA	NA	NA	NA	NA	NA	200	150	NA	NA	NA	NA	"52"	3	NA	NA	NA	NA	NA	NA	"1"	"8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	NA	NA	"22301"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	2021	"9553"	4	99592	"58"	"4553"	8	NA	NA	NA	"2021-09-07Z"	NA	"9"	70.4166666666667	19.7	NA	NA	NA	"4"	"02"	NA	NA	NA	NA	NA	NA	220	190	NA	NA	NA	NA	"52"	2	NA	NA	NA	NA	NA	NA	"1"	"8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	NA	NA	"22301"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	2021	"9553"	4	99593	"58"	"4283"	9	NA	NA	NA	"2021-09-08Z"	NA	"9"	70.3333333333333	19.1333333333333	NA	NA	NA	"4"	"02"	NA	NA	NA	NA	NA	NA	120	80	NA	NA	NA	NA	"52"	3	NA	NA	NA	NA	NA	NA	"1"	"8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	NA	NA	NA	"22301"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	2021	"9553"	4	99594	"58"	"9865"	10	NA	NA	NA	"2021-09-08Z"	NA	"9"	70.3333333333333	19.3	NA	NA	NA	"4"	"02"	NA	NA	NA	NA	NA	NA	110	80	NA	NA	NA	NA	"52"	3	NA	NA	NA	NA	NA	NA	"1"	"8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	NA	NA	"22301"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
