"missiontype"	"startyear"	"platform"	"missionnumber"	"serialnumber"	"nation"	"catchplatform"	"station"	"fixedstation"	"stationstartdate"	"stationstarttime"	"stationstopdate"	"stationstoptime"	"stationtype"	"latitudestart"	"longitudestart"	"latitudeend"	"longitudeend"	"system"	"area"	"location"	"bottomdepthstart"	"bottomdepthstop"	"bottomdepthmean"	"fishingdepthstart"	"fishingdepthstop"	"fishingdepthcount"	"fishingdepthmax"	"fishingdepthmin"	"fishingdepthmean"	"fishingdepthtemperature"	"gearno"	"sweeplength"	"gear"	"gearcount"	"direction"	"gearflow"	"vesselspeed"	"logstart"	"logstop"	"distance"	"gearcondition"	"samplequality"	"verticaltrawlopening"	"verticaltrawlopeningsd"	"trawldoortype"	"trawldoorarea"	"trawldoorweight"	"trawldoorspread"	"trawldoorspreadsd"	"wingspread"	"wingspreadsd"	"wirelength"	"wirediameter"	"wiredensity"	"soaktime"	"fishingbait"	"tripno"	"fishabundance"	"fishdistribution"	"landingsite"	"fishingground"	"vesselcount"	"dataquality"	"haulvalidity"	"flora"	"vegetationcover"	"visibility"	"waterlevel"	"winddirection"	"windspeed"	"clouds"	"sea"	"weather"	"stationcomment"
"19"	2022	"10011"	30	38016	"58"	"1208"	16	NA	"2022-08-21Z"	"13:14:00.000Z"	"2022-08-21Z"	"17:47:00.000Z"	NA	64.2001	1.4	64.2331	1.43301	"2"	"30"	"14"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3700"	1	NA	NA	NA	NA	NA	NA	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2022	"10011"	30	38017	"58"	"9891"	17	NA	"2022-08-21Z"	"07:31:00.000Z"	"2022-08-21Z"	"10:49:00.000Z"	NA	64.317	0.633001	64.35	0.650001	"2"	"30"	"13"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3500"	1	NA	NA	NA	NA	NA	NA	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2022	"10011"	30	38018	"58"	"4405"	18	NA	"2022-08-28Z"	"20:19:00.000Z"	"2022-08-28Z"	"21:48:00.000Z"	NA	64.5331	0.650001	64.5331	0.683001	"2"	"30"	"13"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3500"	1	NA	NA	NA	NA	NA	NA	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2022	"10011"	30	38019	"58"	"4646"	19	NA	"2022-08-12Z"	"19:53:00.000Z"	"2022-08-12Z"	"21:06:00.000Z"	NA	65.4501	1.68301	65.4331	1.7	"2"	"34"	"5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3100"	1	NA	NA	NA	NA	NA	NA	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2022	"10011"	30	38020	"58"	"9890"	20	NA	"2022-08-16Z"	"06:33:00.000Z"	"2022-08-16Z"	"10:23:00.000Z"	NA	65.8	2.033	65.8671	2.3	"2"	"34"	"5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3500"	1	NA	NA	NA	NA	NA	NA	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2022	"10011"	30	38021	"58"	"9843"	21	NA	"2022-08-25Z"	"02:48:00.000Z"	"2022-08-25Z"	"04:12:00.000Z"	NA	64.633	2.667	64.633	2.667	"2"	"30"	"14"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3700"	1	NA	NA	NA	NA	NA	NA	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2022	"10011"	30	38022	"58"	"2704"	22	NA	"2022-08-20Z"	"20:13:00.000Z"	"2022-08-20Z"	"21:35:00.000Z"	NA	64.6291	0.908001	64.642	0.905001	"2"	"30"	"13"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3700"	1	NA	NA	NA	NA	NA	NA	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2022	"10011"	30	38025	"58"	"9890"	25	NA	"2022-08-24Z"	"18:21:00.000Z"	"2022-08-24Z"	"21:48:00.000Z"	NA	64.6	2.55	64.6831	2.767	"2"	"30"	"14"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3500"	1	NA	NA	NA	NA	NA	NA	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2022	"10011"	30	38026	"58"	"9103"	26	NA	"2022-08-20Z"	"20:40:00.000Z"	"2022-08-20Z"	"21:48:00.000Z"	NA	64.5	0.85	64.5	0.833	"2"	"30"	"13"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3500"	1	NA	NA	NA	NA	NA	NA	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2022	"10011"	30	38029	"58"	"10158"	29	NA	"2022-08-28Z"	"16:36:00.000Z"	"2022-08-28Z"	"17:06:00.000Z"	NA	64.467	0.583	64.4331	0.633001	"2"	"30"	"13"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3500"	1	NA	NA	NA	NA	NA	NA	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
