"missiontype"	"startyear"	"platform"	"missionnumber"	"serialnumber"	"nation"	"catchplatform"	"station"	"fixedstation"	"stationstartdate"	"stationstarttime"	"stationstopdate"	"stationstoptime"	"stationtype"	"latitudestart"	"longitudestart"	"latitudeend"	"longitudeend"	"system"	"area"	"location"	"bottomdepthstart"	"bottomdepthstop"	"bottomdepthmean"	"fishingdepthstart"	"fishingdepthstop"	"fishingdepthcount"	"fishingdepthmax"	"fishingdepthmin"	"fishingdepthmean"	"fishingdepthtemperature"	"gearno"	"sweeplength"	"gear"	"gearcount"	"direction"	"gearflow"	"vesselspeed"	"logstart"	"logstop"	"distance"	"gearcondition"	"samplequality"	"verticaltrawlopening"	"verticaltrawlopeningsd"	"trawldoortype"	"trawldoorarea"	"trawldoorweight"	"trawldoorspread"	"trawldoorspreadsd"	"wingspread"	"wingspreadsd"	"wirelength"	"wirediameter"	"wiredensity"	"soaktime"	"fishingbait"	"tripno"	"fishabundance"	"fishdistribution"	"landingsite"	"fishingground"	"vesselcount"	"dataquality"	"haulvalidity"	"flora"	"vegetationcover"	"visibility"	"waterlevel"	"winddirection"	"windspeed"	"clouds"	"sea"	"weather"	"stationcomment"
"19"	2021	"10011"	30	38021	"58"	"9819"	21	NA	"2021-09-01Z"	"09:12:00.000Z"	"2021-09-01Z"	"11:24:00.000Z"	NA	63.967	1.68301	63.967	1.73301	"2"	"30"	"09"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3700"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2021	"10011"	30	38022	"58"	"3979"	22	NA	"2021-08-27Z"	"09:27:00.000Z"	"2021-08-27Z"	"11:43:00.000Z"	NA	63.967	2.517	63.983	2.533	"2"	"30"	"09"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3600"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2021	"10011"	30	38023	"58"	"3206"	23	NA	"2021-08-13Z"	"17:03:00.000Z"	"2021-08-13Z"	"18:39:00.000Z"	NA	64.883	3.533	64.8671	3.517	"2"	"37"	"01"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3710"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2021	"10011"	30	38024	"58"	"3675"	24	NA	"2021-09-02Z"	"18:47:00.000Z"	"2021-09-02Z"	"20:54:00.000Z"	NA	62.8831	1.583	62.8831	1.55001	"2"	"30"	"4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3700"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2021	"10011"	30	38025	"58"	"3674"	25	NA	"2021-08-26Z"	"12:29:00.000Z"	"2021-08-26Z"	"19:02:00.000Z"	NA	64.1831	2.81701	63.9171	3.667	"2"	"30"	"14"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3700"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2021	"10011"	30	38026	"58"	"9844"	26	NA	"2021-08-22Z"	"20:08:00.000Z"	"2021-08-22Z"	"21:56:00.000Z"	NA	64.7831	3.31701	64.767	3.31701	"2"	"37"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3700"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2021	"10011"	30	38027	"58"	"10158"	27	NA	"2021-08-27Z"	"12:35:00.000Z"	"2021-08-27Z"	"15:11:00.000Z"	NA	63.833	2.56701	63.7831	2.60001	"2"	"30"	"9"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3500"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2021	"10011"	30	38028	"58"	"4415"	28	NA	"2021-08-30Z"	"09:21:00.000Z"	"2021-08-30Z"	"10:32:00.000Z"	NA	64.133	1.533	64.133	1.533	"2"	"30"	"14"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3700"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2021	"10011"	30	38029	"58"	"4606"	29	NA	"2021-08-14Z"	"13:14:00.000Z"	"2021-08-14Z"	"15:57:00.000Z"	NA	63.8831	2.9	63.8831	2.917	"2"	"30"	"9"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3700"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2021	"10011"	30	38030	"58"	"9844"	30	NA	"2021-08-15Z"	"06:54:00.000Z"	"2021-08-15Z"	"08:38:00.000Z"	NA	63.367	3	63.367	3	"2"	"30"	"9"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3500"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
