"Parameter"	"Mean"	"Variance"	"chainId"
"ProportionAtAgeModel-constant-Age:1 Intercept"	-3.685762018481	0.502488113867	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-constant-Age:2 Intercept"	0.716146751243	0.181924094281	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-constant-Age:3 Intercept"	0.973238248912	0.189542162881	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-constant-Age:4 Intercept"	0.110469795284	0.182047448164	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-constant-Age:5 Intercept"	1.167120401745	0.180902962044	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-constant-Age:6 Intercept"	-0.253535404314	0.202206970871	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-constant-Age:7 Intercept"	0.869552581544	0.182593975626	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-constant-Age:8 Intercept"	0.516926481523	0.194678296845	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-constant-Age:9 Intercept"	-0.414156837456	0.224328680223	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-constant-Age:1 tau_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-constant-Age:2 tau_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-constant-Age:3 tau_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-constant-Age:4 tau_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-constant-Age:5 tau_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-constant-Age:6 tau_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-constant-Age:7 tau_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-constant-Age:8 tau_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-constant-Age:9 tau_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-constant-Age:1 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-constant-Age:2 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-constant-Age:3 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-constant-Age:4 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-constant-Age:5 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-constant-Age:6 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-constant-Age:7 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-constant-Age:8 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-constant-Age:9 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q2:Age:1 Intercept"	0.378110642882	0.279749843162	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q3:Age:1 Intercept"	-0.258586857123	0.277886702076	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q4:Age:1 Intercept"	-0.175705544766	0.351485005673	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q1:Age:1 Intercept"	0.0561817590072	0.439532307523	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q2:Age:2 Intercept"	1.269016171978	0.0985571181621	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q3:Age:2 Intercept"	-0.794113908484	0.111442559517	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q4:Age:2 Intercept"	-0.464321855321	0.155591224769	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q1:Age:2 Intercept"	-0.0105804081726	0.467944360547	"C:\Users\Administrator\Documents\temp\ecatest"
