"AgeGroup"	"Age"	"CatchAtAge"	"SD"	"Low"	"High"
"Age 1"	1	261.093	360.697	0.05	1002.678
"Age 2"	2	19787.143	6934.874	14492.309	23948.577
"Age 3"	3	99170.514	32238.919	84931.48	109636.383
"Age 4"	4	73520.864	23654.844	61190.472	83716.528
"Age 5"	5	41010.72	18853.325	32262.408	49098.105
"Age 6"	6	32167.384	8370.23	26236.37	36769.518
"Age 7"	7	41041.807	10098.689	32613.65	48547.122
"Age 8"	8	22350.475	6574.559	17939.903	27155.499
"Age 9"	9	29944.924	10449.814	24181.919	35474.553
"Age 10"	10	24034.065	6557.401	18784.565	28292.756
"Age 11"	11	23184.475	6721.76	17909.386	28100.646
"Age 12+"	12	90149.285	16877.226	77424.039	103708.335
