"AgeGroup"	"Age"	"CatchAtAge"	"SD"	"Low"	"High"
"Age 1"	1	0	0	0	0
"Age 2"	2	57086833.609	570675229.522	12826.025	24852.303
"Age 3"	3	339732662.596	3396228199.971	84009.669	126197.911
"Age 4"	4	316070881.905	3159958034.233	59476.376	86092.086
"Age 5"	5	81903034.658	818627608.146	28838.402	47021.953
"Age 6"	6	165447282.688	1654124388.446	25111.839	41583.635
"Age 7"	7	113228881.847	1131795289.558	35587.741	60206.548
"Age 8"	8	41457083.585	414402510.655	9428.993	25443.709
"Age 9"	9	112072579.956	1120367866.526	22755.234	47287.07
"Age 10"	10	55490411.054	554647989.78	14144.608	36579.886
"Age 11"	11	0	0	0	0
"Age 12+"	12	453293459.508	4531771929.447	95982.153	129110.285
