"CatchDate"	"Stratum"	"LandedRoundWeight"
2023-01-01T23:00:00Z	"27.3.a"	9550
2023-01-02T23:00:00Z	"27.3.a"	8338
2023-01-03T23:00:00Z	"27.3.a"	102622
2023-01-07T23:00:00Z	"27.3.a"	8586
2023-01-09T23:00:00Z	"27.3.a"	54350
2023-01-12T23:00:00Z	"27.3.a"	2096
2023-01-16T23:00:00Z	"27.3.a"	52
2023-01-17T23:00:00Z	"27.3.a"	0
2023-01-18T23:00:00Z	"27.3.a"	33
2023-01-19T23:00:00Z	"27.3.a"	159
2023-01-22T23:00:00Z	"27.3.a"	1
2023-01-24T23:00:00Z	"27.3.a"	7164
2023-01-25T23:00:00Z	"27.3.a"	3037
2023-01-26T23:00:00Z	"27.3.a"	154
2023-01-31T23:00:00Z	"27.3.a"	15419
2023-02-01T23:00:00Z	"27.3.a"	0
2023-02-02T23:00:00Z	"27.3.a"	119
2023-02-06T23:00:00Z	"27.3.a"	280
2023-02-07T23:00:00Z	"27.3.a"	121
2023-02-08T23:00:00Z	"27.3.a"	162
2023-02-09T23:00:00Z	"27.3.a"	410
2023-02-12T23:00:00Z	"27.3.a"	0
2023-02-13T23:00:00Z	"27.3.a"	863
2023-02-15T23:00:00Z	"27.3.a"	170
2023-02-20T23:00:00Z	"27.3.a"	619
2023-02-21T23:00:00Z	"27.3.a"	51
2023-02-22T23:00:00Z	"27.3.a"	0
2023-02-23T23:00:00Z	"27.3.a"	230
2023-02-26T23:00:00Z	"27.3.a"	0
2023-02-27T23:00:00Z	"27.3.a"	126
2023-02-28T23:00:00Z	"27.3.a"	2
2023-03-01T23:00:00Z	"27.3.a"	2
2023-03-02T23:00:00Z	"27.3.a"	30
2023-03-08T23:00:00Z	"27.3.a"	0
2023-03-12T23:00:00Z	"27.3.a"	37
2023-03-14T23:00:00Z	"27.3.a"	40
2023-03-15T23:00:00Z	"27.3.a"	362
2023-03-16T23:00:00Z	"27.3.a"	1
2023-03-20T23:00:00Z	"27.3.a"	0
2023-03-21T23:00:00Z	"27.3.a"	17
2023-03-22T23:00:00Z	"27.3.a"	22
2023-03-23T23:00:00Z	"27.3.a"	15
2023-03-26T22:00:00Z	"27.3.a"	75
2023-03-28T22:00:00Z	"27.3.a"	82
2023-04-02T22:00:00Z	"27.3.a"	0
2023-04-10T22:00:00Z	"27.3.a"	18
2023-04-11T22:00:00Z	"27.3.a"	0
2023-04-12T22:00:00Z	"27.3.a"	17
2023-04-17T22:00:00Z	"27.3.a"	9
2023-04-19T22:00:00Z	"27.3.a"	29
2023-04-20T22:00:00Z	"27.3.a"	6
2023-04-24T22:00:00Z	"27.3.a"	12
2023-04-26T22:00:00Z	"27.3.a"	0
2023-04-27T22:00:00Z	"27.3.a"	43
2023-05-04T22:00:00Z	"27.3.a"	1
2023-05-07T22:00:00Z	"27.3.a"	43
2023-05-08T22:00:00Z	"27.3.a"	31
2023-05-10T22:00:00Z	"27.3.a"	36
2023-05-11T22:00:00Z	"27.3.a"	1
2023-05-12T22:00:00Z	"27.3.a"	52
2023-05-14T22:00:00Z	"27.3.a"	17
2023-05-21T22:00:00Z	"27.3.a"	2
2023-05-22T22:00:00Z	"27.3.a"	30
2023-05-24T22:00:00Z	"27.3.a"	0
2023-05-28T22:00:00Z	"27.3.a"	19
2023-05-30T22:00:00Z	"27.3.a"	13
2023-06-04T22:00:00Z	"27.3.a"	11
2023-06-11T22:00:00Z	"27.3.a"	20
2023-06-19T22:00:00Z	"27.3.a"	0
2023-06-20T22:00:00Z	"27.3.a"	0
2023-06-21T22:00:00Z	"27.3.a"	0
2023-06-25T22:00:00Z	"27.3.a"	0
2023-06-26T22:00:00Z	"27.3.a"	0
2023-06-27T22:00:00Z	"27.3.a"	1
2023-07-04T22:00:00Z	"27.3.a"	2
2023-07-05T22:00:00Z	"27.3.a"	4
2023-07-13T22:00:00Z	"27.3.a"	0
2023-07-31T22:00:00Z	"27.3.a"	1
2023-08-06T22:00:00Z	"27.3.a"	8
2023-08-07T22:00:00Z	"27.3.a"	2
2023-08-20T22:00:00Z	"27.3.a"	1
2023-09-19T22:00:00Z	"27.3.a"	300823
2023-10-23T22:00:00Z	"27.3.a"	0
2023-11-08T23:00:00Z	"27.3.a"	126
2023-11-15T23:00:00Z	"27.3.a"	14001
2023-11-17T23:00:00Z	"27.3.a"	3294
2023-11-20T23:00:00Z	"27.3.a"	30952
2023-11-27T23:00:00Z	"27.3.a"	2333
2023-12-02T23:00:00Z	"27.3.a"	18532
2023-12-05T23:00:00Z	"27.3.a"	1945
2023-12-11T23:00:00Z	"27.3.a"	4
2023-12-12T23:00:00Z	"27.3.a"	1
2023-01-04T23:00:00Z	"27.4.aE"	500
2023-01-08T23:00:00Z	"27.4.aE"	110
2023-01-10T23:00:00Z	"27.4.aE"	47
2023-01-12T23:00:00Z	"27.4.aE"	72795
2023-01-16T23:00:00Z	"27.4.aE"	16644
2023-01-17T23:00:00Z	"27.4.aE"	21
2023-01-18T23:00:00Z	"27.4.aE"	6431
2023-01-22T23:00:00Z	"27.4.aE"	8219
2023-01-26T23:00:00Z	"27.4.aE"	41407
2023-02-12T23:00:00Z	"27.4.aE"	157
2023-02-19T23:00:00Z	"27.4.aE"	36
2023-02-21T23:00:00Z	"27.4.aE"	196
