"StratumTransfer"	"Quarter"	"LandedRoundWeight"	"Catches"	"Vessels"	"WeightMeasurements"	"LengthMeasurements"	"AgeReadings"	"WeightOfSampledCatches"
"27.4.aE"	"Q2"	53914220	45	28	3046	3046	2205	6539040
"27.4.aE"	"Q3"	27546109	20	11	1092	1092	878	6537050
"27.4.aW"	"Q3"	12765344	6	6	324	324	280	1135000
"27.4.aW"	"Q4"	6316087	4	3	206	206	196	425000
"Transfer.area"	"Q4"	5873362	3	2	122	122	117	127800
"27.4.aE"	"Q4"	2985618	2	2	179	179	100	1e+05
"Transfer.area"	"Q3"	2771298	2	2	98	98	96	220000
"Transfer.area"	"Q2"	873629	NA	NA	NA	NA	NA	NA
"27.4.b"	"Q3"	311037	NA	NA	NA	NA	NA	NA
"27.3.a"	"Q3"	300842	NA	NA	NA	NA	NA	NA
"27.3.a"	"Q1"	215400	NA	NA	NA	NA	NA	NA
"27.4.aE"	"Q1"	178401	NA	NA	NA	NA	NA	NA
"27.4.aW"	"Q1"	120094	NA	NA	NA	NA	NA	NA
"27.3.a"	"Q4"	71189	NA	NA	NA	NA	NA	NA
"27.4.aW"	"Q2"	57177	1	1	37	37	37	10000
"Transfer.area"	"Q1"	1567	NA	NA	NA	NA	NA	NA
"27.3.a"	"Q2"	411	NA	NA	NA	NA	NA	NA
