"AgeGroup"	"Age"	"CatchAtAge"	"SD"	"Low"	"High"	"StratumTransfer"	"Quarter"
"Age 1"	1	2722.539	1027.559	1291.804	4665.801	"27.4.aE"	"Q3"
"Age 2"	2	2662.088	936.882	1391.519	4334.672	"27.4.aE"	"Q3"
"Age 3"	3	16282.72	3295.934	11349.358	21637.654	"27.4.aE"	"Q3"
"Age 4"	4	30937.419	5152.945	22938.334	39733.252	"27.4.aE"	"Q3"
"Age 5"	5	19946.504	3473.317	14492.209	26163.794	"27.4.aE"	"Q3"
"Age 6"	6	6204.834	1837.825	3614.092	9720.495	"27.4.aE"	"Q3"
"Age 7"	7	12931.593	2859.738	8583.15	18231.394	"27.4.aE"	"Q3"
"Age 8"	8	4599.065	1295.08	2619.794	6959.069	"27.4.aE"	"Q3"
"Age 9+"	9	34476.167	4402.566	27029.482	42267.916	"27.4.aE"	"Q3"
"Age 1"	1	452.334	284.209	188.763	840.529	"27.4.aE"	"Q4"
"Age 2"	2	447.499	237.876	205.204	884.741	"27.4.aE"	"Q4"
"Age 3"	3	2462.296	844.167	1459.471	4053.438	"27.4.aE"	"Q4"
"Age 4"	4	3555.678	1046.492	1642.62	5190.267	"27.4.aE"	"Q4"
"Age 5"	5	2506.336	699.421	1469.152	3586.13	"27.4.aE"	"Q4"
"Age 6"	6	875.325	353.351	436.983	1540.225	"27.4.aE"	"Q4"
"Age 7"	7	1692.636	603.301	803.875	2708.685	"27.4.aE"	"Q4"
"Age 8"	8	542.537	242.85	200.357	963.262	"27.4.aE"	"Q4"
"Age 9+"	9	4563.726	970.445	3294.311	5870.041	"27.4.aE"	"Q4"
"Age 1"	1	205.043	198.669	17.46	547.442	"Transfer.area"	"Q3"
"Age 2"	2	1339.405	629.043	526.35	2542.471	"Transfer.area"	"Q3"
"Age 3"	3	6087.177	1546.168	3813.67	8796.42	"Transfer.area"	"Q3"
"Age 4"	4	2766.151	1034.616	1375.21	4580.8	"Transfer.area"	"Q3"
"Age 5"	5	1361.498	672.81	510.837	2620.336	"Transfer.area"	"Q3"
"Age 6"	6	881.492	521.239	266.422	1919.104	"Transfer.area"	"Q3"
"Age 7"	7	572.888	364.52	162.581	1292.057	"Transfer.area"	"Q3"
"Age 8"	8	79.935	107.123	0.25	260.289	"Transfer.area"	"Q3"
"Age 9+"	9	1049.267	518.976	411.875	2024.117	"Transfer.area"	"Q3"
"Age 1"	1	574.753	512.679	75.292	1548.295	"Transfer.area"	"Q4"
"Age 2"	2	3920.445	1775.138	1580.817	7365.459	"Transfer.area"	"Q4"
"Age 3"	3	16539.506	3961.438	10542.847	23918.454	"Transfer.area"	"Q4"
"Age 4"	4	5773.278	2193.89	2492.791	9689.014	"Transfer.area"	"Q4"
"Age 5"	5	3150.708	1613.698	1121.17	6318.925	"Transfer.area"	"Q4"
"Age 6"	6	2215.307	1218.676	697.63	4460.403	"Transfer.area"	"Q4"
"Age 7"	7	1359.35	892.467	380.924	2980.33	"Transfer.area"	"Q4"
"Age 8"	8	164.868	235.151	0.3	557.904	"Transfer.area"	"Q4"
"Age 9+"	9	2564.366	1270.24	981.504	5104.304	"Transfer.area"	"Q4"
