"AgeGroup"	"Age"	"CatchAtAge"	"SD"	"Low"	"High"	"Stratum"	"Quarter"
"Age 1"	1	20271.47	3832.496	14524.554	26561.123	"27.4.aE"	"Q2"
"Age 2"	2	73930.44	9060.545	58662.733	89420.235	"27.4.aE"	"Q2"
"Age 3"	3	106732.768	10947.699	89155.33	125559.893	"27.4.aE"	"Q2"
"Age 4"	4	49848.278	7183.768	39545.555	62391.251	"27.4.aE"	"Q2"
"Age 5"	5	47100.271	6831.703	36677.284	58861.012	"27.4.aE"	"Q2"
"Age 6"	6	20583.245	3752.26	15044.63	27242.179	"27.4.aE"	"Q2"
"Age 7"	7	23103.819	3879.754	17215.966	29955.011	"27.4.aE"	"Q2"
"Age 8"	8	7612.917	1729.09	5113.75	10846.011	"27.4.aE"	"Q2"
"Age 9+"	9	27855.294	3858.581	21837.513	34731.125	"27.4.aE"	"Q2"
"Age 1"	1	1736.417	657.713	805.847	2953.802	"27.4.aE"	"Q3"
"Age 2"	2	3198.324	1010.009	1737.415	4990.099	"27.4.aE"	"Q3"
"Age 3"	3	18942.883	3823.762	12966.446	25924.663	"27.4.aE"	"Q3"
"Age 4"	4	32322.175	5009.973	24516.977	40823.565	"27.4.aE"	"Q3"
"Age 5"	5	19185.953	3506.624	14068.378	25079.393	"27.4.aE"	"Q3"
"Age 6"	6	6693.893	1622.605	4350.25	9375.63	"27.4.aE"	"Q3"
"Age 7"	7	12766.706	2857.163	8811.714	17610.138	"27.4.aE"	"Q3"
"Age 8"	8	4663.426	1309.668	2808.181	6923.917	"27.4.aE"	"Q3"
"Age 9+"	9	35727.888	4409.637	29106.767	43674.349	"27.4.aE"	"Q3"
"Age 1"	1	3775.6	1891.699	1455.164	7503.757	"27.4.aE"	"Q4"
"Age 2"	2	5091.567	2229.931	2354.001	9460.529	"27.4.aE"	"Q4"
"Age 3"	3	17832.238	4547.641	11166.975	25296.301	"27.4.aE"	"Q4"
"Age 4"	4	9492.514	2977.899	5221.28	14729.677	"27.4.aE"	"Q4"
"Age 5"	5	7113.236	2510.336	3764.534	11907.194	"27.4.aE"	"Q4"
"Age 6"	6	2599.899	1186.047	1153.418	4697.634	"27.4.aE"	"Q4"
"Age 7"	7	2573.333	1127.46	1093.328	4647.39	"27.4.aE"	"Q4"
"Age 8"	8	601.432	496.681	108.901	1587.626	"27.4.aE"	"Q4"
"Age 9+"	9	4724.517	1580.591	2550.817	7678.208	"27.4.aE"	"Q4"
"Age 1"	1	9.773	6.655	2.609	22.36	"27.4.aW"	"Q2"
"Age 2"	2	94.747	32.769	46.904	155.64	"27.4.aW"	"Q2"
"Age 3"	3	94.166	28.209	54.4	141.928	"27.4.aW"	"Q2"
"Age 4"	4	73.786	22.943	42.919	116.866	"27.4.aW"	"Q2"
"Age 5"	5	57.286	19.919	29.332	96.099	"27.4.aW"	"Q2"
"Age 6"	6	12.536	6.172	5.052	24.562	"27.4.aW"	"Q2"
"Age 7"	7	11.976	6.306	4.553	22.468	"27.4.aW"	"Q2"
"Age 8"	8	7.603	4.823	2.031	17.777	"27.4.aW"	"Q2"
"Age 9+"	9	24.083	8.528	11.722	39.8	"27.4.aW"	"Q2"
"Age 1"	1	343.501	274.296	68.799	908.674	"27.4.aW"	"Q3"
"Age 2"	2	1947.872	894.482	811.967	3492.467	"27.4.aW"	"Q3"
"Age 3"	3	7453.709	2533.256	4075.52	12465.779	"27.4.aW"	"Q3"
"Age 4"	4	20649.323	4786.017	13277.449	29198.691	"27.4.aW"	"Q3"
"Age 5"	5	10302.07	2970.976	5902.543	15399.952	"27.4.aW"	"Q3"
"Age 6"	6	1803.355	825.442	748.025	3355.343	"27.4.aW"	"Q3"
"Age 7"	7	2959.172	1328.149	1332.34	5581.464	"27.4.aW"	"Q3"
"Age 8"	8	1990.254	1001.153	634.392	3981.105	"27.4.aW"	"Q3"
"Age 9+"	9	12786.355	2805.546	8637.585	17950.476	"27.4.aW"	"Q3"
"Age 1"	1	1225.179	823.848	331.751	2748.87	"27.4.aW"	"Q4"
"Age 2"	2	4598.411	1910.66	2064.466	8163.211	"27.4.aW"	"Q4"
"Age 3"	3	11126.315	2951.25	6533.165	16707.538	"27.4.aW"	"Q4"
"Age 4"	4	9694.178	2688.182	5547.31	14536.413	"27.4.aW"	"Q4"
"Age 5"	5	6045.27	2196.576	3297.678	10289.328	"27.4.aW"	"Q4"
"Age 6"	6	1102.524	588.671	388.208	2206.21	"27.4.aW"	"Q4"
"Age 7"	7	939.533	593.728	267.873	2037.69	"27.4.aW"	"Q4"
"Age 8"	8	377.191	310.899	64.484	946.301	"27.4.aW"	"Q4"
"Age 9+"	9	2198.588	869.185	1079.594	3702.023	"27.4.aW"	"Q4"
