"AgeGroup"	"Age"	"CatchAtAge"	"SD"	"Low"	"High"	"Stratum"	"Quarter"
"Age 1"	1	20.085	56.23	0	120.107	"27.4.aE"	"Q1"
"Age 2"	2	21.484	59.735	0	132.699	"27.4.aE"	"Q1"
"Age 3"	3	1736.822	1088.982	437.249	3907.582	"27.4.aE"	"Q1"
"Age 4"	4	835.749	640.958	181.38	1926.554	"27.4.aE"	"Q1"
"Age 5"	5	1443.107	881.085	427.876	3028.965	"27.4.aE"	"Q1"
"Age 6"	6	12814.506	2925.966	8023.094	17540.751	"27.4.aE"	"Q1"
"Age 7"	7	2028.257	1096.332	622.523	4187.966	"27.4.aE"	"Q1"
"Age 8"	8	2940.789	1377.845	1147.8	5645.078	"27.4.aE"	"Q1"
"Age 9+"	9	1872.093	924.087	659.998	3647.176	"27.4.aE"	"Q1"
"Age 1"	1	20.879	109.586	0	62.433	"27.4.aW"	"Q1"
"Age 2"	2	18.787	97.548	0	70.605	"27.4.aW"	"Q1"
"Age 3"	3	31.107	127.8	0	149.801	"27.4.aW"	"Q1"
"Age 4"	4	383.815	640.246	3.546	1498.358	"27.4.aW"	"Q1"
"Age 5"	5	39.285	229.445	0	158.75	"27.4.aW"	"Q1"
"Age 6"	6	3778.696	2262.371	637.489	7484.061	"27.4.aW"	"Q1"
"Age 7"	7	437.521	730.553	3.126	1859.889	"27.4.aW"	"Q1"
"Age 8"	8	598.365	759.244	23.738	2192.767	"27.4.aW"	"Q1"
"Age 9+"	9	2255.687	1711.558	342.624	5168.003	"27.4.aW"	"Q1"
