"AgeGroup"	"Age"	"Stratum"	"Quarter"	"MeanIndividualWeight"	"SD"	"Low"	"High"
"Age 1"	1	"27.4.aE"	"Q2"	0.075	0.002	0.072	0.078
"Age 2"	2	"27.4.aE"	"Q2"	0.115	0.002	0.112	0.119
"Age 3"	3	"27.4.aE"	"Q2"	0.142	0.002	0.138	0.145
"Age 4"	4	"27.4.aE"	"Q2"	0.158	0.003	0.154	0.162
"Age 5"	5	"27.4.aE"	"Q2"	0.168	0.003	0.163	0.172
"Age 6"	6	"27.4.aE"	"Q2"	0.174	0.003	0.169	0.178
"Age 7"	7	"27.4.aE"	"Q2"	0.178	0.003	0.173	0.182
"Age 8"	8	"27.4.aE"	"Q2"	0.18	0.003	0.175	0.185
"Age 9+"	9	"27.4.aE"	"Q2"	0.181	0.003	0.176	0.186
"Age 1"	1	"27.4.aE"	"Q3"	0.108	0.003	0.104	0.114
"Age 2"	2	"27.4.aE"	"Q3"	0.154	0.004	0.148	0.16
"Age 3"	3	"27.4.aE"	"Q3"	0.183	0.004	0.176	0.191
"Age 4"	4	"27.4.aE"	"Q3"	0.202	0.005	0.194	0.209
"Age 5"	5	"27.4.aE"	"Q3"	0.213	0.005	0.204	0.221
"Age 6"	6	"27.4.aE"	"Q3"	0.219	0.005	0.211	0.228
"Age 7"	7	"27.4.aE"	"Q3"	0.223	0.005	0.214	0.232
"Age 8"	8	"27.4.aE"	"Q3"	0.226	0.005	0.217	0.234
"Age 9+"	9	"27.4.aE"	"Q3"	0.227	0.005	0.218	0.236
"Age 1"	1	"27.4.aE"	"Q4"	0.103	0.005	0.096	0.11
"Age 2"	2	"27.4.aE"	"Q4"	0.138	0.006	0.128	0.148
"Age 3"	3	"27.4.aE"	"Q4"	0.16	0.007	0.149	0.171
"Age 4"	4	"27.4.aE"	"Q4"	0.173	0.008	0.161	0.186
"Age 5"	5	"27.4.aE"	"Q4"	0.182	0.008	0.169	0.194
"Age 6"	6	"27.4.aE"	"Q4"	0.187	0.008	0.174	0.2
"Age 7"	7	"27.4.aE"	"Q4"	0.19	0.008	0.177	0.203
"Age 8"	8	"27.4.aE"	"Q4"	0.083	0.095	0	0.201
"Age 9+"	9	"27.4.aE"	"Q4"	0.193	0.008	0.18	0.207
"Age 1"	1	"27.4.aW"	"Q2"	0.076	0.004	0.071	0.082
"Age 2"	2	"27.4.aW"	"Q2"	0.117	0.005	0.109	0.126
"Age 3"	3	"27.4.aW"	"Q2"	0.144	0.007	0.134	0.155
"Age 4"	4	"27.4.aW"	"Q2"	0.161	0.007	0.149	0.173
"Age 5"	5	"27.4.aW"	"Q2"	0.171	0.008	0.159	0.184
"Age 6"	6	"27.4.aW"	"Q2"	0.117	0.084	0	0.188
"Age 7"	7	"27.4.aW"	"Q2"	0.181	0.008	0.168	0.194
"Age 8"	8	"27.4.aW"	"Q2"	0.091	0.091	0	0.193
"Age 9+"	9	"27.4.aW"	"Q2"	0.184	0.008	0.171	0.198
"Age 1"	1	"27.4.aW"	"Q3"	0.11	0.005	0.103	0.118
"Age 2"	2	"27.4.aW"	"Q3"	0.157	0.007	0.147	0.167
"Age 3"	3	"27.4.aW"	"Q3"	0.186	0.008	0.174	0.199
"Age 4"	4	"27.4.aW"	"Q3"	0.205	0.009	0.192	0.219
"Age 5"	5	"27.4.aW"	"Q3"	0.216	0.009	0.202	0.231
"Age 6"	6	"27.4.aW"	"Q3"	0.144	0.107	0	0.237
"Age 7"	7	"27.4.aW"	"Q3"	0.227	0.01	0.212	0.243
"Age 8"	8	"27.4.aW"	"Q3"	0.117	0.115	0	0.242
"Age 9+"	9	"27.4.aW"	"Q3"	0.231	0.01	0.216	0.247
"Age 1"	1	"27.4.aW"	"Q4"	0.105	0.005	0.096	0.113
"Age 2"	2	"27.4.aW"	"Q4"	0.14	0.007	0.129	0.151
"Age 3"	3	"27.4.aW"	"Q4"	0.162	0.008	0.15	0.175
"Age 4"	4	"27.4.aW"	"Q4"	0.176	0.008	0.163	0.189
"Age 5"	5	"27.4.aW"	"Q4"	0.184	0.009	0.17	0.198
"Age 6"	6	"27.4.aW"	"Q4"	0.129	0.089	0	0.202
"Age 7"	7	"27.4.aW"	"Q4"	0.193	0.009	0.178	0.207
"Age 8"	8	"27.4.aW"	"Q4"	0.024	0.064	0	0.197
"Age 9+"	9	"27.4.aW"	"Q4"	0.196	0.009	0.181	0.211
