"AgeGroup"	"Age"	"Stratum"	"Quarter"	"MeanIndividualWeight"	"SD"	"Low"	"High"
"Age 1"	1	"27.4.aE"	"Q2"	0.101	0.003	0.097	0.105
"Age 2"	2	"27.4.aE"	"Q2"	0.121	0.003	0.116	0.126
"Age 3"	3	"27.4.aE"	"Q2"	0.136	0.003	0.131	0.141
"Age 4"	4	"27.4.aE"	"Q2"	0.148	0.004	0.142	0.154
"Age 5"	5	"27.4.aE"	"Q2"	0.158	0.004	0.152	0.164
"Age 6"	6	"27.4.aE"	"Q2"	0.167	0.004	0.161	0.174
"Age 7"	7	"27.4.aE"	"Q2"	0.176	0.004	0.169	0.183
"Age 8"	8	"27.4.aE"	"Q2"	0.183	0.004	0.176	0.191
"Age 9+"	9	"27.4.aE"	"Q2"	0.193	0.005	0.185	0.201
"Age 1"	1	"27.4.aE"	"Q3"	0.135	0.005	0.127	0.143
"Age 2"	2	"27.4.aE"	"Q3"	0.158	0.005	0.149	0.167
"Age 3"	3	"27.4.aE"	"Q3"	0.176	0.006	0.166	0.186
"Age 4"	4	"27.4.aE"	"Q3"	0.191	0.006	0.18	0.201
"Age 5"	5	"27.4.aE"	"Q3"	0.203	0.007	0.192	0.215
"Age 6"	6	"27.4.aE"	"Q3"	0.215	0.007	0.202	0.227
"Age 7"	7	"27.4.aE"	"Q3"	0.225	0.008	0.212	0.237
"Age 8"	8	"27.4.aE"	"Q3"	0.234	0.008	0.221	0.247
"Age 9+"	9	"27.4.aE"	"Q3"	0.248	0.008	0.234	0.262
"Age 1"	1	"27.4.aE"	"Q4"	0.122	0.007	0.11	0.134
"Age 2"	2	"27.4.aE"	"Q4"	0.14	0.008	0.127	0.154
"Age 3"	3	"27.4.aE"	"Q4"	0.154	0.009	0.14	0.17
"Age 4"	4	"27.4.aE"	"Q4"	0.166	0.01	0.151	0.183
"Age 5"	5	"27.4.aE"	"Q4"	0.177	0.011	0.161	0.195
"Age 6"	6	"27.4.aE"	"Q4"	0.187	0.011	0.169	0.205
"Age 7"	7	"27.4.aE"	"Q4"	0.195	0.012	0.177	0.214
"Age 8"	8	"27.4.aE"	"Q4"	0.203	0.012	0.184	0.223
"Age 9+"	9	"27.4.aE"	"Q4"	0.216	0.013	0.195	0.236
"Age 1"	1	"27.4.aW"	"Q2"	0.105	0.007	0.094	0.116
"Age 2"	2	"27.4.aW"	"Q2"	0.125	0.008	0.112	0.138
"Age 3"	3	"27.4.aW"	"Q2"	0.141	0.009	0.126	0.155
"Age 4"	4	"27.4.aW"	"Q2"	0.153	0.01	0.138	0.169
"Age 5"	5	"27.4.aW"	"Q2"	0.164	0.011	0.147	0.181
"Age 6"	6	"27.4.aW"	"Q2"	0.173	0.011	0.156	0.192
"Age 7"	7	"27.4.aW"	"Q2"	0.182	0.012	0.164	0.202
"Age 8"	8	"27.4.aW"	"Q2"	0.19	0.012	0.171	0.211
"Age 9+"	9	"27.4.aW"	"Q2"	0.2	0.013	0.178	0.221
"Age 1"	1	"27.4.aW"	"Q3"	0.14	0.008	0.127	0.153
"Age 2"	2	"27.4.aW"	"Q3"	0.164	0.009	0.149	0.18
"Age 3"	3	"27.4.aW"	"Q3"	0.182	0.01	0.165	0.2
"Age 4"	4	"27.4.aW"	"Q3"	0.197	0.011	0.179	0.216
"Age 5"	5	"27.4.aW"	"Q3"	0.21	0.012	0.191	0.231
"Age 6"	6	"27.4.aW"	"Q3"	0.222	0.012	0.202	0.244
"Age 7"	7	"27.4.aW"	"Q3"	0.233	0.013	0.212	0.255
"Age 8"	8	"27.4.aW"	"Q3"	0.243	0.013	0.221	0.266
"Age 9+"	9	"27.4.aW"	"Q3"	0.256	0.014	0.234	0.28
"Age 1"	1	"27.4.aW"	"Q4"	0.126	0.008	0.113	0.139
"Age 2"	2	"27.4.aW"	"Q4"	0.145	0.009	0.13	0.159
"Age 3"	3	"27.4.aW"	"Q4"	0.16	0.01	0.144	0.176
"Age 4"	4	"27.4.aW"	"Q4"	0.172	0.011	0.155	0.189
"Age 5"	5	"27.4.aW"	"Q4"	0.183	0.011	0.165	0.201
"Age 6"	6	"27.4.aW"	"Q4"	0.193	0.012	0.174	0.212
"Age 7"	7	"27.4.aW"	"Q4"	0.202	0.013	0.182	0.222
"Age 8"	8	"27.4.aW"	"Q4"	0.21	0.013	0.189	0.231
"Age 9+"	9	"27.4.aW"	"Q4"	0.222	0.014	0.199	0.244
