"AgeGroup"	"Age"	"Stratum"	"Quarter"	"MeanIndividualWeight"	"SD"	"Low"	"High"
"Age 1"	1	"27.4.aE"	"Q2"	0.076	0.002	0.073	0.078
"Age 2"	2	"27.4.aE"	"Q2"	0.116	0.002	0.112	0.119
"Age 3"	3	"27.4.aE"	"Q2"	0.141	0.003	0.137	0.146
"Age 4"	4	"27.4.aE"	"Q2"	0.157	0.003	0.152	0.162
"Age 5"	5	"27.4.aE"	"Q2"	0.167	0.003	0.162	0.172
"Age 6"	6	"27.4.aE"	"Q2"	0.173	0.003	0.168	0.178
"Age 7"	7	"27.4.aE"	"Q2"	0.177	0.003	0.172	0.182
"Age 8"	8	"27.4.aE"	"Q2"	0.179	0.003	0.174	0.184
"Age 9+"	9	"27.4.aE"	"Q2"	0.181	0.003	0.175	0.186
"Age 1"	1	"27.4.aE"	"Q3"	0.11	0.003	0.105	0.114
"Age 2"	2	"27.4.aE"	"Q3"	0.155	0.004	0.148	0.161
"Age 3"	3	"27.4.aE"	"Q3"	0.184	0.005	0.176	0.191
"Age 4"	4	"27.4.aE"	"Q3"	0.202	0.005	0.193	0.209
"Age 5"	5	"27.4.aE"	"Q3"	0.212	0.005	0.204	0.22
"Age 6"	6	"27.4.aE"	"Q3"	0.219	0.005	0.21	0.227
"Age 7"	7	"27.4.aE"	"Q3"	0.223	0.006	0.214	0.232
"Age 8"	8	"27.4.aE"	"Q3"	0.225	0.006	0.216	0.234
"Age 9+"	9	"27.4.aE"	"Q3"	0.227	0.006	0.218	0.236
"Age 1"	1	"27.4.aE"	"Q4"	0.103	0.004	0.096	0.11
"Age 2"	2	"27.4.aE"	"Q4"	0.137	0.006	0.128	0.147
"Age 3"	3	"27.4.aE"	"Q4"	0.158	0.007	0.148	0.17
"Age 4"	4	"27.4.aE"	"Q4"	0.171	0.007	0.16	0.184
"Age 5"	5	"27.4.aE"	"Q4"	0.179	0.008	0.168	0.193
"Age 6"	6	"27.4.aE"	"Q4"	0.184	0.008	0.172	0.198
"Age 7"	7	"27.4.aE"	"Q4"	0.187	0.008	0.175	0.201
"Age 8"	8	"27.4.aE"	"Q4"	0.189	0.008	0.176	0.203
"Age 9+"	9	"27.4.aE"	"Q4"	0.19	0.008	0.178	0.205
"Age 1"	1	"27.4.aW"	"Q2"	0.077	0.004	0.072	0.084
"Age 2"	2	"27.4.aW"	"Q2"	0.118	0.005	0.11	0.127
"Age 3"	3	"27.4.aW"	"Q2"	0.144	0.007	0.134	0.155
"Age 4"	4	"27.4.aW"	"Q2"	0.16	0.007	0.15	0.173
"Age 5"	5	"27.4.aW"	"Q2"	0.17	0.008	0.159	0.184
"Age 6"	6	"27.4.aW"	"Q2"	0.176	0.008	0.165	0.191
"Age 7"	7	"27.4.aW"	"Q2"	0.18	0.008	0.168	0.195
"Age 8"	8	"27.4.aW"	"Q2"	0.182	0.008	0.17	0.197
"Age 9+"	9	"27.4.aW"	"Q2"	0.184	0.008	0.171	0.199
"Age 1"	1	"27.4.aW"	"Q3"	0.112	0.005	0.104	0.12
"Age 2"	2	"27.4.aW"	"Q3"	0.158	0.006	0.147	0.169
"Age 3"	3	"27.4.aW"	"Q3"	0.187	0.008	0.175	0.2
"Age 4"	4	"27.4.aW"	"Q3"	0.205	0.008	0.192	0.22
"Age 5"	5	"27.4.aW"	"Q3"	0.216	0.009	0.202	0.232
"Age 6"	6	"27.4.aW"	"Q3"	0.223	0.009	0.209	0.239
"Age 7"	7	"27.4.aW"	"Q3"	0.227	0.009	0.212	0.243
"Age 8"	8	"27.4.aW"	"Q3"	0.229	0.009	0.215	0.246
"Age 9+"	9	"27.4.aW"	"Q3"	0.231	0.009	0.217	0.248
"Age 1"	1	"27.4.aW"	"Q4"	0.104	0.005	0.097	0.112
"Age 2"	2	"27.4.aW"	"Q4"	0.139	0.006	0.13	0.149
"Age 3"	3	"27.4.aW"	"Q4"	0.161	0.007	0.15	0.172
"Age 4"	4	"27.4.aW"	"Q4"	0.174	0.008	0.162	0.187
"Age 5"	5	"27.4.aW"	"Q4"	0.182	0.008	0.169	0.196
"Age 6"	6	"27.4.aW"	"Q4"	0.187	0.008	0.174	0.201
"Age 7"	7	"27.4.aW"	"Q4"	0.19	0.008	0.177	0.204
"Age 8"	8	"27.4.aW"	"Q4"	0.192	0.008	0.179	0.206
"Age 9+"	9	"27.4.aW"	"Q4"	0.193	0.008	0.18	0.208
